no.	maxl2sqr
1500	0.0269580440054683	0:02:56.255005
1520	0.007550910503414205	0:02:54.248182
1540	0.013217528017109677	0:02:55.048844
1560	0.0302347764746025	0:02:55.141389
1580	0.019459018783613776	0:02:53.424927
1600	0.010734801039628938	0:02:53.804457
1620	0.020664292338194633	0:02:53.681525
1640	0.04819166146766549	0:02:55.828390
1660	0.01889334845797383	0:02:53.265623
1680	0.006671094451398256	0:02:51.976848
1700	0.014005850107614948	0:02:56.725409
1720	0.016785037738250148	0:02:55.520771
1740	0.034583942279753845	0:02:52.052986
1760	0.007586918640483834	0:02:51.761105
1780	0.018178709030663178	0:02:49.972159
1800	0.01039023119161226	0:02:54.137955
1820	0.027832132984495377	0:02:55.286444
1840	0.012341752683546262	0:02:51.956328
1860	0.03158541622180612	0:02:53.324279
1880	0.020325075534111642	0:02:51.883620
1900	0.00823875168425562	0:02:52.896012
1920	0.014977386166219605	0:02:56.149719
1940	0.015895184155102327	0:02:53.208241
1960	0.019225416030731177	0:02:53.697454
1980	0.02375716484635813	0:02:49.616377
3000	0.014402656101341182	0:02:55.132178
3020	0.028553983771934726	0:02:55.317932
3040	0.02679531855826519	0:02:57.673979
3060	0.01410945953130294	0:02:55.545044
3080	0.020947912544666443	0:02:55.385107
3100	0.002063970373671055	0:02:53.241512
3120	0.006500919339291466	0:02:56.079986
3140	0.00728101503772809	0:02:57.235723
3160	0.015521204825539411	0:02:54.958709
3180	0.0208812705726856	0:02:53.240727
3200	0.016278420391661202	0:02:53.333434
3220	0.028670498094666076	0:02:53.722009
3240	0.022551163136351124	0:02:54.670005
3260	0.018703979732449305	0:02:58.392698
3280	0.004430011681553786	0:02:55.705076
3300	0.01226673128323299	0:02:55.635551
3320	0.03825880322118346	0:02:53.625185
3340	0.007854405012236481	0:02:55.045115
3360	0.007420712421598417	0:02:56.714806
3380	0.008912111189914867	0:02:55.694122
3400	0.012045889596962157	0:02:53.822394
3420	0.007117496516179195	0:02:51.216987
3440	0.011739701050043367	0:02:53.762143
3460	0.02725910713356467	0:02:54.816798
3480	0.008684777733826072	0:02:44.934851
6000	0.018676396763457698	0:02:57.473457
6020	0.012573178471369531	0:02:54.490659
6040	0.012868071017762304	0:02:51.567927
6060	0.004577039853149032	0:02:56.256611
6080	0.026226657903521057	0:02:51.780077
6100	0.02888800123658328	0:02:57.406385
6120	0.017407699364326686	0:02:55.864878
6140	0.022635366693549742	0:02:55.309482
6160	0.018351794314647757	0:02:54.712242
6180	0.012010501312979538	0:02:51.119673
6200	0.01481737395350518	0:02:51.272786
6220	0.012318577411711759	0:02:56.307377
