no.	maxl2sqr
2000	0.005658402351047464	0:03:16.719220
2020	0.007826633899455147	0:03:24.011242
2040	0.00344092042028485	0:03:32.989819
2060	0.005338135241593314	0:03:37.025503
2080	0.006124824114750664	0:03:36.929001
2100	0.002624861608299745	0:03:23.731218
2120	0.005395966537223478	0:03:23.879448
2140	0.007755802449278991	0:03:27.489016
2160	0.004111263196612135	0:03:23.434435
2180	0.0005153876040911192	0:03:24.921878
2200	0.0030235925239719143	0:03:25.876995
2220	0.006990175071324206	0:03:25.108533
2240	0.004545516321275412	0:03:23.887185
2260	0.006507651447319127	0:03:27.861727
2280	0.0014340716175029818	0:03:34.885396
2300	0.0035800098541869637	0:03:30.196749
2320	0.00473655112409004	0:03:19.276459
2340	0.005704978241602444	0:03:39.492392
2360	0.010705410585862649	0:03:32.825645
2380	0.002548109339704773	0:03:30.561622
2400	0.005065818049567358	0:03:55.539954
2420	0.0063864810012153545	0:03:54.024706
2440	0.005845340053438182	0:03:37.696409
2460	0.003487160982665235	0:03:24.686885
2480	0.005240526705736649	0:03:20.862468
2500	0.005184045380058033	0:03:24.725857
2520	0.00765797242631585	0:03:22.853882
2540	0.005550495033390343	0:03:29.903960
2560	0.003995707422358488	0:03:32.660523
2580	0.012177519472817862	0:03:25.325269
2600	0.004380882066595274	0:03:40.884639
2620	0.004100755796793079	0:03:25.581443
2640	0.008316590276234779	0:03:29.208075
2660	0.0021717421100925166	0:03:31.947052
2680	0.0036378717357654737	0:03:25.944736
2700	0.009256717489283124	0:03:19.186952
2720	0.004244847386416482	0:03:19.469712
2740	0.008250744725271816	0:03:16.515610
2760	0.001874689232330683	0:03:33.670866
2780	0.008924019742749433	0:03:31.602887
2800	0.0030180589833244628	0:03:17.395005
2820	0.004261745341057942	0:03:41.346126
2840	0.005902958014533914	0:03:26.385611
2860	0.0031282884212487146	0:03:21.037021
2880	0.001831036015803412	0:03:23.452137
2900	0.00553190609138003	0:03:36.876679
2920	0.005549657386588144	0:03:22.619847
2940	0.00924160927888272	0:03:36.862686
2960	0.005898957933497194	0:03:36.872712
2980	0.00490567202814073	0:03:22.630086
1000	0.005498607905785446	0:03:22.119420
1020	0.009505382966344022	0:03:22.222928
1040	0.007230114109115368	0:03:22.792825
1060	0.008602155435251524	0:03:22.395180
1080	0.009085708652304455	0:03:24.110372
1100	0.006244011246652051	0:03:20.157760
1120	0.004708476404365416	0:03:18.889325
1140	0.002158486690887025	0:03:20.128473
1160	0.00646333599685957	0:03:23.243947
1180	0.0041142841525385575	0:03:22.880430
1200	0.006013544881520481	0:03:21.938132
1220	0.003441743987517493	0:03:22.464887
1240	0.0019119290566142	0:03:23.310920
1260	0.008642954510871352	0:03:23.245532
1280	0.006560742363562756	0:03:23.753856
1300	0.0003689360072817437	0:03:22.345083
1320	0.0035907128358912115	0:03:22.346599
1340	0.010878934457853338	0:03:22.262912
1360	0.006400198613256493	0:03:22.898313
1380	0.003444345637651609	0:03:22.786555
1400	0.0018817220354647446	0:03:22.685384
