no.	maxl2sqr
5000	0.6094724710198804	2:04:01.183631
5100	0.39747082735163286	2:20:04.315053
5200	1.718421621194981	2:08:10.073352
5300	0.6020876774822115	2:12:05.769716
5400	0.3387037075709335	2:10:25.765482
5500	0.6373525416668169	2:03:49.193428
5600	0.4109859479379997	2:07:01.096936
5700	0.2088517210481708	2:08:01.937619
5800	1.1708586980058735	2:07:11.369473
5900	0.5347709531950671	2:01:41.726061
6000	0.24409210128433426	2:36:02.525607
6100	0.7246445915540121	2:39:44.339256
6200	0.8204274205023843	2:31:13.500225
6300	1.3196169937865765	2:37:42.685900
6400	0.9373242673550225	2:38:38.007361
6500	0.14648908476219158	2:35:21.795683
6600	0.16492413831510866	2:35:23.621758
6700	0.3110910868520907	2:26:21.497351
6800	0.8463028601295021	2:19:37.003325
6900	0.7835293149505694	2:12:17.340266
7000	0.37209671425147856	2:13:52.787210
7100	0.49750285779898007	2:13:52.069465
7200	0.44167230428724824	2:13:35.749842
7300	1.3383451159530082	2:15:29.866096
7400	0.6264780786138073	2:21:09.623466
7500	0.6171409211124627	2:17:44.747731
7600	0.5215944998004527	2:20:04.147593
7700	0.349052626346892	2:17:17.904672
7800	0.7800894546774451	2:20:09.776270
7900	0.40352386723777717	2:15:42.690914
8000	0.33158199455200954	2:17:25.528803
8100	0.8498815011621494	2:18:59.213105
8200	0.1297374670513607	2:24:01.546844
8300	0.25115723037846727	2:24:46.079451
8400	0.3388579829113939	2:26:21.490981
8500	0.2564799097332415	2:28:08.425275
8600	0.3738310498048313	2:23:27.368911
8700	0.3736938603987379	2:40:04.462349
8800	0.8378593733575929	2:23:08.379228
8900	0.3701167473830625	2:19:56.002419
9000	0.9784010596692296	2:12:45.948394
9100	0.33137539124434723	2:39:49.855884
9200	0.12853111987796895	2:49:30.479063
9300	0.15023436770073206	2:32:47.057416
9400	0.5504543293314765	2:20:25.297728
9500	0.3546074964563817	2:19:39.444120
9600	0.568378184677037	2:20:45.437037
9700	0.8560458685045284	2:19:54.402272
9800	0.6596856400474973	2:21:02.672565
9900	0.34866291532318977	2:13:45.601353
35000	0.23739740136009152	2:00:28.488010
35100	0.25466637672846115	2:06:27.354978
35200	0.8487360157564093	2:08:38.974467
35300	0.4026645998999597	2:07:11.495054
35400	0.37889055589471327	2:07:07.274951
35500	0.2788397468287879	2:07:51.040198
35600	0.22883054032335276	2:02:36.731196
35700	0.38338023152587486	2:06:47.207220
35800	0.6086041774664723	2:10:05.171161
35900	0.8342350435718422	2:24:02.673575
36000	0.23016373508540286	2:40:34.407319
36100	0.7373009023102486	2:32:57.193757
36200	0.41111372597980894	2:35:45.625409
36300	0.36600178200823846	2:35:58.043900
36400	0.2577209069535396	2:33:41.904943
36500	1.3324065947062307	2:37:59.924650
36600	0.6389203989486096	2:37:37.535570
36700	0.7765743876987365	2:29:06.029563
36800	0.42642453649730283	2:19:28.319981
36900	0.43920372074029523	2:22:19.516465
37000	0.702332991136567	2:19:35.335491
37100	0.3360234556531916	2:19:55.149045
37200	0.12361384574314165	2:23:18.555142
37300	0.6328505428360084	2:20:19.880939
37400	0.74219774076456	2:21:04.545372
37500	0.14905273652819312	2:24:10.531191
37600	0.7937772712480224	2:19:11.184394
37700	0.5466220214694235	2:21:25.146742
37800	0.4761717671330683	2:19:23.890361
37900	0.5453714620200112	2:22:40.429706
38000	0.27966538597006774	2:23:05.560431
38100	0.45554861785618556	2:23:05.403227
38200	0.226938877185192	2:20:55.004274
38300	0.6048340654005656	2:18:43.716379
38400	0.40046280569508746	2:23:15.430253
38500	0.40806783831400295	2:25:14.280269
38600	0.23293934000366961	2:20:12.630775
38700	0.6592290376720982	2:16:39.938351
38800	0.5767816651392382	2:05:24.185809
38900	0.47921277171884474	2:10:07.207950
39000	0.3964685597244642	2:37:41.356970
39100	0.47368963659124236	2:39:00.420243
39200	0.5162525325595938	2:56:05.048285
39300	0.6268269728102563	2:33:28.129308
39400	0.5797002635604263	2:17:37.125476
39500	0.4764335938629623	2:24:26.341192
39600	1.5508411415695111	2:16:41.448372
39700	0.5018510828948213	2:19:26.138855
39800	0.5122120194308166	2:16:50.076692
39900	0.9159946804659096	2:10:19.348891
40000	1.3908950235034234	2:26:05.996143
40100	0.911180241747195	2:41:30.966256
40200	0.2990392960823775	2:30:27.104052
40300	0.21644092827209802	2:26:18.913815
40400	0.624681909264795	2:24:05.585529
40500	1.547229445037604	2:27:49.581286
40600	0.6046763252064111	2:32:53.308692
40700	0.623775513497365	2:39:53.085910
40800	0.39798046958070465	2:16:37.239679
40900	0.7417827667529784	2:05:43.357119
41000	0.6612975802254568	2:06:28.238247
41100	0.778338620180331	2:04:21.566095
41200	0.48892723174718306	2:07:46.824451
41300	0.7648854801368661	2:07:36.691806
41400	0.6366779755527608	2:07:32.319448
41500	0.444170086136162	2:12:08.230705
41600	0.59497217306939	2:05:17.538017
41700	0.46061004459140525	2:03:26.872012
41800	0.6825673075413901	2:24:08.763670
41900	0.2734785661977671	2:14:25.439292
42000	0.55995614108775	2:14:49.369112
42100	0.4435011270814442	2:21:25.567508
42200	0.09790860126774326	2:21:28.610639
42300	0.20269057149281663	2:13:30.422914
42400	0.5414974332685397	2:21:49.054606
42500	0.6520974812714766	2:26:36.372608
42600	0.19202169341995062	2:21:35.566726
42700	0.5362789085795494	2:17:38.995184
42800	0.2085108911315247	2:21:51.805449
42900	0.5164149309223551	2:15:28.042777
43000	0.35861258227027415	2:24:09.013425
43100	0.6203295076462396	2:29:36.277282
43200	0.20049286748778214	2:19:45.153157
43300	0.7258553454499251	2:28:42.976794
43400	0.8591535712756331	2:23:24.258990
43500	0.40598319075118683	2:15:47.381929
43600	0.5226599860357388	2:21:57.966294
43700	0.7582626815707061	2:29:08.838217
43800	0.06824476474183111	2:38:36.295216
43900	0.7242199732440532	2:27:13.240989
44000	0.37336272652677605	2:28:56.955399
44100	0.24674076662680244	2:36:45.941890
44200	0.36326316401939185	2:57:48.286652
44300	0.9492229149055061	2:31:13.041425
44400	0.8120153720412561	2:16:59.166006
44500	0.6311752261670984	2:24:39.151701
44600	0.7283582793200315	2:17:24.161040
44700	0.08941341465660298	2:14:45.812139
44800	0.12141659069734448	2:19:08.916043
44900	0.6021677048243302	2:08:29.946841
45000	0.30038765966818093	2:24:06.838916
45100	0.16974165408768138	2:21:06.370504
45200	0.511878320836307	2:41:15.835804
45300	0.45603669386874723	2:26:30.375610
45400	0.09298044832760513	2:32:25.638485
45500	0.2814466060979889	2:29:22.370463
45600	0.7598405475019127	2:22:19.868414
45700	0.45267811667923563	2:27:24.417132
45800	0.5726450528785694	2:15:47.408998
45900	0.4190178064950445	2:04:05.635811
46000	0.1751107004651621	2:09:52.868874
46100	0.43727532972874333	2:02:46.371951
46200	0.42361517778487506	2:04:28.707669
46300	0.7433382600403058	2:04:39.700773
46400	0.32950387285396565	2:04:24.085428
46500	0.3256563278981393	2:05:39.116472
46600	0.761944222482499	2:03:30.641018
46700	0.3220641910184108	2:30:29.329959
46800	0.6934497661809149	2:15:11.279898
46900	0.44909323314151683	2:15:38.952726
47000	0.34695560798708874	2:22:20.672391
47100	0.36978145929847617	2:25:09.651946
47200	0.8248713781413859	2:19:54.456021
47300	0.6504782553751143	2:25:58.885521
47400	0.1686624871740331	2:22:54.537327
47500	0.3981530349589022	2:28:59.951485
47600	0.22352873466993972	2:22:43.553213
47700	0.6723856738961107	2:21:01.614401
47800	0.28866329133982516	2:21:27.848106
47900	0.9663306022905453	2:13:59.908188
48000	0.35281343040274216	2:14:49.972076
48100	0.8508883445091884	2:21:44.894382
48200	0.28660603227330006	2:29:01.351236
48300	0.37025323205782124	2:19:10.180476
48400	0.2752472951934269	2:27:34.344752
48500	0.5610622634050328	2:20:45.172362
48600	0.18004062377607066	2:37:02.244245
48700	0.11706095117630945	2:27:58.182888
48800	0.42645090277317466	2:44:24.968428
48900	0.1825613237434039	2:24:24.122896
49000	0.17935104635030708	2:13:31.257985
49100	0.7463127404328674	2:29:31.497337
49200	1.1252828020406662	2:46:14.848707
49300	0.1434867377681755	2:34:06.382453
49400	0.4232401236430673	2:14:18.341646
49500	0.5121086531108657	2:19:08.243268
49600	1.2882980114486302	2:14:14.850945
49700	0.6273410057263664	2:16:07.162958
49800	0.6708176061700624	2:19:46.521339
49900	1.0241483926077786	2:14:21.677064
25000	0.4610670442536814	2:08:31.245887
25100	0.2805609157834287	2:15:12.729430
25200	0.5129305097774796	2:13:23.823277
25300	0.8523150605892562	2:17:07.232380
25400	0.5059549786192564	2:16:36.748070
25500	1.32255827982459	2:12:55.949439
25600	0.5306525093902745	2:16:04.175013
25700	0.6550585662081827	2:20:41.353810
25800	0.6412932972222649	2:12:25.485246
25900	0.518684593612539	2:12:04.709084
26000	0.30331629682143735	2:35:57.908486
26100	0.2738290265292691	2:41:21.489151
26200	0.3379610298864183	2:40:16.492429
26300	0.2983681602163083	2:43:52.322461
