idx	label	predict	radius	correct	time
0	3	3	0.0353	True	0:01:21.300258
20	7	7	0.0271	True	0:01:20.131865
40	4	4	0.0265	True	0:01:20.680654
60	7	7	0.0415	True	0:01:23.956355
80	8	8	0.0482	True	0:01:22.919922
100	4	4	0.0503	True	0:01:19.635554
120	8	8	0.0476	True	0:01:20.761959
140	6	-1	inf	False	0:00:00.332700
160	2	0	-0.00604	False	0:00:03.632767
180	0	0	0.0347	True	0:01:24.993272
200	5	3	-0.0488	False	0:00:03.945754
220	7	7	0.0368	True	0:01:19.998537
240	1	1	0.0353	True	0:01:19.589983
260	8	8	0.0325	True	0:02:14.989210
280	9	9	-0.00135	True	0:01:05.592477
300	6	6	0.0395	True	0:01:21.181787
320	3	3	0.0525	True	0:01:19.934944
340	2	2	-0.0595	True	0:00:03.641328
360	9	9	0.0472	True	0:01:21.701502
380	6	6	0.0396	True	0:01:23.870564
400	9	9	0.0209	True	0:01:20.314530
420	4	4	0.0583	True	0:01:20.986207
440	1	1	0.0267	True	0:01:21.168892
460	5	5	0.028	True	0:01:23.876328
480	8	9	-1.0	False	0:00:00.329331
500	4	6	-0.0549	False	0:00:03.594691
520	5	5	0.0285	True	0:01:20.998868
540	1	1	0.0103	True	0:01:20.823702
560	0	0	0.0373	True	0:01:21.341810
580	4	4	0.0482	True	0:01:23.145708
600	8	8	0.0304	True	0:01:20.272253
620	7	7	0.0391	True	0:01:24.650530
640	5	3	-1.03	False	0:00:00.333518
660	9	9	0.04	True	0:01:20.377043
680	9	1	-1.03	False	0:00:00.329391
700	7	7	0.0323	True	0:01:21.031708
720	4	4	0.051	True	0:01:18.961839
740	2	5	-1.03	False	0:00:00.326686
760	3	3	0.0287	True	0:01:23.102019
780	9	9	0.0255	True	0:01:20.477490
800	7	7	0.0367	True	0:01:19.539767
820	6	6	0.0459	True	0:01:37.601005
840	7	7	0.0203	True	0:01:21.589488
860	4	4	0.0563	True	0:01:19.123953
880	8	8	0.0524	True	0:01:23.703707
900	2	2	-0.00132	True	0:01:36.436670
920	6	6	0.0319	True	0:01:21.290660
940	9	9	0.0187	True	0:01:20.369732
960	9	9	0.0286	True	0:01:24.637597
980	2	2	0.0578	True	0:01:22.180371
1000	5	5	0.0399	True	0:01:19.973341
1020	1	1	0.022	True	0:01:20.802433
1040	7	7	-0.000347	True	0:00:45.458789
1060	9	9	0.0272	True	0:01:21.461222
1080	6	6	-0.0573	True	0:00:48.269300
1100	7	7	-0.00108	True	0:01:04.595109
1120	5	5	-0.000134	True	0:00:24.976038
