no.	maxl2sqr
6000	0.2515479764285963	0:00:01.652492
6020	0.20335263589767288	0:00:01.642133
6040	0.4813910091347052	0:00:01.645460
6060	0.1460064084646369	0:00:01.653783
6080	0.800079193769584	0:00:01.653033
6100	0.4344789929748082	0:00:01.655267
6120	0.44144986140877823	0:00:01.656433
6140	0.6966182409932578	0:00:01.657163
6160	0.5953729017153558	0:00:01.645563
6180	0.4587662202641162	0:00:01.640653
6200	0.4179292132016883	0:00:01.643780
6220	0.41076477130243694	0:00:01.650636
6240	0.5303927261888415	0:00:01.651718
6260	0.6702662272379694	0:00:01.654168
6280	0.7665787057381737	0:00:01.656101
6300	0.45738149688668694	0:00:01.657970
6320	0.1644883810768168	0:00:01.644542
6340	0.48613573801967896	0:00:01.640734
6360	0.40409370705957787	0:00:01.645409
6380	0.38507914640473706	0:00:01.650708
6400	0.5548736641183133	0:00:01.653107
6420	0.3154883823144302	0:00:01.656008
6440	0.5790647733618395	0:00:01.657237
6460	0.4859265641665833	0:00:01.658680
6480	0.4686872176856751	0:00:01.643493
6500	0.4474559805313774	0:00:01.642129
6520	0.39985257987244394	0:00:01.645833
6540	0.16245412404601112	0:00:01.652999
6560	0.3597238578256491	0:00:00.954095
6580	0.8488040987571228	0:00:00.929983
6600	0.3787320443883213	0:00:00.928478
6620	0.3915867024731694	0:00:00.927063
6640	0.39417826379796245	0:00:00.927524
6660	0.32227536506250176	0:00:00.927382
6680	0.18149731725214738	0:00:00.927449
6700	0.4110899479062877	0:00:00.927478
6720	0.20774655897319755	0:00:00.927157
6740	0.5707021065673903	0:00:00.927236
6760	0.7255847534791928	0:00:00.928046
6780	0.34431716579930755	0:00:00.928147
6800	0.5212183124843723	0:00:00.926733
6820	0.4507550049613287	0:00:00.927897
6840	0.5346150805745973	0:00:00.927728
6860	0.6835337918539575	0:00:00.926942
6880	0.7358507422063445	0:00:00.927829
6900	0.32835827923897654	0:00:00.927484
6920	0.5188065769619031	0:00:00.928426
6940	0.3711450611091072	0:00:00.927169
6960	0.3196475989136035	0:00:00.928288
6980	0.28093906261288104	0:00:00.927638
9000	0.364866193247578	0:00:01.709544
9020	0.5150315785129056	0:00:01.705413
9040	0.4770282659506243	0:00:01.715153
9060	0.7752666786964069	0:00:01.720849
9080	0.7002800587241879	0:00:01.716350
9100	0.5187149497570988	0:00:01.717021
9120	0.15706106278937013	0:00:01.718548
9140	0.15893853700506289	0:00:01.722765
9160	0.4763912369512444	0:00:01.704860
9180	0.2568600825654327	0:00:01.704302
9200	0.2570122307347885	0:00:01.715247
9220	0.7833752986944846	0:00:01.717769
9240	0.562832954737895	0:00:01.717094
9260	0.358391442388942	0:00:01.718146
9280	0.6817611782703042	0:00:01.720496
9300	0.32721018077057185	0:00:01.719357
9320	0.2562617790339602	0:00:01.704789
9340	0.2843440922318782	0:00:01.706588
9360	0.4578604649429331	0:00:01.713563
9380	0.5009289379109318	0:00:01.717875
9400	0.47556358524632786	0:00:01.717539
9420	0.4975879613920081	0:00:01.717826
9440	0.8463089510746169	0:00:01.720802
9460	0.5810675469364532	0:00:01.720411
9480	0.6125170254843644	0:00:01.704662
9500	0.5016391472724228	0:00:01.704466
9520	0.16075902182244844	0:00:01.722641
9540	0.2124938829235656	0:00:01.716966
9560	0.29295144510502846	0:00:01.718463
9580	0.3281782130250258	0:00:01.718799
9600	0.31197970827740384	0:00:01.721867
9620	0.300253750143729	0:00:01.718258
9640	0.36643623449040175	0:00:01.707061
9660	0.4971482068035069	0:00:01.707311
9680	0.46441338866646187	0:00:01.719332
9700	0.21441615112058982	0:00:01.718173
9720	0.6689474623436181	0:00:01.718387
9740	0.3944078299582998	0:00:01.719708
9760	0.1638885874871417	0:00:01.721841
9780	0.38964051568591807	0:00:00.963286
9800	0.5680450294981644	0:00:00.944406
9820	0.5053685599646318	0:00:00.943333
9840	0.46704824907588693	0:00:00.944531
9860	0.6242025565909463	0:00:00.943999
9880	0.4233898188790797	0:00:00.944283
9900	0.3642929789066921	0:00:00.944033
9920	0.38766174591034314	0:00:00.944887
9940	0.6218222737186905	0:00:00.946552
9960	0.355786263131411	0:00:00.943908
9980	0.7435893747524862	0:00:00.943681
1000	0.2513610436732643	0:00:00.948922
1020	0.5236970881962653	0:00:00.963484
1040	0.10437081961168301	0:00:00.936872
1060	0.5142455435830884	0:00:00.935266
1080	0.2551378937760862	0:00:00.934873
1100	0.28532360625560926	0:00:00.936907
1120	0.45318147311262713	0:00:00.976038
1140	0.35105866880423575	0:00:00.934307
1160	0.3209603791231089	0:00:00.933716
1180	0.15840772103155432	0:00:00.934291
1200	0.4179284114031581	0:00:00.935112
1220	0.9364069234468002	0:00:00.973037
1240	0.24201714934539192	0:00:00.933685
1260	0.1805705383886	0:00:00.932963
1280	0.11692554295557041	0:00:00.933607
1300	0.33196857497701515	0:00:00.935363
1320	0.31413835022282605	0:00:00.936453
1340	0.6595464489598204	0:00:00.974385
1360	0.11752436431014344	0:00:00.934403
1380	0.39782106242746684	0:00:00.936661
1400	0.2744392824792232	0:00:00.935817
1420	0.42513272952247294	0:00:00.934350
1440	0.2820051145222542	0:00:00.974278
1460	0.6267328064061076	0:00:00.936382
1480	0.47773561423238475	0:00:00.936328
1500	0.22539179805140114	0:00:00.937465
1520	0.3313715040960784	0:00:00.938633
1540	0.3236090131941758	0:00:00.937624
1560	0.4272809895692456	0:00:00.937851
1580	0.24482140715518835	0:00:00.936672
1600	0.5571004807189437	0:00:00.937969
1620	0.44732740690858064	0:00:00.936772
1640	0.6100303707896971	0:00:00.934505
1660	0.24915016007246885	0:00:00.935471
1680	0.28093702184120917	0:00:00.936374
1700	0.7832264535802363	0:00:00.935705
1720	0.5065392559202446	0:00:00.935566
1740	0.5003593476480003	0:00:00.936245
1760	0.14256309642136367	0:00:00.936029
1780	0.13064727725371206	0:00:00.936005
1800	0.3780087632626533	0:00:00.935516
1820	0.21862107812212617	0:00:00.936414
1840	0.6768934390571255	0:00:00.935118
1860	0.4286535668783571	0:00:00.934624
1880	0.4994832036193348	0:00:00.935427
1900	0.28426251651592715	0:00:00.934470
1920	0.2529377822624655	0:00:00.934556
1940	0.2829479313916922	0:00:00.933866
1960	0.5863181167452571	0:00:00.933481
1980	0.37078607290793386	0:00:00.934422
2000	0.2962610476966855	0:00:01.655469
2020	0.5706863324666358	0:00:01.656911
2040	0.5186248030736251	0:00:01.658265
2060	0.6021866509575734	0:00:01.657306
2080	0.4993906937144604	0:00:01.658079
2100	0.5559328306343119	0:00:01.658320
2120	0.3169414176530207	0:00:01.656593
2140	0.5969132779631452	0:00:01.654777
2160	0.3580168695383613	0:00:01.656842
2180	0.62567338437258	0:00:01.652398
2200	0.34817398413622663	0:00:01.653434
2220	0.33888698477472035	0:00:01.653650
2240	0.3215111920561875	0:00:01.656975
2260	0.536069444649574	0:00:01.654270
2280	0.43745537153144176	0:00:01.654339
2300	0.5361585597981348	0:00:01.655717
2320	0.2307795163121309	0:00:01.655183
2340	0.4819851774352587	0:00:01.656405
2360	0.40546717016735123	0:00:01.655001
2380	0.594520746211321	0:00:01.656456
2400	0.693364436755679	0:00:01.653765
2420	0.580018289099032	0:00:01.654914
2440	0.41068653586178927	0:00:01.655601
2460	0.36713844758594383	0:00:01.650515
2480	0.26375956792572347	0:00:01.656069
2500	0.41818116119220966	0:00:01.652295
2520	0.3671517547017227	0:00:01.652988
2540	0.7057403307315855	0:00:01.654913
2560	0.5063629120732438	0:00:01.054637
2580	0.3971172591950559	0:00:00.938028
2600	0.4862335130110489	0:00:00.938464
2620	0.41533206020800445	0:00:00.938622
2640	0.4751108244082726	0:00:00.936529
2660	0.6213921557328063	0:00:00.938708
2680	0.3675860938209751	0:00:00.937295
2700	0.28883150684134284	0:00:00.938148
2720	0.2556642334714406	0:00:00.938487
2740	0.25511264066308303	0:00:00.938464
2760	0.24937546257030052	0:00:00.938034
2780	0.765474593580136	0:00:00.938662
2800	0.5413110602876265	0:00:00.939266
2820	0.45124796290141955	0:00:00.936936
2840	0.40681397293775157	0:00:00.938475
2860	0.4407362967995634	0:00:00.937597
2880	0.13552231763691722	0:00:00.938451
2900	0.4464733093949837	0:00:00.937817
2920	0.3647449015727433	0:00:00.938680
2940	0.464574369399926	0:00:00.939862
2960	0.3789506832887576	0:00:00.937165
2980	0.44997127224884514	0:00:00.938353
5000	0.5546124331276173	0:00:01.657795
5020	0.42441625726412513	0:00:01.657098
