idx	label	predict	radius	correct	time
0	7	7	-0.148	True	0:00:01.017699
20	9	9	-0.105	True	0:00:00.736058
40	1	1	0.00583	True	0:00:13.769260
60	7	7	-0.138	True	0:00:00.725092
80	7	7	-0.0688	True	0:00:00.719140
100	6	6	-0.247	True	0:00:00.722929
120	5	5	-0.302	True	0:00:00.721664
140	6	6	-0.16	True	0:00:00.721131
160	4	4	-0.124	True	0:00:00.717239
180	1	1	0.0043	True	0:00:40.945196
200	3	3	-0.324	True	0:00:00.731741
220	7	7	-0.14	True	0:00:00.724242
240	5	5	-0.218	True	0:00:00.732728
260	8	8	-0.256	True	0:00:00.703182
280	2	2	-0.252	True	0:00:00.726758
300	4	4	-0.0408	True	0:00:00.699053
320	9	9	-0.00543	True	0:00:02.083113
340	5	5	-0.224	True	0:00:00.746097
360	4	4	-0.238	True	0:00:00.712435
380	0	0	-0.544	True	0:00:00.715607
400	2	2	-0.287	True	0:00:00.712847
420	4	4	-0.0914	True	0:00:00.721668
440	0	0	-0.358	True	0:00:00.730902
460	5	5	-0.0643	True	0:00:00.727618
480	1	1	0.000686	True	0:02:49.495021
500	3	3	-0.288	True	0:00:00.708785
520	8	8	-0.0888	True	0:00:00.730529
540	5	5	-0.289	True	0:00:00.697549
560	9	9	-0.113	True	0:00:00.717713
580	8	8	-0.149	True	0:00:00.698603
600	6	6	-0.157	True	0:00:00.711635
620	0	0	-0.381	True	0:00:00.707560
640	1	1	0.000663	True	0:01:34.791262
660	4	4	-0.11	True	0:00:00.699303
680	6	6	-0.191	True	0:00:00.706600
700	1	1	-0.0129	True	0:00:00.699448
720	5	5	-0.342	True	0:00:00.710894
740	4	4	-0.101	True	0:00:00.700003
760	4	4	-0.0367	True	0:00:00.701190
780	3	3	-0.382	True	0:00:00.704484
800	8	8	-0.295	True	0:00:00.703130
820	6	6	-0.258	True	0:00:00.710717
840	1	1	-0.0278	True	0:00:00.710831
860	6	6	-0.301	True	0:00:00.732300
880	7	7	-0.104	True	0:00:00.716060
900	1	1	-0.0193	True	0:00:00.720300
920	1	1	0.0106	True	0:00:20.499573
940	6	6	-0.224	True	0:00:00.702929
960	7	7	-0.0459	True	0:00:00.726383
980	2	2	-0.216	True	0:00:00.700194
1000	9	9	-0.0646	True	0:00:00.720358
1020	3	3	-0.281	True	0:00:00.699630
1040	1	1	0.009	True	0:00:27.290454
1060	4	4	-0.265	True	0:00:00.726255
1080	4	4	-0.0671	True	0:00:00.721386
1100	7	7	-0.0917	True	0:00:00.730078
1120	8	8	-0.2	True	0:00:00.733135
1140	4	4	-0.143	True	0:00:00.716717
1160	4	4	-0.115	True	0:00:00.708138
1180	1	1	-0.00963	True	0:00:00.717758
1200	8	8	-0.188	True	0:00:00.702282
1220	0	0	-0.491	True	0:00:00.720229
1240	1	1	-0.0832	True	0:00:00.701829
1260	7	1	-0.0141	False	0:00:00.724126
1280	1	1	0.00371	True	0:00:34.126574
1300	4	4	-0.119	True	0:00:00.719234
1320	8	8	-0.115	True	0:00:00.745418
1340	5	5	-0.344	True	0:00:00.716458
1360	1	1	0.00348	True	0:00:20.352155
1380	9	9	-0.18	True	0:00:00.712808
1400	6	6	-0.0849	True	0:00:00.705154
1420	6	6	-0.192	True	0:00:00.710785
1440	4	4	-0.0634	True	0:00:00.706014
1460	5	5	-0.331	True	0:00:00.711594
1480	3	3	-0.239	True	0:00:00.712620
1500	7	7	-0.153	True	0:00:00.712783
1520	7	7	-0.111	True	0:00:00.712130
1540	7	7	-0.132	True	0:00:00.723926
1560	8	8	-0.165	True	0:00:00.700564
1580	4	4	-0.0301	True	0:00:00.696902
1600	3	3	-0.287	True	0:00:00.706158
1620	2	2	-0.226	True	0:00:00.702249
1640	9	9	-0.312	True	0:00:00.704310
1660	7	7	-0.0741	True	0:00:00.698492
1680	4	4	-0.0563	True	0:00:00.704736
1700	0	0	-0.405	True	0:00:00.701775
1720	4	4	-0.245	True	0:00:00.702523
1740	8	8	-0.22	True	0:00:00.708477
1760	1	1	0.00356	True	0:00:53.929019
1780	1	1	0.00184	True	0:00:20.442144
1800	6	6	-0.18	True	0:00:00.718183
1820	1	1	-0.0189	True	0:00:00.717754
1840	3	3	-0.347	True	0:00:00.712869
1860	5	5	-0.228	True	0:00:00.714571
1880	6	6	-0.242	True	0:00:00.720571
1900	1	1	-0.0711	True	0:00:00.725580
1920	4	4	-0.0482	True	0:00:00.710935
1940	5	5	-0.0933	True	0:00:00.715967
1960	8	8	-0.278	True	0:00:00.709332
1980	4	4	-0.138	True	0:00:00.707784
2000	6	6	-0.0985	True	0:00:00.707924
2020	3	3	-0.288	True	0:00:00.704916
2040	5	5	-0.241	True	0:00:00.716419
2060	0	0	-0.328	True	0:00:00.701351
2080	3	3	-0.257	True	0:00:00.716672
2100	5	5	-0.284	True	0:00:00.701016
2120	4	4	-0.0794	True	0:00:00.713153
2140	6	6	-0.308	True	0:00:00.704376
2160	6	6	-0.159	True	0:00:00.709570
2180	5	5	-0.323	True	0:00:00.702013
2200	2	2	-0.12	True	0:00:00.700555
2220	7	7	-0.137	True	0:00:00.712509
2240	7	7	-0.141	True	0:00:00.711599
2260	2	2	-0.247	True	0:00:00.715080
2280	3	3	-0.209	True	0:00:00.711277
2300	3	3	-0.251	True	0:00:00.717235
2320	9	9	-0.0475	True	0:00:00.713461
2340	4	4	-0.222	True	0:00:00.720212
2360	6	6	-0.198	True	0:00:00.713327
2380	9	9	-0.309	True	0:00:00.731801
2400	5	5	-0.37	True	0:00:00.699379
2420	9	9	-0.283	True	0:00:00.708219
2440	4	4	-0.168	True	0:00:00.707460
2460	5	5	-0.162	True	0:00:00.708234
2480	7	7	-0.0668	True	0:00:00.706456
2500	2	2	-0.219	True	0:00:00.703611
2520	8	8	-0.148	True	0:00:00.714110
2540	5	5	-0.356	True	0:00:00.703447
2560	3	3	-0.25	True	0:00:00.716408
2580	6	6	-0.174	True	0:00:00.699439
2600	8	8	-0.214	True	0:00:00.710763
2620	6	6	-0.186	True	0:00:00.698513
2640	8	8	-0.196	True	0:00:00.709183
2660	0	0	-0.321	True	0:00:00.700927
2680	4	4	-0.147	True	0:00:00.699368
2700	7	7	-0.112	True	0:00:00.710182
2720	9	9	-0.107	True	0:00:00.715741
2740	9	9	-0.0719	True	0:00:00.713167
2760	9	9	-0.0445	True	0:00:00.713733
2780	2	2	-0.392	True	0:00:00.712503
2800	8	8	-0.238	True	0:00:00.711722
2820	7	7	-0.193	True	0:00:00.714857
2840	3	3	-0.185	True	0:00:00.713648
2860	6	6	-0.2	True	0:00:00.736977
2880	1	1	0.00734	True	0:00:33.958917
2900	4	4	-0.168	True	0:00:00.704472
2920	6	6	-0.169	True	0:00:00.714874
2940	2	2	-0.203	True	0:00:00.699800
2960	8	8	-0.171	True	0:00:00.718514
2980	6	6	-0.219	True	0:00:00.698637
3000	6	6	-0.189	True	0:00:00.716428
3020	0	0	-0.444	True	0:00:00.697506
3040	7	7	-0.0581	True	0:00:00.721564
3060	9	9	-0.0543	True	0:00:00.717726
3080	3	3	-0.256	True	0:00:00.719920
3100	5	5	-0.321	True	0:00:00.716002
3120	3	3	-0.421	True	0:00:00.722459
3140	0	0	-0.27	True	0:00:00.720442
3160	9	9	-0.123	True	0:00:00.721838
3180	2	2	-0.289	True	0:00:00.732037
3200	9	9	-0.237	True	0:00:00.717417
3220	5	5	-0.297	True	0:00:00.698872
3240	9	9	-0.212	True	0:00:00.722154
3260	2	2	-0.271	True	0:00:00.700604
3280	2	2	-0.23	True	0:00:00.722534
3300	3	3	-0.386	True	0:00:00.698048
3320	1	1	0.000749	True	0:00:27.104312
3340	8	8	-0.219	True	0:00:00.705914
3360	7	7	-0.0922	True	0:00:00.705473
3380	1	1	0.00589	True	0:00:27.159843
3400	7	7	-0.166	True	0:00:00.703461
3420	1	1	0.00388	True	0:00:27.123341
3440	8	8	-0.296	True	0:00:00.718027
3460	9	9	-0.227	True	0:00:00.720365
3480	1	1	-0.0321	True	0:00:00.714579
3500	4	4	-0.236	True	0:00:00.720572
3520	6	6	-0.234	True	0:00:00.720403
3540	0	0	-0.274	True	0:00:00.723751
3560	6	6	-0.166	True	0:00:00.712273
3580	7	7	-0.048	True	0:00:00.733916
3600	2	2	-0.257	True	0:00:00.699917
3620	3	3	-0.329	True	0:00:00.717397
3640	0	0	-0.288	True	0:00:00.697485
3660	0	0	-0.395	True	0:00:00.703987
3680	0	0	-0.341	True	0:00:00.711054
3700	4	4	-0.105	True	0:00:00.701400
3720	7	7	-0.147	True	0:00:00.712788
3740	3	3	-0.381	True	0:00:00.701118
3760	9	9	-0.0959	True	0:00:00.710501
3780	4	4	-0.153	True	0:00:00.699548
3800	6	6	-0.0533	True	0:00:00.709046
3820	9	9	-0.385	True	0:00:00.702359
3840	9	9	-0.265	True	0:00:00.705167
3860	5	5	-0.288	True	0:00:00.702924
3880	8	8	-0.12	True	0:00:00.712273
3900	1	1	0.000446	True	0:02:01.776501
3920	7	7	-0.0704	True	0:00:00.719512
3940	0	0	-0.391	True	0:00:00.697787
3960	5	5	-0.202	True	0:00:00.720325
3980	0	0	-0.408	True	0:00:00.712132
4000	9	9	-0.251	True	0:00:00.701278
4020	8	8	-0.252	True	0:00:00.722525
4040	9	9	-0.175	True	0:00:00.700263
4060	4	4	-0.181	True	0:00:00.721474
4080	0	0	-0.281	True	0:00:00.700061
4100	2	2	-0.334	True	0:00:00.714975
4120	3	3	-0.362	True	0:00:00.715049
4140	8	8	-0.363	True	0:00:00.709347
4160	6	6	-0.236	True	0:00:00.714306
4180	2	2	-0.271	True	0:00:00.701545
4200	7	7	-0.138	True	0:00:00.728877
4220	3	3	-0.259	True	0:00:00.716416
4240	9	9	-0.152	True	0:00:00.726305
4260	2	2	-0.178	True	0:00:00.718090
4280	9	9	-0.0528	True	0:00:00.728980
4300	5	5	-0.124	True	0:00:00.722881
4320	0	0	-0.356	True	0:00:00.727195
4340	5	5	-0.286	True	0:00:00.741597
4360	5	5	-0.211	True	0:00:00.713983
4380	8	8	-0.176	True	0:00:00.697942
4400	7	7	-0.00571	True	0:01:45.080482
4420	5	5	-0.317	True	0:00:00.718951
4440	5	5	-0.3	True	0:00:00.715663
4460	7	7	-0.167	True	0:00:00.720055
4480	9	9	-0.22	True	0:00:00.716470
4500	9	9	-0.0086	True	0:00:50.805070
4520	5	5	-0.183	True	0:00:00.709413
4540	7	7	-0.214	True	0:00:00.701844
4560	9	9	-0.278	True	0:00:00.712621
4580	1	1	0.00105	True	0:01:41.369473
4600	3	3	-0.259	True	0:00:00.717998
4620	6	6	-0.264	True	0:00:00.698153
4640	8	8	-0.164	True	0:00:00.717850
4660	7	7	-0.0787	True	0:00:00.694321
4680	6	6	-0.187	True	0:00:00.712679
4700	9	9	-0.143	True	0:00:00.704426
4720	0	0	-0.318	True	0:00:00.708567
4740	3	5	-0.112	False	0:00:00.706702
4760	7	7	-0.0319	True	0:00:00.699916
4780	0	0	-0.341	True	0:00:00.713747
4800	7	7	-0.14	True	0:00:00.710884
4820	8	8	-0.232	True	0:00:00.716890
4840	9	9	-0.0745	True	0:00:00.724572
4860	4	4	-0.412	True	0:00:00.716082
4880	0	0	-0.389	True	0:00:00.724779
4900	7	7	-0.139	True	0:00:00.723178
4920	2	2	-0.369	True	0:00:00.731536
4940	3	3	-0.43	True	0:00:00.744308
4960	8	8	-0.23	True	0:00:00.712818
4980	6	6	-0.228	True	0:00:00.705553
5000	3	3	-0.278	True	0:00:00.715844
5020	5	5	-0.199	True	0:00:00.700323
5040	7	7	-0.0526	True	0:00:00.716562
5060	9	9	-0.177	True	0:00:00.699769
5080	9	9	-0.219	True	0:00:00.719141
5100	9	9	-0.174	True	0:00:00.700317
5120	2	2	-0.197	True	0:00:00.716232
5140	3	3	-0.258	True	0:00:00.695775
5160	5	5	-0.246	True	0:00:00.716949
5180	7	7	-0.105	True	0:00:00.694911
5200	4	4	-0.0933	True	0:00:00.709043
5220	9	9	-0.192	True	0:00:00.704849
5240	7	7	-0.0609	True	0:00:00.706052
5260	4	4	-0.133	True	0:00:00.706324
5280	0	0	-0.341	True	0:00:00.709870
5300	8	8	-0.11	True	0:00:00.714714
5320	0	0	-0.312	True	0:00:00.711166
5340	2	2	-0.331	True	0:00:00.711866
5360	8	8	-0.11	True	0:00:00.712882
5380	8	8	-0.103	True	0:00:00.713456
5400	5	5	-0.245	True	0:00:00.720432
5420	5	5	-0.302	True	0:00:00.723217
5440	4	4	-0.122	True	0:00:00.712603
5460	1	1	0.0028	True	0:01:14.071468
5480	5	5	-0.191	True	0:00:00.702167
5500	4	4	-0.122	True	0:00:00.709810
5520	1	1	-0.000194	True	0:00:00.694394
5540	7	7	-0.115	True	0:00:00.714487
5560	7	7	-0.135	True	0:00:00.700687
5580	9	9	-0.195	True	0:00:00.711795
5600	7	7	-0.0629	True	0:00:00.693957
5620	7	7	-0.17	True	0:00:00.720964
5640	7	7	-0.184	True	0:00:00.716425
5660	6	6	-0.145	True	0:00:00.720488
5680	8	8	-0.257	True	0:00:00.712650
5700	3	3	-0.239	True	0:00:00.730193
5720	4	4	0.0027	True	0:00:47.466155
5740	3	3	-0.306	True	0:00:00.716559
5760	3	3	-0.31	True	0:00:00.714842
5780	3	3	-0.191	True	0:00:00.714945
5800	9	9	-0.292	True	0:00:00.715309
5820	2	2	-0.228	True	0:00:00.715431
5840	2	2	-0.252	True	0:00:00.718040
5860	3	3	-0.33	True	0:00:00.709665
5880	1	1	0.00109	True	0:01:21.119063
5900	4	4	-0.139	True	0:00:00.716960
5920	6	6	-0.155	True	0:00:00.695961
5940	8	8	-0.273	True	0:00:00.714330
5960	8	8	-0.278	True	0:00:00.694379
5980	0	0	-0.319	True	0:00:00.712118
6000	9	9	-0.0815	True	0:00:00.696479
6020	6	6	-0.0414	True	0:00:00.721123
6040	0	0	-0.244	True	0:00:00.710857
6060	1	1	0.00129	True	0:02:02.004328
6080	8	8	-0.403	True	0:00:00.723913
6100	4	4	-0.201	True	0:00:00.704042
6120	5	5	-0.204	True	0:00:00.707795
6140	0	0	-0.363	True	0:00:00.711067
6160	3	3	-0.289	True	0:00:00.699538
6180	2	2	-0.232	True	0:00:00.712612
6200	9	9	-0.194	True	0:00:00.701188
6220	4	4	-0.173	True	0:00:00.711073
6240	2	2	-0.222	True	0:00:00.700130
6260	3	3	-0.356	True	0:00:00.717206
6280	0	0	-0.39	True	0:00:00.719960
6300	4	4	-0.202	True	0:00:00.718514
6320	1	1	-0.00955	True	0:00:00.723152
6340	2	2	-0.226	True	0:00:00.719605
6360	7	7	-0.203	True	0:00:00.728383
6380	7	7	-0.19	True	0:00:00.698454
6400	0	0	-0.286	True	0:00:00.712355
6420	9	9	-0.121	True	0:00:00.700584
6440	3	3	-0.282	True	0:00:00.716859
6460	4	4	-0.186	True	0:00:00.714555
6480	2	2	-0.222	True	0:00:00.716466
6500	5	5	-0.205	True	0:00:00.716033
6520	9	9	-0.169	True	0:00:00.715924
6540	1	1	0.00044	True	0:01:14.320698
6560	9	9	-0.146	True	0:00:00.713381
6580	0	0	-0.429	True	0:00:00.701144
6600	5	5	-0.177	True	0:00:00.707339
6620	5	5	-0.172	True	0:00:00.703166
6640	7	7	-0.18	True	0:00:00.706031
6660	4	4	-0.0704	True	0:00:00.701979
6680	1	1	0.000274	True	0:01:14.290283
6700	4	4	-0.159	True	0:00:00.704285
6720	1	1	-0.0368	True	0:00:00.712049
6740	9	9	-0.28	True	0:00:00.726138
6760	0	0	-0.378	True	0:00:00.711176
6780	4	4	-0.098	True	0:00:00.706224
6800	2	2	-0.271	True	0:00:00.708937
6820	2	2	-0.203	True	0:00:00.700222
6840	3	3	-0.275	True	0:00:00.715883
6860	5	5	-0.352	True	0:00:00.699698
6880	5	5	-0.388	True	0:00:00.713453
6900	6	6	-0.136	True	0:00:00.697428
6920	2	2	-0.263	True	0:00:00.715204
6940	3	3	-0.171	True	0:00:00.702688
6960	7	7	-0.115	True	0:00:00.719461
6980	9	9	-0.0891	True	0:00:00.696226
7000	1	1	0.00208	True	0:00:40.640916
7020	6	6	-0.215	True	0:00:00.709284
7040	3	3	-0.373	True	0:00:00.708671
7060	8	8	-0.172	True	0:00:00.706717
7080	8	8	-0.181	True	0:00:00.711057
7100	2	2	-0.172	True	0:00:00.702475
7120	2	2	-0.174	True	0:00:00.713756
7140	3	3	-0.194	True	0:00:00.700179
7160	5	5	-0.172	True	0:00:00.700923
7180	7	7	-0.144	True	0:00:00.708497
7200	8	8	-0.225	True	0:00:00.697313
7220	8	8	-0.252	True	0:00:00.710571
7240	5	5	-0.0916	True	0:00:00.697631
7260	7	7	-0.195	True	0:00:00.717021
7280	1	1	0.00167	True	0:01:01.004555
7300	7	7	-0.128	True	0:00:00.705630
7320	7	7	-0.165	True	0:00:00.700914
7340	1	1	0.0026	True	0:00:40.645745
7360	9	9	-0.116	True	0:00:00.706964
7380	9	9	-0.0934	True	0:00:00.700597
7400	2	2	-0.109	True	0:00:00.712804
7420	2	2	-0.239	True	0:00:00.699173
7440	0	0	-0.215	True	0:00:00.714321
7460	7	7	-0.159	True	0:00:00.700069
