idx	label	predict	radius	correct	time
0	3	3	0.96	1	0:00:04.372247
20	7	9	0.96	0	0:00:03.823189
40	4	4	0.96	1	0:00:03.742463
60	7	7	0.96	1	0:00:04.252906
80	8	8	0.96	1	0:00:04.222692
100	4	7	0.276	0	0:00:04.035521
120	8	8	0.96	1	0:00:04.149519
140	6	6	0.96	1	0:00:04.067232
160	2	2	0.96	1	0:00:03.706441
180	0	0	0.96	1	0:00:03.699521
200	5	5	0.96	1	0:00:03.911832
220	7	7	0.96	1	0:00:03.885647
240	1	1	0.96	1	0:00:04.270184
260	8	8	0.96	1	0:00:04.025565
280	9	9	0.96	1	0:00:03.862095
300	6	6	0.96	1	0:00:03.740721
320	3	3	0.96	1	0:00:03.737097
340	2	2	0.96	1	0:00:03.680312
360	9	9	0.96	1	0:00:03.722598
380	6	6	0.96	1	0:00:03.564839
400	9	9	0.96	1	0:00:03.933210
420	4	4	0.96	1	0:00:04.312198
440	1	1	0.96	1	0:00:05.586668
460	5	5	0.96	1	0:00:04.538205
480	8	8	0.668	1	0:00:06.042832
500	4	4	0.96	1	0:00:05.599090
520	5	5	0.96	1	0:00:03.997908
540	1	1	0.96	1	0:00:05.493950
560	0	0	0.96	1	0:00:05.794099
580	4	4	0.96	1	0:00:04.944871
600	8	8	0.96	1	0:00:05.759886
620	7	7	0.96	1	0:00:05.800092
640	5	3	0.96	0	0:00:06.028647
660	9	9	0.96	1	0:00:04.940183
680	9	1	0.96	0	0:00:05.875580
700	7	7	0.96	1	0:00:04.896100
720	4	4	0.96	1	0:00:04.799835
740	2	2	0.96	1	0:00:05.319590
760	3	3	0.96	1	0:00:05.357325
780	9	9	0.96	1	0:00:04.968636
800	7	7	0.96	1	0:00:04.489992
820	6	6	0.96	1	0:00:05.086027
840	7	7	0.96	1	0:00:06.676566
860	4	4	0.96	1	0:00:04.463696
880	8	8	0.96	1	0:00:05.164218
900	2	5	0.96	0	0:00:06.049701
920	6	6	0.96	1	0:00:05.955393
940	9	9	0.96	1	0:00:05.644109
960	9	9	0.96	1	0:00:05.717691
980	2	2	0.96	1	0:00:06.012030
1000	5	5	0.96	1	0:00:05.801211
1020	1	1	0.96	1	0:00:05.714293
1040	7	3	0.96	0	0:00:06.040462
1060	9	9	0.96	1	0:00:06.746344
1080	6	6	0.96	1	0:00:06.038386
1100	7	7	0.96	1	0:00:06.186989
1120	5	5	0.96	1	0:00:05.963550
1140	6	6	0.96	1	0:00:05.888744
1160	8	8	0.96	1	0:00:04.943318
1180	3	3	0.96	1	0:00:04.647430
1200	8	8	0.96	1	0:00:05.990839
1220	9	9	0.96	1	0:00:05.042638
1240	2	2	0.96	1	0:00:07.258367
1260	1	1	0.96	1	0:00:06.150695
1280	3	3	0.96	1	0:00:05.240026
1300	4	4	0.96	1	0:00:05.611140
1320	7	7	0.96	1	0:00:05.195530
1340	1	1	0.96	1	0:00:06.025070
1360	7	7	0.96	1	0:00:04.194601
1380	4	4	0.96	1	0:00:06.414262
1400	5	5	0.96	1	0:00:05.926767
1420	4	4	0.96	1	0:00:05.835462
1440	0	0	0.96	1	0:00:04.843889
1460	6	6	0.96	1	0:00:05.797833
1480	1	8	0.96	0	0:00:06.090183
1500	1	1	0.96	1	0:00:05.174673
1520	7	7	0.96	1	0:00:05.117629
1540	8	8	0.96	1	0:00:06.161026
1560	7	7	0.96	1	0:00:06.845904
1580	6	6	0.96	1	0:00:05.741733
1600	8	8	0.96	1	0:00:05.266670
1620	5	5	0.0337	1	0:00:05.509240
1640	7	7	0.96	1	0:00:05.154345
1660	3	3	0.96	1	0:00:06.137556
1680	6	6	0.96	1	0:00:05.971801
1700	5	5	0.96	1	0:00:05.406597
1720	4	4	0.96	1	0:00:05.640469
1740	1	1	0.96	1	0:00:05.109929
1760	0	0	0.96	1	0:00:04.697388
1780	7	7	0.96	1	0:00:04.754537
1800	4	4	0.96	1	0:00:05.367082
1820	8	8	0.96	1	0:00:05.953912
1840	8	8	0.96	1	0:00:05.582567
1860	8	0	0.96	0	0:00:06.247603
1880	1	1	0.96	1	0:00:06.168546
1900	8	8	0.96	1	0:00:05.222369
1920	2	2	0.96	1	0:00:05.362590
1940	5	5	0.96	1	0:00:06.577347
1960	2	2	0.96	1	0:00:05.797783
1980	9	9	0.96	1	0:00:04.357317
2000	1	1	0.96	1	0:00:04.543288
2020	9	9	0.96	1	0:00:05.933790
2040	0	0	0.96	1	0:00:05.782267
2060	5	5	0.96	1	0:00:05.946079
2080	1	1	0.96	1	0:00:06.431628
2100	2	2	0.96	1	0:00:05.854664
2120	4	4	0.96	1	0:00:04.940057
2140	9	9	0.96	1	0:00:05.212827
2160	0	0	0.96	1	0:00:05.780112
2180	4	4	0.96	1	0:00:05.929332
2200	0	2	0.96	0	0:00:04.746843
2220	1	1	0.96	1	0:00:06.014387
2240	9	9	0.96	1	0:00:04.315706
2260	4	4	0.96	1	0:00:04.138093
2280	4	4	0.96	1	0:00:04.973496
2300	3	3	0.96	1	0:00:04.942263
2320	5	5	0.96	1	0:00:05.587731
2340	7	7	0.96	1	0:00:06.208966
2360	7	7	0.96	1	0:00:04.417067
2380	8	8	0.96	1	0:00:06.220216
2400	0	0	0.96	1	0:00:05.868974
2420	8	7	0.96	0	0:00:04.363876
2440	7	7	0.96	1	0:00:06.254385
2460	9	9	0.96	1	0:00:05.896146
2480	8	8	0.96	1	0:00:05.582478
2500	4	4	0.96	1	0:00:04.519963
2520	1	1	0.96	1	0:00:05.574509
2540	2	2	0.672	1	0:00:05.218603
2560	7	7	0.96	1	0:00:06.169953
2580	6	3	0.96	0	0:00:06.244322
2600	8	8	0.96	1	0:00:05.918201
2620	1	1	0.96	1	0:00:06.020296
2640	7	7	0.96	1	0:00:05.964382
2660	3	3	0.96	1	0:00:05.578207
2680	0	0	0.96	1	0:00:05.859894
2700	9	9	0.96	1	0:00:05.181395
2720	3	3	0.96	1	0:00:05.524039
2740	1	1	0.96	1	0:00:05.295715
2760	2	2	0.96	1	0:00:05.548463
2780	7	7	0.96	1	0:00:05.074269
2800	4	4	0.96	1	0:00:05.433116
2820	6	6	0.96	1	0:00:04.816225
2840	3	3	0.96	1	0:00:04.035377
2860	5	5	0.96	1	0:00:04.672104
2880	4	4	0.96	1	0:00:04.769113
2900	3	3	0.96	1	0:00:05.251627
2920	2	2	0.96	1	0:00:05.628880
2940	3	0	0.96	0	0:00:05.775884
2960	9	0	0.96	0	0:00:05.020556
2980	8	8	0.96	1	0:00:05.154313
3000	5	5	0.96	1	0:00:04.484712
3020	1	1	0.96	1	0:00:05.274997
