idx	label	predict	radius	correct	time
0	3	3	0.677	1	0:00:47.971196
20	7	-1	0.0	0	0:00:48.101900
40	4	4	0.677	1	0:00:48.949039
60	7	7	0.677	1	0:00:49.918735
80	8	8	0.677	1	0:00:51.340598
100	4	4	0.677	1	0:00:51.278817
120	8	8	0.677	1	0:00:51.022369
140	6	6	0.677	1	0:00:51.433523
160	2	2	0.677	1	0:00:51.349149
180	0	0	0.677	1	0:00:51.826579
200	5	5	0.677	1	0:00:51.152005
220	7	7	0.677	1	0:00:51.777645
240	1	1	0.677	1	0:00:51.183935
260	8	8	0.677	1	0:00:50.939083
280	9	9	0.677	1	0:00:51.071661
300	6	6	0.677	1	0:00:51.319828
320	3	3	0.677	1	0:00:51.531102
340	2	-1	0.0	0	0:00:51.702313
360	9	9	0.677	1	0:00:51.557228
380	6	6	0.677	1	0:00:51.374384
400	9	9	0.677	1	0:00:52.169941
420	4	4	0.677	1	0:00:51.403965
440	1	1	0.677	1	0:00:51.707501
460	5	5	0.677	1	0:00:51.406873
480	8	8	0.572	1	0:00:50.808241
500	4	4	0.677	1	0:00:51.679154
520	5	5	0.677	1	0:00:50.973744
540	1	1	0.677	1	0:00:51.024347
560	0	0	0.677	1	0:00:51.052238
580	4	4	0.677	1	0:00:51.362141
600	8	8	0.677	1	0:00:51.371342
620	7	7	0.677	1	0:00:51.286151
640	5	5	0.45	1	0:00:50.770782
660	9	9	0.677	1	0:00:51.331189
680	9	1	0.572	0	0:00:50.837992
700	7	7	0.677	1	0:00:51.091460
720	4	4	0.677	1	0:00:51.009976
740	2	7	0.677	0	0:00:51.127073
760	3	5	0.677	0	0:00:51.186733
780	9	9	0.677	1	0:00:51.258561
800	7	7	0.677	1	0:00:51.493289
820	6	6	0.677	1	0:00:50.655369
840	7	7	0.677	1	0:00:51.171342
860	4	4	0.526	1	0:00:51.609511
880	8	8	0.677	1	0:00:50.707171
900	2	2	0.409	1	0:00:51.166829
920	6	6	0.677	1	0:00:51.644190
940	9	9	0.677	1	0:00:51.250775
960	9	9	0.677	1	0:00:51.226601
980	2	2	0.677	1	0:00:51.261949
1000	5	5	0.677	1	0:00:51.146780
1020	1	1	0.677	1	0:00:51.311261
1040	7	5	0.677	0	0:00:51.765753
1060	9	9	0.677	1	0:00:51.517137
1080	6	6	0.677	1	0:00:51.821604
1100	7	7	0.677	1	0:00:51.418583
1120	5	5	0.677	1	0:00:51.475412
1140	6	6	0.677	1	0:00:51.059079
1160	8	8	0.677	1	0:00:51.671174
1180	3	3	0.677	1	0:00:51.292550
1200	8	8	0.677	1	0:00:51.622705
1220	9	9	0.677	1	0:00:50.721939
1240	2	2	0.677	1	0:00:50.979110
1260	1	1	0.677	1	0:00:50.701338
1280	3	3	0.677	1	0:00:50.649224
1300	4	4	0.677	1	0:00:51.208003
1320	7	7	0.677	1	0:00:51.638413
1340	1	1	0.677	1	0:00:51.922648
1360	7	7	0.677	1	0:00:51.755072
1380	4	4	0.677	1	0:00:51.471249
1400	5	-1	0.0	0	0:00:51.452389
1420	4	4	0.677	1	0:00:51.393840
1440	0	0	0.677	1	0:00:50.875158
1460	6	6	0.677	1	0:00:50.492715
1480	1	-1	0.0	0	0:00:50.994448
1500	1	1	0.677	1	0:00:50.940681
1520	7	7	0.677	1	0:00:51.305445
1540	8	8	0.677	1	0:00:51.644235
1560	7	7	0.677	1	0:00:51.254448
1580	6	6	0.677	1	0:00:51.408264
1600	8	-1	0.0	0	0:00:51.641520
1620	5	-1	0.0	0	0:00:51.394541
1640	7	7	0.677	1	0:00:51.591425
1660	3	3	0.677	1	0:00:51.204323
1680	6	6	0.677	1	0:00:51.522624
1700	5	5	0.677	1	0:00:51.425575
1720	4	4	0.677	1	0:00:51.198503
1740	1	1	0.677	1	0:00:51.721712
1760	0	0	0.677	1	0:00:51.219552
1780	7	7	0.677	1	0:00:49.468609
1800	4	4	0.677	1	0:00:49.404737
1820	8	8	0.677	1	0:00:49.459951
1840	8	8	0.677	1	0:00:49.434248
1860	8	-1	0.0	0	0:00:49.436709
1880	1	1	0.677	1	0:00:49.348322
1900	8	8	0.677	1	0:00:49.377767
1920	2	2	0.677	1	0:00:49.372481
1940	5	5	0.677	1	0:00:49.433286
1960	2	2	0.677	1	0:00:49.385267
1980	9	9	0.677	1	0:00:49.360495
2000	1	1	0.677	1	0:00:49.339140
2020	9	9	0.677	1	0:00:49.366654
2040	0	0	0.677	1	0:00:49.357091
2060	5	5	0.677	1	0:00:49.363361
2080	1	-1	0.0	0	0:00:49.329718
2100	2	2	0.677	1	0:00:49.393864
2120	4	4	0.626	1	0:00:49.414667
2140	9	9	0.677	1	0:00:49.355389
2160	0	0	0.677	1	0:00:49.366221
2180	4	4	0.677	1	0:00:49.298595
2200	0	2	0.677	0	0:00:49.366868
2220	1	1	0.677	1	0:00:49.347643
2240	9	9	0.677	1	0:00:49.354325
2260	4	4	0.677	1	0:00:50.032658
2280	4	4	0.677	1	0:00:50.311173
2300	3	-1	0.0	0	0:00:50.273619
2320	5	-1	0.0	0	0:00:50.277605
2340	7	7	0.677	1	0:00:50.271033
2360	7	7	0.677	1	0:00:50.267589
2380	8	8	0.677	1	0:00:50.241381
2400	0	0	0.677	1	0:00:50.292214
2420	8	8	0.677	1	0:00:49.522375
2440	7	7	0.677	1	0:00:49.272141
2460	9	9	0.677	1	0:00:49.293873
2480	8	8	0.677	1	0:00:49.386998
2500	4	4	0.677	1	0:00:49.261674
2520	1	1	0.677	1	0:00:49.325479
2540	2	2	0.677	1	0:00:49.734651
2560	7	7	0.677	1	0:00:49.281817
2580	6	6	0.654	1	0:00:49.246216
2600	8	8	0.677	1	0:00:49.285591
2620	1	1	0.677	1	0:00:49.337746
2640	7	7	0.677	1	0:00:49.318339
2660	3	3	0.677	1	0:00:49.309114
2680	0	0	0.677	1	0:00:49.299951
2700	9	9	0.677	1	0:00:49.375795
2720	3	3	0.677	1	0:00:49.319460
2740	1	1	0.677	1	0:00:49.262794
2760	2	2	0.677	1	0:00:49.267685
2780	7	7	0.677	1	0:00:49.302009
2800	4	4	0.677	1	0:00:49.266285
2820	6	6	0.677	1	0:00:49.284490
2840	3	3	0.677	1	0:00:49.264865
2860	5	5	0.677	1	0:00:49.261415
2880	4	4	0.677	1	0:00:49.261238
2900	3	3	0.51	1	0:00:49.309236
2920	2	2	0.677	1	0:00:49.318940
2940	3	0	0.677	0	0:00:49.264315
2960	9	-1	0.0	0	0:00:49.215769
2980	8	8	0.677	1	0:00:49.253071
3000	5	5	0.677	1	0:00:49.221060
3020	1	1	0.677	1	0:00:49.277263
3040	7	7	0.677	1	0:00:49.227311
3060	7	7	0.677	1	0:00:49.204525
3080	1	1	0.677	1	0:00:49.236169
3100	0	0	0.677	1	0:00:49.230540
3120	4	4	0.677	1	0:00:49.293622
3140	8	8	0.677	1	0:00:49.310526
3160	6	2	0.677	0	0:00:49.244717
3180	3	6	0.327	0	0:00:49.285468
3200	5	5	0.677	1	0:00:49.257149
3220	3	-1	0.0	0	0:00:49.276481
3240	4	3	0.207	0	0:00:49.339753
3260	7	7	0.677	1	0:00:49.301351
3280	3	3	0.677	1	0:00:49.296907
3300	4	4	0.677	1	0:00:49.236589
3320	2	0	0.211	0	0:00:49.280941
3340	6	6	0.677	1	0:00:49.226768
3360	4	4	0.677	1	0:00:49.323088
3380	8	8	0.677	1	0:00:49.313965
3400	6	-1	0.0	0	0:00:49.277718
3420	5	-1	0.0	0	0:00:49.283998
3440	2	-1	0.0	0	0:00:49.319065
3460	1	1	0.677	1	0:00:49.300517
3480	2	2	0.677	1	0:00:49.286603
3500	1	1	0.677	1	0:00:49.399209
3520	1	1	0.677	1	0:00:50.021603
3540	6	6	0.677	1	0:00:50.263543
3560	1	9	0.677	0	0:00:50.209439
3580	4	4	0.677	1	0:00:50.213542
3600	4	3	0.677	0	0:00:50.212406
3620	0	0	0.677	1	0:00:50.212449
3640	6	6	0.598	1	0:00:50.233537
3660	0	0	0.677	1	0:00:50.217503
