idx	label	predict	radius	correct	time
0	3	3	15.7	1	0:00:32.774642
20	7	7	3.05	1	0:00:32.175994
40	4	4	27.4	1	0:00:32.203862
60	7	7	27.4	1	0:00:32.481414
80	8	8	27.4	1	0:00:33.386942
100	4	7	22.0	0	0:00:32.864400
120	8	8	27.4	1	0:00:33.238514
140	6	6	27.4	1	0:00:33.090465
160	2	2	27.4	1	0:00:32.489505
180	0	0	27.4	1	0:00:32.522654
200	5	5	15.3	1	0:00:34.925547
220	7	5	7.06	0	0:00:32.779918
240	1	1	27.4	1	0:00:32.599718
260	8	8	27.4	1	0:00:32.827415
280	9	9	27.4	1	0:00:32.917446
300	6	6	27.4	1	0:00:33.386808
320	3	3	27.4	1	0:00:33.161536
340	2	2	9.44	1	0:00:34.511809
360	9	9	26.8	1	0:00:32.461492
380	6	6	27.4	1	0:00:32.384461
400	9	9	27.4	1	0:00:32.488992
420	4	4	27.4	1	0:00:32.809995
440	1	1	27.4	1	0:00:33.130315
460	5	5	26.1	1	0:00:33.219390
480	8	9	18.0	0	0:00:33.152118
500	4	4	22.5	1	0:00:33.368207
520	5	5	26.4	1	0:00:32.679899
540	1	1	26.4	1	0:00:33.479238
560	0	0	27.4	1	0:00:32.655703
580	4	4	26.8	1	0:00:32.765151
600	8	9	5.86	0	0:00:32.689498
620	7	7	25.9	1	0:00:32.876640
640	5	3	27.4	0	0:00:33.283500
660	9	9	27.4	1	0:00:33.346577
680	9	9	2.21	1	0:00:33.540321
700	7	7	20.3	1	0:00:33.073365
720	4	7	27.4	0	0:00:32.372365
740	2	5	20.7	0	0:00:32.683461
760	3	3	20.2	1	0:00:33.700776
780	9	9	27.4	1	0:00:32.614899
800	7	7	27.4	1	0:00:32.997889
820	6	6	18.7	1	0:00:33.582580
840	7	7	27.4	1	0:00:33.143602
860	4	4	27.4	1	0:00:33.535852
880	8	8	27.4	1	0:00:33.176852
900	2	3	24.3	0	0:00:32.477541
920	6	6	27.4	1	0:00:33.989627
940	9	9	13.3	1	0:00:33.175227
960	9	7	5.72	0	0:00:32.765000
980	2	2	18.3	1	0:00:32.811040
1000	5	5	27.4	1	0:00:33.749404
1020	1	1	1.19	1	0:00:33.235312
1040	7	5	27.4	0	0:00:33.881084
1060	9	9	27.4	1	0:00:32.770162
1080	6	6	27.4	1	0:00:32.648073
1100	7	7	12.5	1	0:00:32.414020
1120	5	5	27.4	1	0:00:32.800000
1140	6	6	27.4	1	0:00:32.552923
1160	8	8	27.4	1	0:00:32.998226
1180	3	3	27.4	1	0:00:33.126785
1200	8	8	27.4	1	0:00:33.059891
1220	9	2	0.284	0	0:00:33.874411
1240	2	2	15.0	1	0:00:32.685650
1260	1	1	18.9	1	0:00:32.618550
1280	3	7	27.4	0	0:00:32.342565
1300	4	4	26.8	1	0:00:32.846435
1320	7	7	2.69	1	0:00:33.498336
1340	1	1	25.9	1	0:00:32.714306
1360	7	7	27.4	1	0:00:32.730052
1380	4	5	10.7	0	0:00:33.151791
1400	5	3	27.4	0	0:00:33.394687
1420	4	4	27.4	1	0:00:32.512679
1440	0	8	18.1	0	0:00:32.638177
1460	6	6	27.4	1	0:00:32.650377
1480	1	3	16.5	0	0:00:32.499974
1500	1	1	27.4	1	0:00:32.728605
1520	7	7	27.4	1	0:00:32.958964
1540	8	8	27.4	1	0:00:32.740301
1560	7	7	27.4	1	0:00:33.067438
1580	6	1	6.58	0	0:00:34.510681
1600	8	9	2.56	0	0:00:32.900184
1620	5	8	17.5	0	0:00:32.621377
1640	7	7	22.2	1	0:00:32.368131
1660	3	3	27.4	1	0:00:32.363822
1680	6	6	27.4	1	0:00:32.555064
1700	5	5	26.4	1	0:00:32.791192
1720	4	4	13.7	1	0:00:34.018765
1740	1	1	26.4	1	0:00:33.219140
1760	0	0	27.4	1	0:00:33.401963
1780	7	7	0.563	1	0:00:33.076251
1800	4	2	8.71	0	0:00:34.121077
1820	8	8	3.95	1	0:00:32.594327
1840	8	8	27.4	1	0:00:32.612888
1860	8	8	27.4	1	0:00:32.587045
