idx	label	predict	radius	correct	time
0	3	5	0.926	0	0:00:30.287471
20	7	7	30.1	1	0:00:29.866264
40	4	4	10.4	1	0:00:29.861128
60	7	7	39.6	1	0:00:29.849134
80	8	8	44.4	1	0:00:29.924239
100	4	7	27.6	0	0:00:30.016483
120	8	8	13.5	1	0:00:30.081324
140	6	6	40.6	1	0:00:30.180319
160	2	2	35.9	1	0:00:30.367868
180	0	0	44.4	1	0:00:30.537602
200	5	5	20.0	1	0:00:30.869859
220	7	7	37.6	1	0:00:30.541334
240	1	1	44.4	1	0:00:30.095325
260	8	8	14.8	1	0:00:30.010402
280	9	9	44.4	1	0:00:29.983919
300	6	6	44.4	1	0:00:30.021773
320	3	3	4.59	1	0:00:30.124048
340	2	0	3.08	0	0:00:30.198748
360	9	9	44.4	1	0:00:30.392118
380	6	6	43.0	1	0:00:30.572553
400	9	9	44.4	1	0:00:30.878350
420	4	4	35.6	1	0:00:30.485914
440	1	1	26.2	1	0:00:30.087224
460	5	5	35.7	1	0:00:29.988694
480	8	9	13.4	0	0:00:30.017587
500	4	4	23.1	1	0:00:30.018921
520	5	5	44.4	1	0:00:30.105948
540	1	1	24.5	1	0:00:30.213628
560	0	0	43.0	1	0:00:30.397963
580	4	2	24.9	0	0:00:30.575207
600	8	8	10.8	1	0:00:30.929047
620	7	7	44.4	1	0:00:30.396502
640	5	3	18.5	0	0:00:30.105458
660	9	9	44.4	1	0:00:30.009343
680	9	9	38.5	1	0:00:30.001741
700	7	7	30.2	1	0:00:30.023798
720	4	4	4.94	1	0:00:30.134254
740	2	2	36.1	1	0:00:30.275383
760	3	5	9.75	0	0:00:30.474730
780	9	9	33.7	1	0:00:30.653281
800	7	7	44.4	1	0:00:30.957185
820	6	6	44.4	1	0:00:30.351395
840	7	7	44.4	1	0:00:30.036001
860	4	4	44.4	1	0:00:29.976753
880	8	8	44.4	1	0:00:29.981571
900	2	5	1.84	0	0:00:30.048400
920	6	6	44.4	1	0:00:30.132190
940	9	9	44.4	1	0:00:30.275429
960	9	7	32.2	0	0:00:30.407315
980	2	2	6.91	1	0:00:30.670465
1000	5	5	44.4	1	0:00:30.947776
1020	1	1	25.1	1	0:00:30.338133
1040	7	5	9.07	0	0:00:30.063228
1060	9	9	44.4	1	0:00:29.996324
1080	6	6	44.4	1	0:00:29.994395
1100	7	7	25.2	1	0:00:30.048020
1120	5	2	4.73	0	0:00:30.142000
1140	6	6	44.4	1	0:00:30.240410
1160	8	8	43.0	1	0:00:30.462969
1180	3	3	5.43	1	0:00:30.661489
1200	8	8	28.5	1	0:00:30.839666
1220	9	3	24.8	0	0:00:30.211012
1240	2	6	44.4	0	0:00:30.036388
1260	1	1	25.2	1	0:00:29.989097
1280	3	5	9.03	0	0:00:30.021911
1300	4	4	19.4	1	0:00:30.099204
1320	7	7	41.3	1	0:00:30.138458
1340	1	1	28.4	1	0:00:30.290455
1360	7	7	39.6	1	0:00:30.482418
1380	4	5	37.6	0	0:00:30.714518
1400	5	5	44.4	1	0:00:30.816990
1420	4	4	27.7	1	0:00:30.215873
1440	0	0	44.4	1	0:00:30.054255
1460	6	6	44.4	1	0:00:29.971587
1480	1	5	33.0	0	0:00:30.046344
1500	1	1	44.4	1	0:00:30.067825
1520	7	7	44.4	1	0:00:30.151297
1540	8	8	44.4	1	0:00:30.272717
1560	7	7	44.4	1	0:00:30.490819
1580	6	1	22.3	0	0:00:30.723034
1600	8	8	9.73	1	0:00:30.770817
1620	5	5	9.96	1	0:00:30.177989
1640	7	7	9.68	1	0:00:30.029967
1660	3	3	44.4	1	0:00:29.991565
1680	6	6	44.4	1	0:00:29.987229
1700	5	3	44.4	0	0:00:30.058995
1720	4	4	18.9	1	0:00:30.161403
1740	1	1	44.4	1	0:00:30.284584
1760	0	0	44.4	1	0:00:30.449624
1780	7	7	25.3	1	0:00:30.684472
1800	4	4	2.8	1	0:00:30.647974
1820	8	9	21.2	0	0:00:30.143240
1840	8	8	37.1	1	0:00:30.006666
1860	8	8	40.1	1	0:00:29.996376
1880	1	1	37.9	1	0:00:30.064914
1900	8	8	44.4	1	0:00:30.085257
1920	2	2	43.0	1	0:00:30.207610
1940	5	3	11.1	0	0:00:30.351379
1960	2	5	44.4	0	0:00:30.530942
1980	9	9	44.4	1	0:00:30.799683
2000	1	1	41.3	1	0:00:30.730651
2020	9	9	44.4	1	0:00:30.133354
2040	0	0	44.4	1	0:00:30.018993
2060	5	3	9.13	0	0:00:30.040143
2080	1	1	2.57	1	0:00:30.040090
2100	2	2	41.3	1	0:00:30.109433
2120	4	3	3.03	0	0:00:30.234402
2140	9	9	43.0	1	0:00:30.356755
2160	0	0	21.8	1	0:00:30.837936
2180	4	4	44.4	1	0:00:30.856346
2200	0	0	2.74	1	0:00:31.240886
2220	1	1	24.6	1	0:00:31.601199
2240	9	9	44.4	1	0:00:31.490535
2260	4	4	44.4	1	0:00:31.016986
2280	4	4	0.0999	1	0:00:31.303608
2300	3	3	22.0	1	0:00:30.331775
2320	5	2	0.531	0	0:00:31.233926
2340	7	7	44.4	1	0:00:31.321054
2360	7	7	32.7	1	0:00:31.725724
2380	8	8	44.4	1	0:00:31.833569
2400	0	0	44.4	1	0:00:30.883114
2420	8	5	1.03	0	0:00:31.138555
2440	7	7	21.2	1	0:00:30.787995
2460	9	9	44.4	1	0:00:30.973997
2480	8	8	13.0	1	0:00:30.929337
2500	4	4	43.0	1	0:00:31.316643
2520	1	1	44.4	1	0:00:31.044572
2540	2	2	44.4	1	0:00:31.677943
2560	7	7	36.9	1	0:00:32.177978
2580	6	6	43.0	1	0:00:31.784347
2600	8	8	44.4	1	0:00:31.117660
2620	1	1	44.4	1	0:00:31.586317
2640	7	7	28.7	1	0:00:31.247710
2660	3	3	6.17	1	0:00:31.044249
2680	0	0	44.4	1	0:00:30.996363
2700	9	9	44.4	1	0:00:30.988314
2720	3	3	44.4	1	0:00:31.284803
2740	1	1	14.6	1	0:00:31.576332
2760	2	2	44.4	1	0:00:32.039916
2780	7	7	43.0	1	0:00:30.872890
2800	4	4	41.3	1	0:00:30.965693
2820	6	6	44.4	1	0:00:30.718461
2840	3	3	44.4	1	0:00:30.911260
2860	5	5	5.9	1	0:00:30.787113
2880	4	4	44.4	1	0:00:31.125420
