idx	label	predict	radius	correct	time
0	3	3	0.028	True	0:01:11.773411
20	7	7	0.00845	True	0:01:11.590849
40	4	4	0.000187	True	0:01:37.627331
60	7	7	0.0251	True	0:01:13.605369
80	8	8	0.0563	True	0:01:11.930673
100	4	4	-0.119	True	0:00:03.133407
120	8	8	0.0595	True	0:01:12.055964
140	6	6	-0.0393	True	0:00:32.883591
160	2	2	-0.00255	True	0:01:31.141943
180	0	0	0.0108	True	0:01:13.045126
200	5	5	-0.162	True	0:00:03.198544
220	7	7	0.0248	True	0:01:12.649078
240	1	1	0.0185	True	0:01:12.619884
260	8	8	-0.18	True	0:00:03.175827
280	9	9	0.00929	True	0:02:29.960372
300	6	6	0.0214	True	0:01:12.161978
320	3	3	-0.114	True	0:00:03.151191
340	2	2	-0.032	True	0:00:04.599362
360	9	9	0.0503	True	0:01:12.622132
380	6	6	0.0341	True	0:01:14.021206
400	9	9	0.0391	True	0:02:24.581334
420	4	4	0.0779	True	0:01:12.493418
440	1	1	0.0119	True	0:01:22.512779
460	5	5	0.0137	True	0:01:13.100740
480	8	9	-0.175	False	0:00:03.147416
500	4	6	-1.0	False	0:00:00.529799
520	5	5	-0.164	True	0:00:03.143822
540	1	1	0.033	True	0:02:24.049340
560	0	0	0.0335	True	0:01:13.735146
580	4	4	0.0618	True	0:01:13.246649
600	8	8	0.00506	True	0:02:34.037601
620	7	7	0.0395	True	0:01:13.706772
640	5	3	-1.05	False	0:00:00.299368
660	9	9	0.0184	True	0:01:17.544520
680	9	9	-0.00204	True	0:00:48.990754
700	7	7	0.0144	True	0:01:12.510939
720	4	4	-0.0559	True	0:00:03.302316
740	2	5	-0.0194	False	0:00:03.180253
760	3	3	-0.0925	True	0:00:03.186952
780	9	9	0.0334	True	0:02:26.683052
800	7	7	0.0259	True	0:01:12.285363
820	6	6	-0.0225	True	0:00:03.150192
840	7	7	0.00133	True	0:01:12.432410
860	4	4	0.0252	True	0:01:18.845430
880	8	8	0.0687	True	0:01:13.766560
900	2	2	-0.107	True	0:00:03.161260
920	6	6	0.0283	True	0:01:12.167075
940	9	9	0.0218	True	0:02:24.968094
960	9	9	0.0343	True	0:02:27.339794
980	2	-1	-inf	False	0:00:00.299556
1000	5	5	0.0252	True	0:01:13.546263
1020	1	1	0.0291	True	0:02:28.732114
1040	7	5	-0.00806	False	0:00:03.336824
1060	9	9	0.0114	True	0:01:16.693433
1080	6	6	0.0306	True	0:02:32.046345
1100	7	0	-0.159	False	0:00:03.319340
1120	5	2	-0.0489	False	0:00:03.320892
1140	6	6	0.0757	True	0:01:14.741151
1160	8	8	0.0294	True	0:01:12.402220
1180	3	3	0.0474	True	0:01:12.479175
1200	8	8	-0.000563	True	0:01:08.613543
1220	9	6	-0.132	False	0:00:03.226069
1240	2	2	-0.106	True	0:00:03.230298
1260	1	1	-0.186	True	0:00:03.233874
1280	3	3	-0.166	True	0:00:03.237936
1300	4	4	-0.0749	True	0:00:03.232809
1320	7	7	-0.129	True	0:00:03.241643
1340	1	1	0.00726	True	0:01:13.580017
1360	7	7	0.0223	True	0:01:12.236740
1380	4	4	-0.134	True	0:00:03.147485
1400	5	3	-0.0309	False	0:00:03.151566
1420	4	4	-0.151	True	0:00:03.152169
1440	0	0	-0.122	True	0:00:08.212135
1460	6	6	0.00734	True	0:01:12.753277
