idx	label	predict	radius	correct	time
0	3	3	-0.0125	True	0:00:03.834919
20	7	7	0.0604	True	0:00:50.178566
40	4	4	0.0542	True	0:00:50.693049
60	7	7	0.077	True	0:00:51.107342
80	8	8	0.108	True	0:00:49.082986
100	4	4	-0.069	True	0:00:03.145574
120	8	8	0.111	True	0:00:47.957552
140	6	6	0.11	True	0:00:47.900670
160	2	2	-0.00525	True	0:00:18.397518
180	0	0	0.0628	True	0:00:48.148226
200	5	5	-0.0317	True	0:00:13.652514
220	7	7	0.0768	True	0:00:48.787484
240	1	1	0.0705	True	0:00:49.142762
260	8	8	-0.13	True	0:00:03.146994
280	9	9	0.0519	True	0:00:50.319808
300	6	6	0.0734	True	0:00:47.759727
320	3	3	0.049	True	0:00:53.521500
340	2	4	-0.115	False	0:00:03.139296
360	9	9	0.102	True	0:00:48.234462
380	6	6	0.086	True	0:00:48.797610
400	9	9	0.0507	True	0:00:49.045122
420	4	4	0.13	True	0:00:47.898791
440	1	1	0.0638	True	0:00:47.788082
460	5	5	0.0656	True	0:00:47.896131
480	8	-1	-0.125	False	0:00:03.141185
500	4	6	-0.117	False	0:00:03.137732
520	5	5	0.0733	True	0:00:48.229685
540	1	1	0.0447	True	0:00:48.762384
560	0	0	0.0854	True	0:00:49.051826
580	4	4	0.114	True	0:00:47.963432
600	8	8	0.0736	True	0:00:47.788313
620	7	7	0.0914	True	0:00:47.878365
640	5	3	-0.0417	False	0:00:03.139310
660	9	9	0.0806	True	0:00:48.162228
680	9	9	-0.117	True	0:00:03.157423
700	7	7	0.0663	True	0:00:48.636771
720	4	7	-0.0865	False	0:00:03.201858
740	2	5	-1.07	False	0:00:00.294738
760	3	3	-0.0174	True	0:00:04.679705
780	9	9	0.045	True	0:00:49.014632
800	7	7	0.0778	True	0:00:47.936883
820	6	6	-0.0705	True	0:00:03.125392
840	7	7	0.0533	True	0:00:47.766579
860	4	4	0.128	True	0:00:47.884919
880	8	8	0.121	True	0:00:48.123477
900	2	-1	-inf	False	0:00:00.289773
920	6	6	0.0802	True	0:00:48.667101
940	9	9	0.0334	True	0:00:49.139771
960	9	9	-0.00171	True	0:00:27.204478
980	2	2	-0.0565	True	0:00:03.247275
1000	5	5	0.0771	True	0:00:47.806505
1020	1	1	0.0407	True	0:00:47.823514
1040	7	5	-0.00416	False	0:00:03.132896
1060	9	9	0.0634	True	0:00:48.049948
1080	6	6	-0.00493	True	0:00:28.724543
1100	7	8	-0.109	False	0:00:03.163444
