idx	label	predict	radius	correct	time
0	3	3	0.0012	True	0:04:46.021635
20	7	7	0.000632	True	0:13:10.859859
40	4	4	0.000875	True	0:19:04.614208
60	7	7	0.00268	True	0:05:59.737449
80	8	8	0.0148	True	0:02:23.027349
100	4	4	-0.0312	True	0:00:03.161230
120	8	8	0.00115	True	0:01:13.003515
140	6	6	-0.000172	True	0:00:15.724594
160	2	2	0.00506	True	0:02:23.883934
180	0	0	0.00131	True	0:11:58.434149
200	5	5	-0.0313	True	0:00:03.196301
220	7	7	-0.000327	True	0:02:08.507318
240	1	1	0.00252	True	0:08:22.959095
260	8	8	-0.0638	True	0:00:03.241046
280	9	9	0.000574	True	0:21:33.089686
300	6	6	0.00255	True	0:07:09.822266
320	3	3	0.013	True	0:01:13.119569
340	2	2	-0.00606	True	0:00:03.227060
360	9	9	0.00875	True	0:02:23.634556
380	6	6	0.00136	True	0:03:36.446622
400	9	9	0.00031	True	0:22:43.088773
420	4	4	0.0196	True	0:01:13.247070
440	1	1	0.000519	True	0:10:48.406193
460	5	5	0.000125	True	0:09:35.999717
480	8	8	-0.117	True	0:00:03.187985
500	4	6	-0.0671	False	0:00:03.184489
520	5	5	0.00249	True	0:07:11.233941
540	1	1	-0.00127	True	0:00:03.135629
560	0	0	0.000785	True	0:03:36.707990
580	4	4	0.00353	True	0:01:15.666482
600	8	8	-0.00083	True	0:07:16.518274
620	7	7	0.0068	True	0:03:35.309284
640	5	5	-0.0147	True	0:00:03.160428
660	9	9	0.00186	True	0:04:47.847699
680	9	-1	-0.117	False	0:00:03.148206
700	7	7	0.000883	True	0:09:34.710044
720	4	4	0.00761	True	0:02:25.255809
740	2	2	-0.0297	True	0:00:03.187936
760	3	3	-0.000803	True	0:01:51.681160
780	9	9	-0.000948	True	0:00:03.132303
800	7	7	0.00353	True	0:05:59.494288
820	6	6	-0.016	True	0:00:03.158658
840	7	7	0.000983	True	0:20:20.457321
860	4	4	0.0176	True	0:01:12.980769
880	8	8	0.0104	True	0:01:12.613616
900	2	2	-0.00964	True	0:00:03.135133
920	6	6	0.00147	True	0:04:49.861980
940	9	9	-0.0125	True	0:00:03.329835
960	9	9	-6.49e-05	True	0:00:03.339234
980	2	2	0.0208	True	0:01:18.467072
1000	5	5	0.00283	True	0:06:06.807180
1020	1	1	-0.00523	True	0:00:03.161352
1040	7	7	-0.0564	True	0:00:03.167827
1060	9	9	4.1e-05	True	0:10:47.571043
1080	6	6	-0.00371	True	0:00:03.204231
1100	7	8	-0.109	False	0:00:03.207788
1120	5	5	-0.079	True	0:00:03.209138
1140	6	6	0.0174	True	0:01:13.367343
1160	8	8	0.00264	True	0:04:47.795367
1180	3	3	0.00275	True	0:02:31.052580
1200	8	8	0.00258	True	0:07:12.712696
1220	9	-1	-inf	False	0:00:00.294646
1240	2	2	0.0214	True	0:01:12.022752
1260	1	1	-0.0105	True	0:00:03.127259
1280	3	3	0.00127	True	0:07:10.724903
1300	4	4	-0.0249	True	0:00:03.167197
1320	7	7	0.0149	True	0:02:25.188901
1340	1	1	-0.000589	True	0:00:44.957705
1360	7	7	0.00344	True	0:07:11.144064
1380	4	4	-0.0841	True	0:00:03.183317
1400	5	5	-0.0198	True	0:00:25.894684
1420	4	4	-0.0826	True	0:00:03.214134
1440	0	0	0.00579	True	0:01:17.265120
1460	6	6	0.00104	True	0:14:22.555462
1480	1	1	-0.155	True	0:00:03.172608
1500	1	1	0.000679	True	0:14:20.519055
1520	7	7	0.00286	True	0:01:13.054185
1540	8	8	0.00547	True	0:03:35.021936
1560	7	7	-0.00536	True	0:00:03.209751
1580	6	6	-0.0322	True	0:00:03.214392
1600	8	8	-0.00983	True	0:00:03.222833
1620	5	5	-0.114	True	0:00:03.214381
1640	7	7	-0.0308	True	0:00:03.227793
1660	3	3	0.00336	True	0:06:00.310804
1680	6	6	0.0115	True	0:01:11.738286
1700	5	5	-0.0672	True	0:00:03.126874
1720	4	4	0.00561	True	0:04:48.078979
1740	1	1	-0.00574	True	0:00:03.125785
1760	0	0	0.00378	True	0:01:11.886976
1780	7	7	0.00583	True	0:04:48.158938
1800	4	4	0.0142	True	0:02:31.503827
1820	8	8	7.62e-05	True	0:29:54.408621
1840	8	8	-0.008	True	0:00:03.182570
1860	8	8	-0.00214	True	0:00:03.173991
1880	1	1	0.000611	True	0:07:09.787525
1900	8	8	0.00372	True	0:01:12.186429
1920	2	2	0.00548	True	0:03:36.260824
1940	5	5	-0.000232	True	0:00:27.261568
1960	2	2	-0.0416	True	0:00:03.144008
1980	9	9	0.000481	True	0:16:45.857299
2000	1	1	-0.00275	True	0:05:56.362570
2020	9	9	0.000808	True	0:15:33.197860
2040	0	0	0.0162	True	0:02:22.967331
2060	5	5	-0.0142	True	0:00:11.595083
2080	1	1	-0.0986	True	0:00:03.157197
2100	2	2	0.0165	True	0:02:25.021374
2120	4	3	-0.0979	False	0:00:03.126704
2140	9	9	7.42e-05	True	0:14:22.508778
2160	0	0	0.00454	True	0:02:23.094854
2180	4	4	0.0467	True	0:01:12.648409
2200	0	0	0.0102	True	0:01:14.538994
2220	1	1	0.000536	True	0:11:57.958999
2240	9	9	-0.0989	True	0:00:03.140757
2260	4	4	0.000796	True	0:05:59.593073
2280	4	4	0.0294	True	0:01:25.092127
2300	3	3	-0.0687	True	0:00:03.240745
2320	5	3	-1.04	False	0:00:00.296025
2340	7	7	0.00217	True	0:06:00.032024
2360	7	7	-0.148	True	0:00:03.129927
2380	8	8	0.0117	True	0:01:11.715589
2400	0	0	0.00339	True	0:03:36.912462
2420	8	8	-0.0311	True	0:00:04.342264
2440	7	7	0.000629	True	0:05:59.056599
2460	9	9	0.00835	True	0:02:23.846019
2480	8	8	1.14e-05	True	0:02:25.003205
2500	4	6	-0.0329	False	0:00:03.134688
2520	1	1	9e-05	True	0:16:45.096892
2540	2	2	-0.0591	True	0:00:03.164292
2560	7	7	0.00365	True	0:02:25.461340
2580	6	6	-0.00386	True	0:00:03.135145
2600	8	8	0.0108	True	0:02:22.285322
2620	1	1	0.013	True	0:02:22.050258
2640	7	7	0.00046	True	0:19:08.559328
2660	3	3	-0.061	True	0:00:03.230694
2680	0	0	0.0148	True	0:02:23.627234
2700	9	9	-0.143	True	0:00:03.131589
2720	3	3	0.00648	True	0:02:24.632484
2740	1	1	-0.00525	True	0:00:03.234492
2760	2	2	0.0184	True	0:01:12.907441
2780	7	7	7.16e-05	True	0:26:19.476972
2800	4	4	0.00279	True	0:01:12.180712
2820	6	6	0.00528	True	0:03:36.620964
2840	3	3	0.00054	True	0:07:11.589662
2860	5	5	-0.0781	True	0:00:03.199497
2880	4	4	0.0192	True	0:01:13.487949
2900	3	7	-0.109	False	0:00:03.138604
2920	2	2	0.00246	True	0:02:23.135196
2940	3	0	-1.0	False	0:00:03.149665
2960	9	0	-1.0	False	0:00:01.124760
2980	8	8	0.00786	True	0:03:36.865829
3000	5	5	0.00083	True	0:03:44.082083
3020	1	1	0.00167	True	0:13:08.806517
3040	7	7	0.000631	True	0:26:20.792258
3060	7	7	0.00151	True	0:03:34.974448
3080	1	1	-0.000168	True	0:01:57.540238
3100	0	0	0.043	True	0:01:11.670373
3120	4	4	-0.0659	True	0:00:03.120832
3140	8	8	0.00392	True	0:01:11.855083
3160	6	6	-0.0254	True	0:00:16.555059
3180	3	6	-0.0959	False	0:00:03.154612
3200	5	5	0.00487	True	0:05:12.920088
3220	3	9	-0.0986	False	0:00:03.163697
3240	4	1	-0.126	False	0:00:03.157827
3260	7	7	0.000259	True	0:05:59.750743
3280	3	3	-0.0559	True	0:00:03.209536
3300	4	4	0.00727	True	0:02:23.998023
3320	2	7	-0.0652	False	0:00:03.131274
3340	6	6	0.00485	True	0:01:11.924574
3360	4	4	0.0131	True	0:01:12.840897
3380	8	8	0.0135	True	0:02:24.293597
3400	6	8	-0.0926	False	0:00:03.130199
3420	5	5	-0.0707	True	0:00:38.939258
3440	2	2	-0.0147	True	0:00:36.468709
3460	1	1	0.000714	True	0:27:31.554753
3480	2	2	0.00864	True	0:01:11.728499
3500	1	1	-0.136	True	0:00:03.129236
3520	1	1	-0.00498	True	0:00:03.128808
3540	6	6	0.00101	True	0:09:34.833906
3560	1	9	-0.00546	False	0:00:03.130580
3580	4	4	0.0164	True	0:02:23.557818
3600	4	6	-0.0998	False	0:00:03.184653
3620	0	0	0.00823	True	0:03:35.768722
3640	6	6	0.0215	True	0:01:12.295372
3660	0	0	0.0233	True	0:01:13.388680
3680	0	0	0.0013	True	0:01:12.636038
3700	3	3	0.00438	True	0:04:47.593717
3720	2	2	0.00756	True	0:01:11.667949
3740	0	0	0.00179	True	0:07:10.781153
3760	7	7	0.000126	True	0:10:47.086268
3780	4	4	0.00666	True	0:01:18.024673
3800	9	9	0.000105	True	0:21:36.500663
3820	0	0	-0.0735	True	0:00:03.149483
3840	6	6	-0.112	True	0:00:03.153042
3860	7	7	0.000567	True	0:07:12.239804
3880	6	6	0.00668	True	0:02:22.969370
3900	3	6	-1.0	False	0:00:00.528723
3920	7	7	-0.00319	True	0:04:52.440393
3940	6	6	-0.0898	True	0:00:03.142715
3960	2	2	0.0144	True	0:02:25.325272
3980	9	0	-0.0774	False	0:00:03.175237
4000	8	0	-0.0767	False	0:00:03.161052
4020	8	8	-0.0167	True	0:00:03.160513
4040	0	0	0.00111	True	0:09:32.406365
4060	6	6	0.00856	True	0:03:34.178766
4080	1	1	0.00218	True	0:09:33.571220
4100	7	7	0.0016	True	0:10:44.962313
4120	4	4	-0.00217	True	0:00:03.163850
4140	5	7	-0.031	False	0:00:03.176564
4160	5	5	0.000679	True	0:20:17.806081
4180	0	0	0.0226	True	0:01:13.500260
4200	4	4	0.021	True	0:01:11.722312
4220	4	4	-0.039	True	0:00:09.560390
4240	7	7	-0.0293	True	0:00:03.126620
4260	8	8	0.00772	True	0:02:23.605742
4280	8	0	-0.0803	False	0:00:03.189213
4300	8	8	0.0142	True	0:02:24.318110
4320	1	-1	-0.0391	False	0:00:03.125611
4340	0	0	0.0147	True	0:02:23.421023
4360	6	6	-0.0493	True	0:00:03.185513
4380	9	9	0.00118	True	0:14:18.972247
