idx	label	predict	radius	correct	time
0	3	3	0.113	True	0:01:03.740161
20	7	7	0.0939	True	0:01:03.858722
40	4	4	0.0337	True	0:01:04.499519
60	7	7	0.11	True	0:01:05.559446
80	8	8	0.142	True	0:01:06.367079
100	4	4	-0.0024	True	0:00:44.482271
120	8	8	0.145	True	0:01:04.320872
140	6	6	0.144	True	0:01:04.800134
160	2	2	0.00165	True	0:01:10.136885
180	0	0	0.0962	True	0:01:06.250075
200	5	5	-0.082	True	0:00:02.821282
220	7	7	0.11	True	0:01:04.449567
240	1	1	0.104	True	0:01:04.644682
260	8	8	-0.0736	True	0:00:02.838651
280	9	9	0.0749	True	0:01:05.477498
300	6	6	0.107	True	0:01:07.185776
320	3	3	0.0653	True	0:01:29.526905
340	2	2	-0.0349	True	0:00:09.558386
360	9	9	0.136	True	0:01:04.581609
380	6	6	0.119	True	0:01:05.391918
400	9	9	0.0842	True	0:01:07.096905
420	4	4	0.163	True	0:01:04.917346
440	1	1	0.0973	True	0:01:04.904863
460	5	5	0.0991	True	0:01:04.953954
480	8	-1	-0.0851	False	0:00:02.848105
500	4	6	-1.07	False	0:00:00.262812
520	5	5	-0.00132	True	0:00:02.854993
540	1	1	0.0781	True	0:01:06.275412
560	0	0	0.119	True	0:01:06.837039
580	4	4	0.147	True	0:01:04.880561
600	8	8	0.0564	True	0:01:04.599028
620	7	7	0.125	True	0:01:05.334150
640	5	3	-1.14	False	0:00:00.262945
660	9	9	0.0958	True	0:01:07.130193
680	9	9	-0.000934	True	0:01:17.227710
700	7	7	0.0998	True	0:01:04.416180
720	4	4	-0.016	True	0:00:07.334174
740	2	5	-1.03	False	0:00:00.259951
760	3	3	-0.00317	True	0:00:15.590257
780	9	9	0.0785	True	0:01:05.278631
800	7	7	0.111	True	0:01:06.963028
820	6	6	-0.0277	True	0:00:06.700108
840	7	7	0.0867	True	0:01:04.914640
860	4	4	0.104	True	0:01:04.448052
880	8	8	0.154	True	0:01:04.857722
900	2	2	-0.00302	True	0:00:11.181646
920	6	6	0.114	True	0:01:06.365136
940	9	9	0.0669	True	0:01:06.260234
960	9	9	0.0793	True	0:01:04.407031
980	2	-1	-inf	False	0:00:00.259882
1000	5	5	0.111	True	0:01:04.606063
1020	1	1	0.0742	True	0:01:05.411461
1040	7	5	-1.02	False	0:00:00.264501
1060	9	9	0.0968	True	0:01:07.217286
1080	6	6	0.0757	True	0:01:04.970555
1100	7	0	-0.0706	False	0:00:02.813869
1120	5	2	-1.02	False	0:00:00.259903
1140	6	6	0.161	True	0:01:04.414015
1160	8	8	0.115	True	0:01:04.878782
1180	3	3	0.133	True	0:01:06.026025
1200	8	8	0.00199	True	0:01:06.681755
1220	9	6	-1.0	False	0:00:00.691049
1240	2	2	-0.0194	True	0:00:04.008022
1260	1	-1	-0.0948	False	0:00:02.820008
1280	3	3	-0.0859	True	0:00:02.817015
1300	4	4	0.172	True	0:01:07.555862
1320	7	7	0.142	True	0:01:05.448831
1340	1	1	0.0927	True	0:01:05.385469
1360	7	7	0.108	True	0:01:07.472787
1380	4	4	-0.0487	True	0:00:03.020122
1400	5	3	-1.05	False	0:00:00.273577
