idx	label	predict	radius	correct	time
0	3	3	0.00387	True	0:14:53.495610
20	7	7	0.000182	True	0:18:39.633080
40	4	4	-0.00783	True	0:00:03.534629
60	7	7	0.00413	True	0:11:11.849267
80	8	8	0.0019	True	0:07:29.031479
100	4	4	0.00399	True	0:07:46.714616
120	8	8	-0.00101	True	0:04:46.870385
140	6	-1	inf	False	0:00:00.325027
160	2	0	-1.01	False	0:00:00.597791
180	0	0	0.00335	True	0:15:10.657614
200	5	5	-0.00204	True	0:07:22.074407
220	7	7	0.00541	True	0:14:57.834551
240	1	1	0.0039	True	0:14:57.702622
260	8	8	-0.000719	True	0:01:43.521218
280	9	9	-0.000653	True	0:00:59.536285
300	6	6	0.00214	True	0:11:14.152490
320	3	3	-0.000139	True	0:04:15.167938
340	2	6	-0.11	False	0:00:03.596964
360	9	9	0.000847	True	0:07:29.234797
380	6	6	-0.00268	True	0:08:22.561226
400	9	9	0.000372	True	0:26:09.611674
420	4	4	0.012	True	0:07:29.975669
440	1	1	0.00325	True	0:22:25.867856
460	5	5	-0.000451	True	0:09:36.644469
480	8	9	-0.0252	False	0:00:03.524288
500	4	6	-0.0232	False	0:00:03.531611
520	5	5	0.00153	True	0:18:41.754091
540	1	1	0.000962	True	0:48:18.185752
560	0	0	0.00589	True	0:14:48.719229
580	4	4	0.00194	True	0:07:25.795369
600	8	8	-0.104	True	0:00:03.493089
620	7	7	0.00176	True	0:11:17.362700
640	5	-1	inf	False	0:00:00.330907
660	9	9	0.00267	True	0:11:17.741570
680	9	9	-0.0471	True	0:00:03.508030
700	7	7	0.000949	True	0:14:51.299355
720	4	4	-0.000582	True	0:00:27.350565
740	2	5	-1.0	False	0:00:00.730072
760	3	3	0.0018	True	0:18:44.291613
780	9	9	0.00213	True	0:22:22.454390
800	7	7	0.00528	True	0:14:56.864808
820	6	6	0.00856	True	0:12:16.711108
840	7	7	0.00231	True	0:29:51.101733
860	4	4	0.00999	True	0:07:28.783899
880	8	8	0.00614	True	0:07:29.162660
900	2	2	-0.0774	True	0:00:03.520039
920	6	6	-0.000451	True	0:00:19.562123
940	9	9	0.000741	True	0:29:52.368453
960	9	9	0.00162	True	0:18:40.348387
980	2	2	0.0114	True	0:07:53.511517
1000	5	5	0.00256	True	0:11:13.788195
1020	1	1	0.00149	True	0:26:07.698365
1040	7	7	-0.113	True	0:00:03.516227
1060	9	9	0.000246	True	0:18:47.623356
1080	6	6	4.57e-05	True	0:14:58.347567
1100	7	7	-0.0021	True	0:03:51.159009
1120	5	5	-0.0765	True	0:00:03.551020
1140	6	6	0.0142	True	0:07:29.178373
1160	8	8	0.0021	True	0:14:56.501724
1180	3	3	0.00317	True	0:07:32.912123
1200	8	8	-0.00247	True	0:08:13.726710
1220	9	6	-0.0917	False	0:00:03.529137
1240	2	2	-0.00222	True	0:02:17.239697
1260	1	1	-0.00262	True	0:03:45.223861
1280	3	3	-0.002	True	0:01:26.405752
1300	4	4	-0.000562	True	0:00:44.677748
1320	7	7	0.000493	True	0:07:28.176303
1340	1	1	0.00116	True	0:14:56.403947
1360	7	7	0.000928	True	0:14:59.215850
1380	4	4	0.00212	True	0:07:33.026160
1400	5	5	-0.000967	True	0:00:37.540972
