idx	label	predict	radius	correct	time
0	3	3	0.0353	True	0:01:19.914562
20	7	7	-0.0185	True	0:00:45.450293
40	4	4	-0.0623	True	0:00:03.529028
60	7	7	0.0415	True	0:01:18.808391
80	8	8	0.0482	True	0:01:19.760041
100	4	4	-0.000113	True	0:00:30.135956
120	8	8	0.00139	True	0:01:28.889405
140	6	6	-0.00114	True	0:00:15.915872
160	2	2	-9.37e-06	True	0:00:44.179735
180	0	0	0.0347	True	0:01:19.525152
200	5	5	0.00201	True	0:01:22.145323
220	7	7	-0.052	True	0:00:45.954153
240	1	1	0.0353	True	0:01:19.003140
260	8	8	-0.000249	True	0:01:11.876298
280	9	9	-0.0133	True	0:00:53.152387
300	6	6	0.0395	True	0:01:20.719474
320	3	3	-0.0363	True	0:00:44.980955
340	2	4	-0.0595	False	0:00:03.540800
360	9	9	0.0472	True	0:01:19.027855
380	6	6	0.0396	True	0:01:20.692979
400	9	9	0.0209	True	0:01:20.186963
420	4	4	0.0393	True	0:02:19.968053
440	1	1	0.0267	True	0:01:27.239903
460	5	5	0.028	True	0:01:20.588071
480	8	9	-0.0152	False	0:00:03.602511
500	4	4	-7.74e-05	True	0:00:06.426848
520	5	5	-0.0158	True	0:00:03.575827
540	1	1	0.0103	True	0:01:19.572056
560	0	0	0.0373	True	0:01:23.537375
580	4	4	0.0482	True	0:01:18.770694
600	8	-1	-0.0538	False	0:00:03.600949
620	7	7	0.0391	True	0:01:20.090603
640	5	5	-0.00304	True	0:00:27.631483
660	9	9	0.04	True	0:01:18.946151
680	9	9	-0.0328	True	0:00:03.555505
700	7	7	0.0323	True	0:01:20.268167
720	4	4	0.051	True	0:01:23.501563
740	2	7	-1.02	False	0:00:00.326690
760	3	3	-0.00169	True	0:00:03.559029
780	9	9	0.0255	True	0:01:18.873518
800	7	7	0.0367	True	0:01:18.671940
820	6	6	-4.83e-05	True	0:00:23.521226
840	7	7	0.0203	True	0:01:18.984264
860	4	4	0.0563	True	0:01:18.249882
880	8	8	0.0524	True	0:01:19.880920
900	2	2	-0.00127	True	0:00:24.905925
920	6	6	0.0319	True	0:01:20.125419
940	9	9	0.0187	True	0:01:19.487161
960	9	9	0.0286	True	0:01:20.124597
980	2	2	0.0405	True	0:01:21.788068
1000	5	5	0.0399	True	0:01:19.248890
1020	1	1	0.022	True	0:01:24.097011
1040	7	-1	inf	False	0:00:00.324509
1060	9	9	0.0272	True	0:01:20.540742
1080	6	6	-0.000619	True	0:00:43.676572
1100	7	-1	-0.0343	False	0:00:03.549563
1120	5	5	-0.0364	True	0:00:03.541803
1140	6	6	0.0605	True	0:01:20.306458
1160	8	8	0.0335	True	0:01:25.461959
1180	3	3	0.0172	True	0:01:19.170847
1200	8	8	0.0343	True	0:01:19.714608
1220	9	3	-0.0417	False	0:00:03.550645
1240	2	2	0.0644	True	0:01:21.224283
1260	1	1	0.0269	True	0:01:25.766597
1280	3	3	0.0291	True	0:01:19.648907
1300	4	4	-0.002	True	0:00:23.804384
1320	7	7	0.0468	True	0:01:20.137586
1340	1	1	0.0326	True	0:01:25.136692
1360	7	7	-0.00263	True	0:00:32.553030
1380	4	4	-0.0113	True	0:00:44.999746
1400	5	3	-1.03	False	0:00:00.322532
1420	4	7	-0.0482	False	0:00:03.528089
1440	0	0	-0.0422	True	0:00:03.519945
1460	6	6	0.0339	True	0:01:23.723719
1480	1	9	-0.00658	False	0:00:03.562991
1500	1	1	0.025	True	0:01:20.780251
1520	7	7	0.0476	True	0:01:21.522701
1540	8	8	0.0505	True	0:01:22.065291
1560	7	7	0.0215	True	0:01:20.104617
1580	6	-1	inf	False	0:00:00.327608
1600	8	8	-0.000486	True	0:00:22.386733
1620	5	8	-0.045	False	0:00:03.594458
1640	7	7	-0.00222	True	0:00:28.589518
1660	3	3	0.0259	True	0:01:19.717349
1680	6	6	0.0594	True	0:01:20.479666
1700	5	5	0.0418	True	0:01:52.408173
1720	4	4	0.0377	True	0:02:15.677018
1740	1	1	0.0265	True	0:02:11.840348
1760	0	0	0.0505	True	0:02:19.363237
1780	7	7	0.0144	True	0:02:14.927321
1800	4	4	0.021	True	0:02:14.870960
1820	8	8	0.00478	True	0:02:11.445261
1840	8	9	-1.03	False	0:00:00.524203
1860	8	8	0.0193	True	0:02:14.523129
1880	1	1	0.0282	True	0:02:14.469405
1900	8	8	0.0411	True	0:02:13.850129
1920	2	2	0.0393	True	0:02:12.527000
1940	5	5	0.0315	True	0:02:16.584595
1960	2	2	-0.0125	True	0:00:06.145904
1980	9	9	0.0265	True	0:02:14.547328
2000	1	1	-0.00762	True	0:01:20.241786
2020	9	9	0.0295	True	0:02:16.321080
2040	0	0	0.0449	True	0:02:11.421940
2060	5	5	-0.0485	True	0:00:05.969705
2080	1	1	0.0293	True	0:02:12.579182
2100	2	2	0.0576	True	0:02:17.230215
2120	4	4	-0.0498	True	0:00:05.955195
2140	9	9	0.0226	True	0:02:14.479676
2160	0	0	0.0466	True	0:02:14.796236
2180	4	4	0.0734	True	0:02:13.447265
2200	0	0	0.0396	True	0:04:05.554491
2220	1	1	0.0321	True	0:02:15.220648
2240	9	1	-0.0121	False	0:00:07.651449
2260	4	7	-0.0612	False	0:00:06.372308
2280	4	4	-0.00278	True	0:01:21.788183
2300	3	4	-0.0409	False	0:00:05.973202
2320	5	2	-1.0	False	0:00:02.553531
2340	7	7	0.0384	True	0:02:20.348719
2360	7	7	-0.00245	True	0:00:44.369915
2380	8	8	0.0477	True	0:02:12.500442
2400	0	0	0.0289	True	0:02:18.718881
2420	8	8	-0.0545	True	0:00:06.220310
2440	7	7	0.0335	True	0:02:16.562661
2460	9	9	0.0445	True	0:02:12.744553
2480	8	8	0.0437	True	0:02:14.007417
2500	4	4	-0.0494	True	0:00:05.951729
2520	1	1	-0.0255	True	0:00:05.951585
2540	2	4	-0.00608	False	0:00:05.951135
2560	7	7	-0.0148	True	0:01:12.149724
2580	6	6	-0.00185	True	0:00:18.734473
2600	8	8	0.0402	True	0:02:22.135245
2620	1	1	0.0433	True	0:02:11.748614
2640	7	7	0.0232	True	0:02:14.897957
2660	3	5	-0.0338	False	0:00:06.277598
2680	0	0	0.0482	True	0:02:14.919179
2700	9	1	-1.02	False	0:00:00.524916
2720	3	3	0.0249	True	0:02:13.267810
2740	1	1	0.0323	True	0:02:13.877728
2760	2	2	0.0571	True	0:02:18.062509
