idx	label	predict	radius	correct	time
0	3	3	0.0981	True	0:02:15.020627
20	7	7	0.0982	True	0:02:13.588115
40	4	0	-0.0623	False	0:00:05.990191
60	7	7	0.113	True	0:02:18.349982
80	8	8	0.119	True	0:02:16.711954
100	4	4	0.107	True	0:02:14.994767
120	8	8	0.119	True	0:02:13.836955
140	6	6	-0.0429	True	0:00:05.945828
160	2	2	-0.0134	True	0:00:05.951751
180	0	0	0.106	True	0:02:13.725321
200	5	5	0.107	True	0:02:12.187916
220	7	7	0.108	True	0:02:15.805266
240	1	1	0.106	True	0:02:16.012704
260	8	8	-0.0042	True	0:01:25.356216
280	9	9	-0.0637	True	0:01:17.096769
300	6	6	0.111	True	0:02:14.995117
320	3	3	-0.0363	True	0:01:25.698021
340	2	4	-1.0	False	0:00:00.524888
360	9	9	0.118	True	0:02:13.415578
380	6	6	0.111	True	0:02:12.035337
400	9	9	0.0919	True	0:02:12.728703
420	4	4	0.129	True	0:02:17.455409
440	1	1	0.0977	True	0:02:13.752250
460	5	5	0.099	True	0:02:17.650021
480	8	9	-0.0539	False	0:00:05.920722
500	4	6	-1.02	False	0:00:00.524335
520	5	5	-0.00181	True	0:01:51.072774
540	1	1	0.0813	True	0:02:15.047242
560	0	0	0.108	True	0:02:12.943852
580	4	4	0.119	True	0:02:15.614256
600	8	8	-0.0106	True	0:00:06.247341
620	7	7	0.11	True	0:02:14.543033
640	5	3	-1.01	False	0:00:00.523040
660	9	9	0.111	True	0:02:20.680181
680	9	9	-0.00185	True	0:01:28.372934
700	7	7	0.103	True	0:02:13.246437
720	4	4	0.00462	True	0:02:30.900417
740	2	5	-1.11	False	0:00:00.496314
760	3	3	-0.000802	True	0:01:05.283769
780	9	9	0.0966	True	0:02:13.454072
800	7	7	0.108	True	0:02:14.702238
820	6	6	-0.0429	True	0:02:20.358564
840	7	7	0.0913	True	0:02:18.705416
860	4	4	0.127	True	0:02:11.506414
880	8	8	0.123	True	0:02:15.025548
900	2	2	-0.00192	True	0:01:43.728426
920	6	6	0.103	True	0:02:14.302457
940	9	9	0.0898	True	0:02:13.424355
960	9	9	0.0996	True	0:02:16.647611
980	2	2	0.121	True	0:02:14.686359
1000	5	5	0.111	True	0:02:11.910163
1020	1	1	0.093	True	0:02:15.324596
1040	7	5	-1.01	False	0:00:00.989930
1060	9	9	0.0982	True	0:02:10.570511
1080	6	6	0.102	True	0:02:14.562425
1100	7	7	0.107	True	0:02:14.235701
1120	5	5	-0.0161	True	0:00:05.998112
1140	6	6	0.132	True	0:02:13.215184
1160	8	8	0.105	True	0:02:13.396026
1180	3	3	0.121	True	0:02:12.311507
1200	8	8	0.105	True	0:02:13.841848
1220	9	-1	inf	False	0:00:00.525110
1240	2	2	-0.0105	True	0:00:05.960989
1260	1	1	-0.0232	True	0:00:05.929834
1280	3	3	0.1	True	0:02:11.798856
1300	4	4	0.146	True	0:02:13.500273
1320	7	7	0.118	True	0:02:12.801967
1340	1	1	0.104	True	0:02:16.072573
1360	7	7	0.103	True	0:02:12.499274
1380	4	4	0.119	True	0:02:13.630877
1400	5	3	-1.08	False	0:00:00.545324
1420	4	7	-1.08	False	0:00:00.564533
1440	0	8	-0.0158	False	0:00:06.286733
1460	6	6	0.105	True	0:02:13.047473
1480	1	1	-0.00699	True	0:00:05.945336
1500	1	1	0.096	True	0:02:13.390397
1520	7	7	0.119	True	0:02:13.444364
1540	8	8	0.122	True	0:02:12.085455
1560	7	7	0.0925	True	0:02:14.876013
1580	6	-1	inf	False	0:00:00.905669
1600	8	9	-1.01	False	0:00:00.945784
1620	5	8	-1.01	False	0:00:01.249505
1640	7	7	0.0848	True	0:02:10.970314
1660	3	3	0.102	True	0:02:11.268165
1680	6	6	0.13	True	0:02:15.570950
1700	5	5	0.113	True	0:02:13.852260
1720	4	4	0.109	True	0:02:13.239619
1740	1	1	0.0975	True	0:02:17.819954
1760	0	0	0.121	True	0:02:14.379883
1780	7	7	0.104	True	0:02:12.594203
1800	4	4	-0.0034	True	0:01:13.264140
1820	8	8	-0.0546	True	0:00:07.833420
1840	8	9	-0.0491	False	0:00:07.070443
1860	8	8	0.101	True	0:02:11.542033
1880	1	1	0.0993	True	0:02:14.267209
1900	8	8	0.112	True	0:02:12.260585
1920	2	2	0.11	True	0:02:12.908327
1940	5	5	-0.00133	True	0:00:59.682925
1960	2	5	-1.06	False	0:00:00.539232
1980	9	9	0.0976	True	0:02:10.974270
2000	1	1	-0.017	True	0:01:15.886570
2020	9	9	0.101	True	0:02:14.721250
2040	0	0	0.116	True	0:02:12.523229
2060	5	3	-1.11	False	0:00:00.543698
2080	1	1	0.0967	True	0:02:24.651489
2100	2	2	0.129	True	0:02:10.944223
2120	4	4	-0.00158	True	0:01:02.563409
2140	9	9	0.0936	True	0:02:19.344198
2160	0	0	0.0834	True	0:02:12.927825
2180	4	4	0.144	True	0:02:16.633352
2200	0	0	0.128	True	0:02:11.005162
2220	1	1	0.103	True	0:02:14.567515
2240	9	-1	-0.0448	False	0:00:06.209903
2260	4	4	0.0986	True	0:02:11.074716
2280	4	4	0.0946	True	0:03:02.763551
2300	3	3	0.0817	True	0:02:15.272337
2320	5	2	-1.11	False	0:00:00.539382
2340	7	7	0.109	True	0:02:13.131746
2360	7	7	-0.00212	True	0:00:29.018652
2380	8	8	0.119	True	0:02:10.858861
2400	0	0	0.0999	True	0:02:12.924947
2420	8	1	-1.03	False	0:00:00.547537
2440	7	7	0.105	True	0:02:12.057929
2460	9	9	0.116	True	0:02:18.107052
2480	8	8	0.115	True	0:02:13.675734
2500	4	6	-1.09	False	0:00:00.536689
2520	1	1	0.1	True	0:02:12.623899
2540	2	2	0.11	True	0:02:13.975189
2560	7	7	0.114	True	0:02:11.444556
2580	6	-1	inf	False	0:00:00.527611
2600	8	8	0.111	True	0:02:15.124317
2620	1	1	0.114	True	0:02:14.563231
2640	7	7	0.0942	True	0:02:14.274851
2660	3	3	0.000712	True	0:02:38.355968
2680	0	0	0.119	True	0:02:15.195752
2700	9	1	-0.00552	False	0:00:07.149926
2720	3	3	0.117	True	0:02:14.261284
2740	1	1	0.103	True	0:02:13.768387
2760	2	2	0.128	True	0:02:13.663102
2780	7	7	0.0943	True	0:02:13.061725
2800	4	4	0.118	True	0:02:15.704826
2820	6	6	0.112	True	0:02:11.440973
2840	3	3	0.108	True	0:02:15.148722
2860	5	5	0.076	True	0:02:11.334396
2880	4	4	0.128	True	0:02:14.536941
2900	3	2	-1.0	False	0:00:00.795565
2920	2	-1	inf	False	0:00:00.558948
2940	3	0	-1.09	False	0:00:00.553597
2960	9	0	-1.08	False	0:00:00.556860
2980	8	8	0.115	True	0:02:11.405305
3000	5	5	0.118	True	0:02:12.739776
3020	1	1	0.0975	True	0:02:16.138156
3040	7	7	0.101	True	0:02:11.395637
3060	7	7	0.109	True	0:02:14.825433
3080	1	1	0.0987	True	0:02:12.828724
3100	0	0	0.144	True	0:02:16.646993
3120	4	-1	inf	False	0:00:00.548105
3140	8	8	0.123	True	0:02:12.704807
3160	6	2	-1.11	False	0:00:00.523667
3180	3	6	-1.01	False	0:00:00.772588
3200	5	7	-1.03	False	0:00:00.537892
3220	3	9	-1.1	False	0:00:00.533163
3240	4	1	-1.04	False	0:00:00.532027
3260	7	7	0.103	True	0:02:14.761962
3280	3	5	-1.08	False	0:00:00.547965
3300	4	4	0.111	True	0:02:11.348451
3320	2	4	-0.0495	False	0:00:06.006127
3340	6	6	0.123	True	0:02:13.261278
3360	4	4	0.121	True	0:02:13.616574
3380	8	8	0.119	True	0:02:14.230979
3400	6	4	-1.08	False	0:00:00.538055
3420	5	3	-1.05	False	0:00:00.552078
3440	2	3	-1.1	False	0:00:00.540283
3460	1	1	0.103	True	0:02:15.010582
3480	2	2	0.123	True	0:02:12.191328
3500	1	9	-0.0154	False	0:00:06.056250
3520	1	1	0.0938	True	0:02:14.029756
3540	6	6	0.104	True	0:02:12.546729
3560	1	1	-0.0369	True	0:00:06.030500
3580	4	4	0.125	True	0:02:14.274192
3600	4	2	-1.11	False	0:00:00.529483
3620	0	0	0.11	True	0:02:12.271913
3640	6	6	0.134	True	0:02:15.942200
3660	0	0	0.125	True	0:02:15.091729
3680	0	0	0.121	True	0:02:13.628022
3700	3	3	0.112	True	0:02:12.654355
3720	2	2	0.123	True	0:02:12.186325
3740	0	0	0.111	True	0:02:15.048014
3760	7	7	0.0983	True	0:02:10.395290
3780	4	4	0.123	True	0:02:14.925966
3800	9	9	0.0966	True	0:02:12.822600
3820	0	-1	inf	False	0:00:00.695372
