idx	label	predict	radius	correct	time
0	3	3	0.12	True	0:01:19.591758
20	7	7	0.124	True	0:01:19.304555
40	4	4	0.124	True	0:01:19.765986
60	7	7	0.139	True	0:01:17.617651
80	8	8	0.145	True	0:01:15.114003
100	4	4	0.0693	True	0:01:17.346603
120	8	8	0.0623	True	0:01:16.313581
140	6	6	-0.00636	True	0:01:10.283380
160	2	2	-0.0152	True	0:00:48.086338
180	0	0	0.132	True	0:01:15.093935
200	5	5	0.134	True	0:01:15.640744
220	7	7	0.134	True	0:01:16.543834
240	1	1	0.133	True	0:01:15.076960
260	8	8	-0.00287	True	0:00:35.295451
280	9	9	0.0731	True	0:01:15.298666
300	6	6	0.137	True	0:01:16.170653
320	3	3	-0.0363	True	0:00:41.757672
340	2	4	-1.1	False	0:00:00.324283
360	9	9	0.144	True	0:01:15.073789
380	6	6	0.137	True	0:01:15.141971
400	9	9	0.118	True	0:01:15.673830
420	4	4	0.156	True	0:01:16.398866
440	1	1	-0.00146	True	0:01:12.653573
460	5	5	0.125	True	0:01:15.069469
480	8	9	-0.0539	False	0:00:03.540035
500	4	-1	inf	False	0:00:00.323936
520	5	5	0.126	True	0:01:15.714906
540	1	1	0.108	True	0:01:16.460027
560	0	0	0.135	True	0:01:15.019468
580	4	4	0.145	True	0:01:15.112155
600	8	8	-0.0112	True	0:00:03.544207
620	7	7	0.136	True	0:01:15.827993
640	5	3	-1.07	False	0:00:00.328747
660	9	9	0.137	True	0:01:16.316132
680	9	1	-0.0175	False	0:00:03.535252
700	7	7	0.13	True	0:01:14.966217
720	4	7	-0.0377	False	0:00:03.525687
740	2	5	-1.13	False	0:00:00.323470
760	3	3	0.0258	True	0:01:16.200430
780	9	9	0.123	True	0:01:16.017401
800	7	7	0.134	True	0:01:16.183072
820	6	-1	-0.0429	False	0:00:03.543012
840	7	7	0.118	True	0:01:15.026049
860	4	4	0.154	True	0:01:15.234519
880	8	8	0.15	True	0:01:16.061809
900	2	2	-0.0274	True	0:00:03.617825
920	6	6	0.129	True	0:01:15.910018
940	9	9	0.116	True	0:01:15.030436
960	9	9	0.126	True	0:01:15.271178
980	2	2	-0.031	True	0:00:03.555931
1000	5	5	0.137	True	0:01:16.258413
1020	1	1	0.119	True	0:01:15.817231
1040	7	5	-0.0633	False	0:00:03.528851
1060	9	9	0.124	True	0:01:15.052804
1080	6	1	-0.0573	False	0:00:03.539476
1100	7	7	-0.0103	True	0:00:49.210567
1120	5	5	-0.0518	True	0:00:03.552597
1140	6	6	0.158	True	0:01:16.005578
1160	8	8	0.131	True	0:01:16.152476
1180	3	3	0.147	True	0:01:15.043146
