idx	label	predict	radius	correct	time
0	3	3	0.0219	True	0:03:47.266088
20	7	7	0.0137	True	0:03:49.151936
40	4	4	-0.000864	True	0:02:48.674274
60	7	7	0.0281	True	0:03:48.638042
80	8	8	0.0348	True	0:03:49.173048
100	4	4	0.0369	True	0:03:49.324350
120	8	8	0.0342	True	0:03:49.060769
140	6	-1	inf	False	0:00:00.331888
160	2	0	-1.03	False	0:00:00.332225
180	0	0	0.0214	True	0:03:48.648038
200	5	5	0.0179	True	0:03:50.804905
220	7	7	0.0234	True	0:03:49.489277
240	1	1	0.0219	True	0:03:48.434785
260	8	8	-0.0563	True	0:02:24.456941
280	9	9	-0.00278	True	0:04:04.056473
300	6	6	0.0261	True	0:03:48.936292
320	3	3	-0.0363	True	0:02:03.805580
340	2	6	-0.0595	False	0:00:03.571263
360	9	9	0.0338	True	0:03:49.238557
380	6	6	0.0262	True	0:03:48.392886
400	9	9	0.00747	True	0:03:48.152823
420	4	4	0.0449	True	0:03:48.914135
440	1	1	0.0133	True	0:03:49.289885
460	5	5	0.0146	True	0:03:50.073163
480	8	9	-1.01	False	0:00:00.470325
500	4	6	-1.01	False	0:00:00.469265
520	5	5	0.0151	True	0:03:47.833442
540	1	1	0.014	True	0:07:36.475111
560	0	0	0.0239	True	0:03:49.228927
580	4	4	0.0349	True	0:03:47.831919
600	8	8	-0.0538	True	0:00:03.614480
620	7	7	0.0258	True	0:03:48.693090
640	5	-1	inf	False	0:00:00.326835
660	9	9	0.0267	True	0:03:49.240622
680	9	9	-0.00124	True	0:00:21.112886
700	7	7	0.019	True	0:03:49.269118
720	4	4	-0.00235	True	0:02:25.085316
740	2	5	-1.02	False	0:00:00.326677
760	3	3	0.0154	True	0:03:49.256269
780	9	9	0.0122	True	0:03:49.466734
800	7	7	0.0233	True	0:03:48.640675
820	6	6	0.0326	True	0:03:48.105649
840	7	7	0.00693	True	0:03:48.986203
860	4	4	0.0429	True	0:03:49.332597
880	8	8	0.0391	True	0:03:48.980844
900	2	2	-0.0274	True	0:00:03.642275
920	6	6	-0.0281	True	0:03:22.161827
940	9	9	0.00536	True	0:03:48.660917
960	9	9	0.0152	True	0:03:45.897588
980	2	2	0.0444	True	0:03:48.165991
1000	5	5	0.0266	True	0:03:48.014566
1020	1	1	0.00859	True	0:03:49.005726
1040	7	7	-0.0633	True	0:00:03.580727
1060	9	9	0.0138	True	0:03:49.271810
1080	6	6	0.0181	True	0:03:49.058175
1100	7	7	-0.000417	True	0:01:34.928596
1120	5	5	-0.0274	True	0:00:03.561337
1140	6	6	0.0471	True	0:03:49.210572
1160	8	8	0.0201	True	0:03:48.047820
1180	3	3	0.0361	True	0:03:48.441710
1200	8	8	0.021	True	0:03:49.184281
1220	9	6	-0.0417	False	0:00:03.567922
1240	2	2	0.0421	True	0:03:51.040831
1260	1	1	0.0135	True	0:03:56.860914
1280	3	3	-0.00218	True	0:01:03.500648
1300	4	4	-0.0139	True	0:01:58.511241
1320	7	7	0.0334	True	0:03:49.033060
1340	1	1	0.0192	True	0:03:49.198275
1360	7	7	0.0189	True	0:03:47.965630
1380	4	4	0.035	True	0:03:48.289265
1400	5	5	-0.00143	True	0:00:33.253097
1420	4	7	-0.0482	False	0:00:03.605495
1440	0	0	0.0332	True	0:04:02.945124
1460	6	6	0.0205	True	0:03:48.903438
1480	1	8	-0.0609	False	0:00:03.555856
1500	1	1	0.0116	True	0:03:49.115888
1520	7	7	0.0342	True	0:03:47.490406
