idx	label	predict	radius	correct	time
0	3	3	0.037	True	0:03:22.691000
20	7	7	0.0288	True	0:03:21.958350
40	4	4	-0.000616	True	0:01:59.877393
60	7	7	0.0432	True	0:03:22.100032
80	8	8	0.0499	True	0:03:22.008457
100	4	4	0.052	True	0:03:23.095481
120	8	8	0.0493	True	0:03:22.325416
140	6	-1	inf	False	0:00:00.294954
160	2	0	-1.04	False	0:00:00.295501
180	0	0	0.0364	True	0:03:21.990904
200	5	5	0.038	True	0:03:23.050401
220	7	7	0.0385	True	0:03:22.548568
240	1	1	0.037	True	0:03:21.774288
260	8	8	-0.0283	True	0:01:45.078026
280	9	9	-0.000953	True	0:02:59.906967
300	6	6	0.0412	True	0:03:20.349942
320	3	3	-0.0186	True	0:01:43.599966
340	2	6	-0.0377	False	0:00:03.172551
360	9	9	0.0488	True	0:03:22.825319
380	6	6	0.0413	True	0:03:22.182258
400	9	9	0.0225	True	0:03:21.876513
420	4	4	0.06	True	0:03:22.783456
440	1	1	0.0283	True	0:03:22.701948
460	5	5	0.0297	True	0:03:21.736805
480	8	9	-1.01	False	0:00:00.292412
500	4	6	-1.02	False	0:00:00.293193
520	5	5	0.0302	True	0:03:22.857446
540	1	1	0.012	True	0:03:22.949166
560	0	0	0.039	True	0:03:21.648049
580	4	4	0.0499	True	0:03:22.872173
600	8	8	-0.0222	True	0:00:03.164877
620	7	7	0.0408	True	0:03:22.982725
640	5	-1	inf	False	0:00:00.294986
660	9	9	0.0417	True	0:03:21.864861
680	9	9	-0.000858	True	0:00:21.226344
700	7	7	0.034	True	0:03:22.490843
720	4	4	-0.000142	True	0:02:51.554090
740	2	5	-1.04	False	0:00:00.294652
760	3	3	0.0304	True	0:03:21.731766
780	9	9	0.0272	True	0:03:22.872140
800	7	7	0.0384	True	0:03:23.106891
820	6	6	0.0476	True	0:03:21.603069
840	7	7	0.022	True	0:03:22.661168
860	4	4	0.058	True	0:03:23.098116
880	8	8	0.0541	True	0:03:21.774573
900	2	2	-0.00337	True	0:00:03.192969
920	6	6	-0.0118	True	0:02:26.904505
940	9	9	0.0204	True	0:03:22.410681
960	9	9	0.0303	True	0:03:21.950935
980	2	2	0.0594	True	0:03:22.820158
1000	5	5	0.0416	True	0:03:22.552294
1020	1	1	0.0237	True	0:03:21.951955
1040	7	7	-0.000968	True	0:01:00.113897
1060	9	9	0.0289	True	0:03:22.568316
1080	6	6	0.0331	True	0:03:23.205879
1100	7	7	-0.000414	True	0:01:25.298896
1120	5	5	-0.000677	True	0:01:49.593078
1140	6	6	0.0622	True	0:03:22.385811
1160	8	8	0.0352	True	0:03:23.102130
1180	3	3	0.0512	True	0:03:22.077276
1200	8	8	0.036	True	0:03:22.372065
1220	9	6	-0.0122	False	0:00:03.165964
1240	2	2	0.0661	True	0:03:23.211294
1260	1	1	0.0286	True	0:03:22.402111
1280	3	3	0.0308	True	0:03:24.002295
1300	4	4	0.0766	True	0:03:23.106612
1320	7	7	0.0485	True	0:03:22.446748
1340	1	1	0.0342	True	0:03:22.313374
1360	7	7	0.034	True	0:03:23.170236
1380	4	4	0.0501	True	0:03:22.495020
1400	5	5	-0.000997	True	0:00:32.231416
1420	4	7	-0.0361	False	0:00:03.173353
1440	0	0	0.0483	True	0:03:21.717947
1460	6	6	0.0356	True	0:03:22.345124
1480	1	8	-0.0258	False	0:00:03.153103
1500	1	1	0.0267	True	0:03:20.454124
1520	7	7	0.0493	True	0:03:21.244217
1540	8	8	0.0522	True	0:03:22.456919
1560	7	7	0.0232	True	0:03:23.232146
1580	6	-1	inf	False	0:00:00.293163
1600	8	8	-0.0359	True	0:00:03.166265
1620	5	3	-1.0	False	0:00:00.532835
1640	7	7	0.0155	True	0:03:21.866099
1660	3	3	-0.000683	True	0:01:12.700986
1680	6	6	0.0611	True	0:03:21.510963
1700	5	5	-0.000104	True	0:01:21.253380
1720	4	4	0.0393	True	0:03:21.732893
1740	1	1	0.0281	True	0:03:22.807842
1760	0	0	0.0521	True	0:03:22.925796
1780	7	7	0.0351	True	0:03:21.731022
1800	4	4	0.0491	True	0:03:22.794206
1820	8	8	-0.0164	True	0:02:08.977479
1840	8	4	-1.0	False	0:00:00.295420
1860	8	-1	-0.0563	False	0:00:03.206211
1880	1	1	0.0299	True	0:03:22.502392
1900	8	8	0.0428	True	0:03:23.011089
1920	2	2	0.041	True	0:03:21.987155
1940	5	3	-0.00759	False	0:00:03.206612
1960	2	2	-0.0121	True	0:00:03.205076
1980	9	9	0.0282	True	0:03:22.401162
2000	1	1	-0.000489	True	0:00:56.665601
2020	9	9	0.0312	True	0:03:22.810012
2040	0	0	0.0466	True	0:03:23.081730
2060	5	3	-0.0385	False	0:00:03.181507
2080	1	1	-0.000519	True	0:00:41.161352
2100	2	2	0.0593	True	0:03:22.165604
2120	4	4	-0.00163	True	0:00:50.786982
2140	9	9	0.0243	True	0:03:21.727724
2160	0	0	0.0483	True	0:03:22.538336
2180	4	4	0.0751	True	0:03:22.893712
2200	0	0	0.0585	True	0:03:21.486773
2220	1	1	0.0338	True	0:03:22.523326
2240	9	-1	-0.0347	False	0:00:03.166887
2260	4	4	0.0293	True	0:03:23.231098
2280	4	4	0.0595	True	0:03:21.847113
2300	3	8	-1.03	False	0:00:00.293662
2320	5	3	-1.04	False	0:00:00.293681
2340	7	7	0.0401	True	0:03:22.517424
2360	7	7	-0.00102	True	0:00:21.475774
2380	8	8	0.0494	True	0:03:23.073638
2400	0	0	0.0306	True	0:03:22.253081
2420	8	8	-4.91e-05	True	0:00:03.228513
2440	7	7	0.0352	True	0:03:22.334363
2460	9	9	0.0462	True	0:03:23.220008
2480	8	8	0.0454	True	0:03:22.570405
2500	4	6	-1.04	False	0:00:00.296822
2520	1	9	-0.0494	False	0:00:03.234439
2540	2	2	0.0409	True	0:03:22.345085
2560	7	7	0.0448	True	0:03:23.073406
2580	6	5	-1.03	False	0:00:00.292387
2600	8	8	0.0419	True	0:03:22.737108
2620	1	1	0.045	True	0:03:22.087913
2640	7	7	0.0249	True	0:03:22.848273
2660	3	3	-0.00951	True	0:02:28.453670
2680	0	0	0.0499	True	0:03:22.459776
2700	9	9	-0.011	True	0:01:49.791325
2720	3	3	0.0472	True	0:03:22.440048
2740	1	1	0.034	True	0:03:23.163144
2760	2	2	0.0588	True	0:03:22.220093
2780	7	7	0.025	True	0:03:22.393600
2800	4	4	0.0485	True	0:03:23.184211
