idx	label	predict	radius	correct	time
0	3	3	57.2	1	0:00:39.034893
20	7	7	57.2	1	0:00:37.172483
40	4	4	57.2	1	0:00:38.369056
60	7	7	57.2	1	0:00:38.086592
80	8	8	57.2	1	0:00:39.008181
100	4	4	33.7	1	0:00:37.474083
120	8	8	57.2	1	0:00:39.171402
140	6	6	57.2	1	0:00:41.016398
160	2	2	16.2	1	0:00:39.293459
180	0	0	57.2	1	0:00:37.949995
200	5	5	32.5	1	0:00:40.601179
220	7	7	22.6	1	0:00:39.245658
240	1	1	57.2	1	0:00:38.753183
260	8	8	57.2	1	0:00:42.145854
280	9	9	57.2	1	0:00:41.249657
300	6	6	57.2	1	0:00:39.904354
320	3	3	57.2	1	0:00:41.158309
340	2	6	13.3	0	0:00:37.870224
360	9	9	57.2	1	0:00:36.670811
380	6	6	57.2	1	0:00:37.901442
400	9	9	57.2	1	0:00:38.098426
420	4	4	32.4	1	0:00:38.807416
440	1	1	57.2	1	0:00:38.853924
460	5	5	57.2	1	0:00:40.464154
480	8	8	34.6	1	0:00:40.254936
500	4	4	23.4	1	0:00:39.552604
520	5	5	57.2	1	0:00:40.133892
540	1	1	34.4	1	0:00:41.849209
560	0	0	57.2	1	0:00:38.218129
580	4	4	57.2	1	0:00:38.928638
600	8	8	35.7	1	0:00:39.798820
620	7	7	57.2	1	0:00:41.057179
640	5	5	20.6	1	0:00:40.639925
660	9	9	57.2	1	0:00:38.935030
680	9	9	26.8	1	0:00:41.822415
700	7	7	57.2	1	0:00:38.732453
720	4	4	0.995	1	0:00:38.110093
740	2	5	10.1	0	0:00:38.800725
760	3	3	57.2	1	0:00:40.291764
780	9	9	57.2	1	0:00:40.581221
800	7	7	57.2	1	0:00:38.424529
820	6	6	17.0	1	0:00:36.743004
840	7	7	57.2	1	0:00:40.898489
860	4	4	57.2	1	0:00:36.973030
880	8	8	57.2	1	0:00:37.524930
900	2	6	3.53	0	0:00:39.257071
920	6	6	57.2	1	0:00:40.834994
940	9	9	57.2	1	0:00:41.554619
960	9	9	21.6	1	0:00:39.252809
980	2	2	57.2	1	0:00:40.669152
1000	5	5	23.9	1	0:00:40.001802
1020	1	1	57.2	1	0:00:39.516330
1040	7	5	19.7	0	0:00:41.727235
1060	9	9	57.2	1	0:00:38.472965
1080	6	6	57.2	1	0:00:38.489245
1100	7	8	4.89	0	0:00:39.754433
1120	5	2	34.1	0	0:00:38.782309
1140	6	6	57.2	1	0:00:40.439600
1160	8	8	57.2	1	0:00:38.618080
1180	3	3	57.2	1	0:00:39.184778
1200	8	8	57.2	1	0:00:37.403595
1220	9	9	57.2	1	0:00:41.944764
1240	2	2	23.6	1	0:00:38.111974
1260	1	1	57.2	1	0:00:38.800487
1280	3	3	57.2	1	0:00:39.642609
1300	4	4	57.2	1	0:00:41.062539
1320	7	7	57.2	1	0:00:40.715221
1340	1	1	57.2	1	0:00:38.004297
1360	7	7	32.8	1	0:00:41.865676
1380	4	4	27.7	1	0:00:40.984570
1400	5	5	30.4	1	0:00:40.069057
1420	4	4	7.09	1	0:00:42.871056
1440	0	0	57.2	1	0:00:38.499645
1460	6	6	57.2	1	0:00:38.468763
1480	1	1	42.2	1	0:00:39.821027
1500	1	1	17.9	1	0:00:39.172875
1520	7	7	57.2	1	0:00:39.085905
1540	8	8	57.2	1	0:00:39.800418
1560	7	7	57.2	1	0:00:38.285865
1580	6	5	21.7	0	0:00:39.868723
1600	8	8	2.42	1	0:00:42.160797
1620	5	3	12.6	0	0:00:38.536868
1640	7	7	57.2	1	0:00:39.034817
1660	3	3	57.2	1	0:00:38.159846
1680	6	6	57.2	1	0:00:38.305270
1700	5	5	57.2	1	0:00:37.973664
1720	4	4	57.2	1	0:00:37.124229
1740	1	1	57.2	1	0:00:39.230002
1760	0	0	57.2	1	0:00:38.035971
1780	7	7	57.2	1	0:00:38.829301
1800	4	4	57.2	1	0:00:40.180764
1820	8	8	57.2	1	0:00:38.222235
1840	8	8	57.2	1	0:00:41.050571
1860	8	8	57.2	1	0:00:37.949389
1880	1	1	57.2	1	0:00:37.656113
1900	8	8	57.2	1	0:00:38.740639
1920	2	2	57.2	1	0:00:40.446021
1940	5	5	35.8	1	0:00:41.318111
1960	2	2	28.1	1	0:00:41.668782
1980	9	9	57.2	1	0:00:41.391635
2000	1	1	57.2	1	0:00:42.477005
2020	9	9	57.2	1	0:00:38.243359
2040	0	0	57.2	1	0:00:39.445801
2060	5	5	57.2	1	0:00:39.192875
2080	1	1	57.2	1	0:00:41.421583
2100	2	2	57.2	1	0:00:40.403553
2120	4	4	42.6	1	0:00:38.969878
2140	9	9	57.2	1	0:00:40.038990
2160	0	0	57.2	1	0:00:38.516587
2180	4	4	57.2	1	0:00:37.775280
2200	0	0	57.2	1	0:00:41.000182
2220	1	1	57.2	1	0:00:39.785616
2240	9	9	32.2	1	0:00:41.450352
2260	4	4	40.6	1	0:00:38.824064
2280	4	4	40.5	1	0:00:42.240649
2300	3	-1	0.0	0	0:00:41.226594
2320	5	5	3.5	1	0:00:38.462373
2340	7	7	57.2	1	0:00:39.644093
2360	7	7	57.2	1	0:00:38.478797
2380	8	8	57.2	1	0:00:38.381522
2400	0	0	57.2	1	0:00:38.300098
2420	8	8	42.7	1	0:00:39.226893
2440	7	7	57.2	1	0:00:39.041907
2460	9	9	57.2	1	0:00:37.386532
2480	8	8	57.2	1	0:00:39.043516
2500	4	6	21.0	0	0:00:39.481038
2520	1	1	25.7	1	0:00:39.374218
2540	2	2	32.4	1	0:00:38.418209
2560	7	7	57.2	1	0:00:41.469252
2580	6	3	14.3	0	0:00:39.306099
2600	8	8	57.2	1	0:00:39.705953
2620	1	1	57.2	1	0:00:39.624530
2640	7	7	32.9	1	0:00:37.441341
2660	3	3	57.2	1	0:00:38.786437
2680	0	0	57.2	1	0:00:39.995593
2700	9	9	57.2	1	0:00:41.516043
2720	3	3	57.2	1	0:00:38.600158
2740	1	1	57.2	1	0:00:40.063262
2760	2	2	21.0	1	0:00:39.435869
2780	7	7	57.2	1	0:00:38.941006
2800	4	4	27.1	1	0:00:39.589896
2820	6	6	57.2	1	0:00:38.045450
2840	3	3	57.2	1	0:00:39.210258
2860	5	5	57.2	1	0:00:38.785702
2880	4	4	57.2	1	0:00:40.057241
2900	3	2	22.5	0	0:00:40.219465
2920	2	2	57.2	1	0:00:38.420751
2940	3	0	57.2	0	0:00:38.709922
2960	9	9	2.15	1	0:00:38.951357
2980	8	8	57.2	1	0:00:39.703329
3000	5	5	40.6	1	0:00:38.324314
3020	1	1	57.2	1	0:00:40.531682
3040	7	7	57.2	1	0:00:39.001145
3060	7	7	57.2	1	0:00:37.497116
3080	1	1	57.2	1	0:00:38.535840
3100	0	0	57.2	1	0:00:38.879117
3120	4	4	57.2	1	0:00:37.896437
3140	8	8	57.2	1	0:00:40.080889
3160	6	6	2.23	1	0:00:40.367405
3180	3	6	16.0	0	0:00:38.830632
3200	5	5	57.2	1	0:00:38.879019
3220	3	9	12.7	0	0:00:39.862966
3240	4	2	8.05	0	0:00:38.778234
3260	7	7	57.2	1	0:00:38.838792
3280	3	3	22.1	1	0:00:37.350582
3300	4	4	57.2	1	0:00:39.370433
3320	2	4	4.9	0	0:00:39.264163
3340	6	6	57.2	1	0:00:38.281004
3360	4	4	57.2	1	0:00:39.136866
3380	8	8	57.2	1	0:00:39.482401
3400	6	0	10.5	0	0:00:40.479464
3420	5	5	57.2	1	0:00:41.538868
3440	2	2	14.4	1	0:00:39.836103
3460	1	1	57.2	1	0:00:38.336652
3480	2	2	57.2	1	0:00:40.773107
3500	1	1	32.3	1	0:00:37.709370
3520	1	1	57.2	1	0:00:38.146633
3540	6	6	57.2	1	0:00:40.897492
3560	1	9	57.2	0	0:00:37.700693
3580	4	4	1.38	1	0:00:39.963302
3600	4	2	32.7	0	0:00:38.293266
3620	0	0	57.2	1	0:00:37.871966
3640	6	6	34.7	1	0:00:40.063882
3660	0	0	57.2	1	0:00:39.263562
3680	0	0	57.2	1	0:00:39.421793
3700	3	3	57.2	1	0:00:37.648236
3720	2	2	57.2	1	0:00:39.711806
3740	0	0	57.2	1	0:00:42.149937
3760	7	7	57.2	1	0:00:39.886461
3780	4	4	57.2	1	0:00:39.631288
3800	9	9	57.2	1	0:00:38.923667
3820	0	0	57.2	1	0:00:39.588200
3840	6	6	22.2	1	0:00:37.996824
3860	7	7	57.2	1	0:00:37.791498
3880	6	6	57.2	1	0:00:37.741315
3900	3	3	23.6	1	0:00:40.623859
3920	7	7	6.98	1	0:00:39.276906
3940	6	6	57.2	1	0:00:40.931329
3960	2	2	57.2	1	0:00:38.971320
3980	9	0	4.3	0	0:00:38.270560
4000	8	8	3.8	1	0:00:38.768369
4020	8	0	14.1	0	0:00:41.388533
4040	0	0	57.2	1	0:00:37.682329
4060	6	6	57.2	1	0:00:36.768169
4080	1	1	57.2	1	0:00:39.050481
4100	7	7	57.2	1	0:00:37.239310
4120	4	4	57.2	1	0:00:37.450677
4140	5	7	14.9	0	0:00:40.288350
4160	5	5	57.2	1	0:00:41.274755
4180	0	0	7.63	1	0:00:40.088227
4200	4	4	57.2	1	0:00:38.767021
4220	4	4	57.2	1	0:00:40.170855
4240	7	7	57.2	1	0:00:40.204260
4260	8	8	57.2	1	0:00:38.892920
4280	8	8	45.0	1	0:00:42.456455
4300	8	8	57.2	1	0:00:39.396437
4320	1	0	10.4	0	0:00:39.933597
4340	0	0	57.2	1	0:00:38.164177
4360	6	6	57.2	1	0:00:40.121924
4380	9	9	57.2	1	0:00:38.475024
4400	3	3	57.2	1	0:00:38.062342
4420	5	5	57.2	1	0:00:39.816151
4440	2	2	57.2	1	0:00:36.871680
4460	9	9	57.2	1	0:00:39.683256
4480	9	9	57.2	1	0:00:37.268974
4500	3	3	42.0	1	0:00:39.841431
4520	3	5	8.59	0	0:00:41.860778
4540	9	9	57.2	1	0:00:39.068378
4560	1	1	57.2	1	0:00:41.604586
4580	6	6	57.2	1	0:00:41.096230
4600	4	4	37.7	1	0:00:38.988936
4620	7	7	37.2	1	0:00:40.021360
4640	2	2	57.2	1	0:00:38.449744
4660	7	7	36.2	1	0:00:39.329375
4680	9	9	57.2	1	0:00:39.559379
4700	6	6	44.7	1	0:00:37.785856
4720	8	8	45.5	1	0:00:39.064740
4740	5	3	57.2	0	0:00:38.955059
4760	3	0	18.3	0	0:00:43.146543
4780	0	0	57.2	1	0:00:38.675523
4800	9	9	57.2	1	0:00:38.059559
4820	3	3	57.2	1	0:00:37.679401
4840	0	0	57.2	1	0:00:38.534527
4860	5	5	57.2	1	0:00:39.221441
4880	0	0	23.7	1	0:00:39.419280
4900	3	3	57.2	1	0:00:37.439214
4920	7	7	57.2	1	0:00:37.203749
4940	6	6	57.2	1	0:00:41.812435
4960	4	4	57.2	1	0:00:39.520961
4980	1	1	42.5	1	0:00:41.749292
5000	7	7	57.2	1	0:00:39.511629
5020	8	8	57.2	1	0:00:40.073072
5040	3	3	25.0	1	0:00:39.426665
5060	6	6	19.3	1	0:00:41.508993
5080	7	7	57.2	1	0:00:37.787405
5100	3	3	57.2	1	0:00:40.153603
5120	9	9	57.2	1	0:00:37.211064
5140	8	8	57.2	1	0:00:39.037030
5160	0	0	57.2	1	0:00:38.666590
5180	9	9	31.4	1	0:00:39.294022
5200	3	3	13.1	1	0:00:37.462957
5220	0	0	57.2	1	0:00:39.927000
5240	1	1	57.2	1	0:00:38.520480
5260	0	0	57.2	1	0:00:40.424586
5280	0	-1	0.0	0	0:00:41.475019
5300	9	9	57.2	1	0:00:39.740661
5320	7	3	8.65	0	0:00:40.484758
5340	3	4	57.2	0	0:00:40.731854
5360	9	9	57.2	1	0:00:38.104476
5380	1	1	45.3	1	0:00:38.889694
5400	9	9	57.2	1	0:00:39.740652
5420	6	6	57.2	1	0:00:38.799376
5440	9	9	57.2	1	0:00:37.827831
5460	0	0	34.8	1	0:00:38.568275
5480	1	1	57.2	1	0:00:37.585608
5500	8	8	57.2	1	0:00:37.927889
5520	4	4	32.4	1	0:00:39.298546
5540	5	5	57.2	1	0:00:40.345224
5560	3	3	19.0	1	0:00:38.171214
5580	5	5	13.9	1	0:00:38.954737
5600	6	6	37.4	1	0:00:38.754587
5620	3	6	18.9	0	0:00:41.177851
5640	2	3	31.4	0	0:00:38.862408
5660	9	9	57.2	1	0:00:41.421787
5680	2	2	43.9	1	0:00:37.642044
5700	3	3	45.4	1	0:00:38.977566
5720	9	9	57.2	1	0:00:37.590152
5740	6	6	57.2	1	0:00:39.573540
5760	2	2	57.2	1	0:00:37.559388
5780	7	7	57.2	1	0:00:40.067608
5800	2	2	31.7	1	0:00:39.556984
5820	5	5	42.4	1	0:00:37.820323
5840	2	3	57.2	0	0:00:38.608516
5860	0	0	57.2	1	0:00:38.706455
5880	0	0	57.2	1	0:00:39.638160
5900	4	-1	0.0	0	0:00:43.531203
5920	8	8	57.2	1	0:00:40.337452
5940	7	2	57.2	0	0:00:41.139236
5960	2	6	36.8	0	0:00:39.765758
5980	9	9	57.2	1	0:00:38.651677
6000	8	3	10.9	0	0:00:39.189579
6020	6	6	57.2	1	0:00:38.769240
6040	2	2	57.2	1	0:00:39.030553
6060	3	3	35.6	1	0:00:38.742857
6080	1	1	35.2	1	0:00:38.410906
6100	1	1	57.2	1	0:00:39.605298
6120	5	5	57.2	1	0:00:38.297300
6140	9	9	57.2	1	0:00:39.952712
6160	2	2	26.2	1	0:00:41.176283
6180	0	0	13.8	1	0:00:37.300596
6200	3	3	57.2	1	0:00:41.637830
6220	2	2	57.2	1	0:00:39.243954
6240	2	2	38.2	1	0:00:40.497371
6260	2	2	57.2	1	0:00:39.633413
6280	8	8	57.2	1	0:00:38.554805
6300	1	1	57.2	1	0:00:41.505417
6320	0	0	32.2	1	0:00:40.008997
6340	3	3	57.2	1	0:00:42.327509
6360	2	2	57.2	1	0:00:40.421938
6380	3	3	15.5	1	0:00:43.448492
6400	0	0	57.2	1	0:00:38.922645
6420	7	7	39.3	1	0:00:40.763398
6440	3	3	31.5	1	0:00:39.476197
6460	3	3	57.2	1	0:00:42.008827
6480	0	8	9.46	0	0:00:39.425884
6500	7	7	13.8	1	0:00:37.409663
6520	6	6	57.2	1	0:00:38.479457
6540	8	8	57.2	1	0:00:41.279903
6560	6	6	57.2	1	0:00:38.444418
6580	1	1	40.6	1	0:00:39.378258
6600	7	7	57.2	1	0:00:38.375930
6620	7	7	57.2	1	0:00:37.684607
6640	5	3	57.2	0	0:00:37.945246
6660	0	0	57.2	1	0:00:39.738643
6680	3	3	46.3	1	0:00:41.230475
6700	6	6	57.2	1	0:00:38.392685
6720	2	2	57.2	1	0:00:40.310776
6740	2	2	57.2	1	0:00:42.087756
6760	5	5	57.2	1	0:00:37.220010
6780	7	7	57.2	1	0:00:38.304191
6800	6	6	57.2	1	0:00:38.611124
6820	1	1	57.2	1	0:00:38.876028
6840	9	9	57.2	1	0:00:39.176973
6860	0	2	4.25	0	0:00:38.581392
6880	2	2	57.2	1	0:00:41.711751
6900	3	3	57.2	1	0:00:39.690032
6920	5	5	23.4	1	0:00:42.109662
6940	1	1	57.2	1	0:00:39.113696
6960	9	9	57.2	1	0:00:41.256197
6980	0	0	28.3	1	0:00:39.071554
7000	2	8	40.3	0	0:00:38.093564
7020	7	7	57.2	1	0:00:37.511184
7040	7	0	57.2	0	0:00:38.852281
7060	8	8	57.2	1	0:00:38.288259
7080	5	-1	0.0	0	0:00:39.246749
7100	9	9	57.2	1	0:00:39.903640
7120	7	7	32.0	1	0:00:39.173812
7140	4	4	57.2	1	0:00:39.094877
7160	5	5	57.2	1	0:00:39.760684
7180	6	6	57.2	1	0:00:39.828721
7200	4	4	57.2	1	0:00:39.164845
7220	9	9	57.2	1	0:00:39.829104
7240	0	0	57.2	1	0:00:40.079186
7260	1	1	57.2	1	0:00:41.371310
7280	1	1	32.1	1	0:00:39.603450
7300	3	3	57.2	1	0:00:39.056942
7320	8	8	10.4	1	0:00:38.634911
7340	2	2	57.2	1	0:00:39.030643
7360	2	2	11.5	1	0:00:38.594700
7380	7	7	57.2	1	0:00:41.399176
7400	3	5	6.55	0	0:00:36.808784
7420	3	3	4.91	1	0:00:39.382515
7440	3	3	57.2	1	0:00:40.102511
7460	5	5	27.3	1	0:00:38.117479
7480	1	1	57.2	1	0:00:38.735218
7500	6	6	57.2	1	0:00:37.220617
7520	4	4	5.14	1	0:00:42.828822
7540	5	5	57.2	1	0:00:37.609588
7560	0	0	57.2	1	0:00:41.770028
7580	8	8	57.2	1	0:00:41.934622
7600	8	8	1.3	1	0:00:38.743849
7620	5	3	4.1	0	0:00:38.273973
7640	9	9	45.2	1	0:00:39.999393
7660	7	7	57.2	1	0:00:39.988172
7680	3	5	22.7	0	0:00:38.911218
7700	6	6	57.2	1	0:00:40.734874
7720	5	5	57.2	1	0:00:39.766791
7740	4	4	1.97	1	0:00:41.168818
7760	2	0	8.1	0	0:00:39.533795
7780	3	3	57.2	1	0:00:40.362461
7800	0	0	57.2	1	0:00:38.051078
7820	5	5	17.8	1	0:00:38.019452
7840	1	1	57.2	1	0:00:42.404354
7860	8	8	57.2	1	0:00:37.280303
7880	0	0	57.2	1	0:00:40.117304
7900	0	0	57.2	1	0:00:38.959146
7920	9	9	57.2	1	0:00:40.095203
7940	2	6	3.73	0	0:00:39.203568
7960	0	0	57.2	1	0:00:38.621304
7980	3	3	57.2	1	0:00:39.296582
8000	9	9	57.2	1	0:00:37.801839
8020	6	-1	0.0	0	0:00:40.149512
8040	2	2	57.2	1	0:00:37.152908
8060	6	6	57.2	1	0:00:40.013748
8080	4	4	57.2	1	0:00:38.844272
8100	6	6	57.2	1	0:00:39.340917
8120	8	8	57.2	1	0:00:38.605963
8140	5	5	57.2	1	0:00:41.050723
8160	6	6	57.2	1	0:00:38.484836
8180	4	6	1.59	0	0:00:37.659986
8200	3	3	28.8	1	0:00:37.252727
8220	6	6	57.2	1	0:00:38.390311
8240	7	7	57.2	1	0:00:38.526760
8260	1	1	57.2	1	0:00:40.097935
8280	4	4	40.9	1	0:00:39.402341
8300	5	5	20.2	1	0:00:38.884561
8320	7	7	29.8	1	0:00:44.124257
8340	5	3	11.3	0	0:00:39.154226
8360	7	7	57.2	1	0:00:37.737189
8380	9	9	57.2	1	0:00:38.789408
8400	0	0	57.2	1	0:00:38.496634
8420	3	6	32.8	0	0:00:38.110683
8440	5	5	27.9	1	0:00:39.448560
8460	8	8	57.2	1	0:00:37.662159
8480	2	2	22.0	1	0:00:38.370311
8500	4	4	57.2	1	0:00:38.235358
8520	8	8	57.2	1	0:00:40.081332
8540	4	4	57.2	1	0:00:39.305517
8560	7	7	45.0	1	0:00:38.861386
8580	3	3	57.2	1	0:00:37.627306
8600	3	3	16.1	1	0:00:37.353243
8620	3	2	8.96	0	0:00:38.982559
8640	1	1	17.7	1	0:00:40.055265
8660	7	7	57.2	1	0:00:40.203951
8680	3	3	57.2	1	0:00:39.780771
8700	3	3	57.2	1	0:00:39.141910
8720	2	0	57.2	0	0:00:40.671362
8740	2	2	57.2	1	0:00:40.369361
8760	8	8	57.2	1	0:00:39.069242
8780	4	4	57.2	1	0:00:39.488578
8800	0	0	57.2	1	0:00:38.710063
8820	2	2	57.2	1	0:00:38.654970
8840	2	2	42.4	1	0:00:39.013742
8860	2	2	57.2	1	0:00:40.929891
8880	1	1	57.2	1	0:00:44.490670
8900	2	0	6.46	0	0:00:38.903347
8920	6	6	57.2	1	0:00:37.813660
8940	6	5	1.71	0	0:00:37.966682
8960	0	0	57.2	1	0:00:39.502030
8980	9	9	57.2	1	0:00:39.318698
9000	8	8	57.2	1	0:00:39.572238
9020	7	7	57.2	1	0:00:39.244123
9040	2	5	57.2	0	0:00:38.054620
9060	9	9	57.2	1	0:00:38.335259
9080	3	5	57.2	0	0:00:38.201867
9100	9	9	57.2	1	0:00:39.566942
9120	3	3	39.7	1	0:00:39.454906
9140	7	7	57.2	1	0:00:39.092482
9160	5	5	22.3	1	0:00:39.550956
9180	5	5	57.2	1	0:00:37.817840
9200	8	8	57.2	1	0:00:40.263158
9220	8	8	57.2	1	0:00:40.403761
9240	8	8	57.2	1	0:00:39.865602
9260	5	3	10.2	0	0:00:38.773079
9280	9	9	57.2	1	0:00:39.825073
9300	5	5	14.0	1	0:00:41.077073
9320	9	9	57.2	1	0:00:40.203896
9340	1	1	57.2	1	0:00:37.640411
9360	5	0	21.7	0	0:00:38.769123
9380	5	5	21.5	1	0:00:38.539417
9400	6	6	57.2	1	0:00:39.243643
9420	5	5	57.2	1	0:00:40.132807
9440	8	8	57.2	1	0:00:39.256839
