idx	label	predict	radius	correct	time
0	3	3	45.3	1	0:00:01.866023
20	7	7	2.0	1	0:00:00.297046
40	4	4	12.2	1	0:00:00.298998
60	7	7	45.3	1	0:00:01.258811
80	8	8	45.3	1	0:00:01.258995
100	4	4	1.0	1	0:00:00.298910
120	8	8	45.3	1	0:00:01.263369
140	6	6	5.0	1	0:00:00.298934
160	2	2	8.54	1	0:00:00.299214
180	0	0	12.2	1	0:00:00.298733
200	5	5	16.0	1	0:00:00.298694
220	7	7	5.0	1	0:00:00.299135
240	1	1	45.3	1	0:00:01.274901
260	8	8	6.32	1	0:00:00.299704
280	9	9	5.0	1	0:00:00.299338
300	6	6	45.3	1	0:00:01.273818
320	3	3	45.3	1	0:00:01.271181
340	2	2	3.0	1	0:00:00.300030
360	9	9	45.3	1	0:00:01.268119
380	6	6	45.3	1	0:00:01.267417
400	9	9	7.07	1	0:00:00.300456
420	4	4	12.2	1	0:00:00.298462
440	1	1	45.3	1	0:00:01.268568
460	5	5	45.3	1	0:00:01.272878
480	8	8	2.24	1	0:00:00.300411
500	4	6	0.0	0	0:00:00.301956
520	5	7	0.0	0	0:00:00.299875
540	1	1	6.32	1	0:00:00.297507
560	0	0	45.3	1	0:00:01.264025
580	4	4	1.0	1	0:00:00.300077
600	8	8	5.83	1	0:00:00.299232
620	7	7	45.3	1	0:00:01.265870
640	5	5	1.0	1	0:00:00.299879
660	9	9	12.4	1	0:00:00.303693
680	9	9	4.24	1	0:00:00.300033
700	7	7	45.3	1	0:00:01.268602
720	4	4	2.0	1	0:00:00.300538
740	2	7	0.0	0	0:00:00.303709
760	3	3	9.49	1	0:00:00.306395
780	9	9	45.3	1	0:00:01.273453
800	7	7	45.3	1	0:00:01.270091
820	6	6	6.32	1	0:00:00.300624
840	7	7	45.3	1	0:00:01.272701
860	4	4	7.21	1	0:00:00.301805
880	8	8	45.3	1	0:00:01.274714
900	2	3	0.0	0	0:00:00.301818
920	6	4	0.0	0	0:00:00.301130
940	9	9	45.3	1	0:00:01.279896
960	9	1	0.0	0	0:00:00.304423
980	2	2	7.07	1	0:00:00.303547
1000	5	5	14.2	1	0:00:00.303895
1020	1	1	12.5	1	0:00:00.303633
1040	7	3	0.0	0	0:00:00.303858
1060	9	9	45.3	1	0:00:01.278377
1080	6	6	45.3	1	0:00:01.278357
1100	7	4	0.0	0	0:00:00.302299
1120	5	2	0.0	0	0:00:00.301645
1140	6	6	45.3	1	0:00:01.283690
1160	8	8	45.3	1	0:00:01.280997
1180	3	3	13.0	1	0:00:00.303403
1200	8	8	45.3	1	0:00:01.284730
1220	9	9	4.0	1	0:00:00.303850
1240	2	2	13.0	1	0:00:00.302125
1260	1	1	12.7	1	0:00:00.302699
1280	3	5	0.0	0	0:00:00.302400
1300	4	4	1.0	1	0:00:00.302925
1320	7	7	45.3	1	0:00:01.283416
1340	1	1	45.3	1	0:00:01.279671
1360	7	7	45.3	1	0:00:01.287293
1380	4	4	1.0	1	0:00:00.304209
1400	5	5	2.24	1	0:00:00.303147
1420	4	4	3.16	1	0:00:00.305093
1440	0	0	4.12	1	0:00:00.304421
1460	6	6	45.3	1	0:00:01.285456
1480	1	1	1.41	1	0:00:00.304333
1500	1	1	5.1	1	0:00:00.305444
1520	7	7	45.3	1	0:00:01.285997
1540	8	8	45.3	1	0:00:01.283673
1560	7	7	7.62	1	0:00:00.303816
1580	6	2	0.0	0	0:00:00.303554
1600	8	8	5.0	1	0:00:00.302821
1620	5	0	0.0	0	0:00:00.303198
1640	7	7	5.1	1	0:00:00.304840
1660	3	3	45.3	1	0:00:01.285396
1680	6	6	14.3	1	0:00:00.303147
1700	5	5	13.0	1	0:00:00.303320
1720	4	4	2.0	1	0:00:00.304905
1740	1	1	45.3	1	0:00:01.282754
1760	0	0	45.3	1	0:00:01.281909
1780	7	7	9.22	1	0:00:00.305370
1800	4	0	0.0	0	0:00:00.302910
1820	8	8	45.3	1	0:00:01.280492
1840	8	8	1.41	1	0:00:00.302717
1860	8	0	0.0	0	0:00:00.302729
1880	1	1	45.3	1	0:00:01.279717
1900	8	8	45.3	1	0:00:01.278526
1920	2	2	45.3	1	0:00:01.283040
1940	5	5	45.3	1	0:00:01.282411
1960	2	2	2.24	1	0:00:00.302469
1980	9	9	10.8	1	0:00:00.303410
2000	1	1	5.1	1	0:00:00.302244
2020	9	9	45.3	1	0:00:01.278836
2040	0	0	45.3	1	0:00:01.282333
2060	5	5	3.0	1	0:00:00.306763
2080	1	1	9.49	1	0:00:00.302931
2100	2	2	13.0	1	0:00:00.303082
2120	4	4	1.0	1	0:00:00.302964
2140	9	9	45.3	1	0:00:01.280309
2160	0	0	5.1	1	0:00:00.300884
2180	4	4	45.3	1	0:00:01.277101
2200	0	0	8.54	1	0:00:00.301418
2220	1	1	45.3	1	0:00:01.279615
2240	9	1	0.0	0	0:00:00.302813
2260	4	4	45.3	1	0:00:01.279800
2280	4	4	45.3	1	0:00:01.282854
2300	3	9	0.0	0	0:00:00.301821
2320	5	3	0.0	0	0:00:00.301859
2340	7	7	45.3	1	0:00:01.276724
2360	7	7	1.0	1	0:00:00.301344
2380	8	8	45.3	1	0:00:01.271599
2400	0	0	45.3	1	0:00:01.274555
2420	8	8	5.0	1	0:00:00.301841
2440	7	7	3.0	1	0:00:00.300194
2460	9	9	45.3	1	0:00:01.270396
2480	8	8	45.3	1	0:00:01.277698
2500	4	6	0.0	0	0:00:00.301654
2520	1	1	6.71	1	0:00:00.301354
2540	2	4	0.0	0	0:00:00.302483
2560	7	7	45.3	1	0:00:01.276904
2580	6	3	0.0	0	0:00:00.301860
2600	8	8	45.3	1	0:00:01.277552
2620	1	1	45.3	1	0:00:01.276587
2640	7	7	12.5	1	0:00:00.301526
2660	3	3	2.24	1	0:00:00.302760
2680	0	0	45.3	1	0:00:01.278270
2700	9	9	6.4	1	0:00:00.302484
2720	3	3	45.3	1	0:00:01.283070
2740	1	1	7.0	1	0:00:00.300464
2760	2	2	1.0	1	0:00:00.302081
2780	7	7	10.8	1	0:00:00.301670
2800	4	6	0.0	0	0:00:00.296469
2820	6	6	45.3	1	0:00:01.273486
2840	3	3	45.3	1	0:00:01.278000
2860	5	5	1.41	1	0:00:00.302949
2880	4	4	45.3	1	0:00:01.279058
2900	3	2	0.0	0	0:00:00.303008
2920	2	2	11.2	1	0:00:00.303743
2940	3	0	0.0	0	0:00:00.302365
2960	9	0	0.0	0	0:00:00.301173
2980	8	8	45.3	1	0:00:01.277133
3000	5	5	4.47	1	0:00:00.301675
3020	1	1	45.3	1	0:00:01.276359
3040	7	7	45.3	1	0:00:01.280322
3060	7	7	11.7	1	0:00:00.302130
3080	1	1	45.3	1	0:00:01.277485
3100	0	0	14.9	1	0:00:00.302056
3120	4	4	7.21	1	0:00:00.301968
3140	8	8	45.3	1	0:00:01.275937
3160	6	6	2.24	1	0:00:00.302769
3180	3	6	0.0	0	0:00:00.301325
3200	5	5	45.3	1	0:00:01.281251
3220	3	5	0.0	0	0:00:00.301253
3240	4	7	0.0	0	0:00:00.302165
3260	7	7	14.8	1	0:00:00.301537
3280	3	3	13.3	1	0:00:00.302721
3300	4	4	45.3	1	0:00:01.282077
3320	2	4	0.0	0	0:00:00.301144
3340	6	6	45.3	1	0:00:01.276258
3360	4	4	45.3	1	0:00:01.272643
3380	8	8	45.3	1	0:00:01.271414
3400	6	4	0.0	0	0:00:00.300939
3420	5	5	14.1	1	0:00:00.301755
3440	2	2	5.0	1	0:00:00.300570
3460	1	1	45.3	1	0:00:01.270749
3480	2	2	17.5	1	0:00:00.301087
3500	1	1	5.83	1	0:00:00.301880
3520	1	1	45.3	1	0:00:01.269787
3540	6	6	6.32	1	0:00:00.301403
3560	1	9	0.0	0	0:00:00.299881
3580	4	0	0.0	0	0:00:00.300218
3600	4	2	0.0	0	0:00:00.300316
3620	0	0	1.0	1	0:00:00.301708
3640	6	6	8.06	1	0:00:00.300207
3660	0	0	20.0	1	0:00:00.601094
3680	0	0	3.0	1	0:00:00.299907
3700	3	3	8.06	1	0:00:00.300431
3720	2	2	45.3	1	0:00:01.274918
3740	0	0	45.3	1	0:00:01.270643
3760	7	7	45.3	1	0:00:01.283909
3780	4	4	1.0	1	0:00:00.304041
3800	9	9	45.3	1	0:00:01.278869
3820	0	0	15.0	1	0:00:00.300022
3840	6	3	0.0	0	0:00:00.302391
3860	7	7	45.3	1	0:00:01.277105
3880	6	6	45.3	1	0:00:01.277467
3900	3	6	0.0	0	0:00:00.302568
3920	7	5	0.0	0	0:00:00.305934
3940	6	6	11.0	1	0:00:00.301585
3960	2	2	45.3	1	0:00:01.282773
3980	9	8	0.0	0	0:00:00.303689
4000	8	4	0.0	0	0:00:00.303214
4020	8	0	0.0	0	0:00:00.301398
4040	0	0	45.3	1	0:00:01.278143
4060	6	6	45.3	1	0:00:01.278588
4080	1	1	45.3	1	0:00:01.280048
