idx	label	predict	radius	correct	time
0	0	-1	0.0	0	0:05:19.388235
100	2	2	1.04	1	0:05:20.973352
200	4	-1	0.0	0	0:05:33.478864
300	6	6	1.04	1	0:05:41.585100
400	8	8	1.04	1	0:05:42.683563
500	10	10	1.04	1	0:05:41.378664
600	12	12	0.964	1	0:05:44.778877
700	14	14	1.04	1	0:05:45.429645
800	16	16	1.04	1	0:05:48.192306
900	18	18	0.98	1	0:05:43.208845
1000	20	20	1.04	1	0:05:45.041589
1100	22	21	0.812	0	0:05:42.247595
1200	24	24	1.04	1	0:05:41.736554
1300	26	26	1.04	1	0:05:42.928345
1400	28	-1	0.0	0	0:05:42.980575
1500	30	-1	0.0	0	0:05:44.537154
1600	32	26	0.764	0	0:05:42.437866
1700	34	-1	0.0	0	0:05:45.362225
1800	36	35	1.04	0	0:05:43.006740
1900	38	38	1.04	1	0:05:45.771353
2000	40	-1	0.0	0	0:05:43.538151
2100	42	43	0.62	0	0:05:44.009807
2200	44	44	1.04	1	0:05:45.109623
2300	46	40	0.958	0	0:05:45.515735
2400	48	48	0.936	1	0:05:45.785171
2500	50	50	1.04	1	0:05:44.735791
2600	52	52	1.04	1	0:05:41.788668
2700	54	57	1.04	0	0:05:40.910094
2800	56	56	1.04	1	0:05:43.016887
2900	58	-1	0.0	0	0:05:43.291975
3000	60	-1	0.0	0	0:05:44.319182
3100	62	-1	0.0	0	0:05:46.592170
3200	64	55	1.04	0	0:05:44.972567
3300	66	-1	0.0	0	0:05:44.690044
3400	68	60	1.04	0	0:05:48.375663
3500	70	70	1.04	1	0:05:43.037811
3600	72	72	1.04	1	0:05:43.757995
3700	74	74	0.808	1	0:05:42.249328
3800	76	76	1.04	1	0:05:44.574182
3900	78	78	1.04	1	0:05:42.304629
4000	80	80	1.04	1	0:05:39.296067
4100	82	82	1.04	1	0:05:40.608513
4200	84	84	1.04	1	0:05:42.349901
4300	86	86	1.04	1	0:05:42.469492
4400	88	88	1.04	1	0:05:44.696959
4500	90	90	1.04	1	0:05:45.615827
4600	92	92	1.04	1	0:05:45.435695
4700	94	94	1.04	1	0:05:45.540879
4800	96	96	1.04	1	0:05:46.905756
4900	98	98	1.04	1	0:05:42.390438
5000	100	100	1.04	1	0:05:46.294920
5100	102	102	1.04	1	0:05:49.940635
5200	104	104	1.04	1	0:05:44.464735
5300	106	106	1.04	1	0:05:45.136593
5400	108	-1	0.0	0	0:05:43.740565
5500	110	110	1.04	1	0:05:47.487622
5600	112	112	1.04	1	0:05:43.966171
5700	114	114	0.812	1	0:05:45.847108
5800	116	116	1.04	1	0:05:43.723942
5900	118	-1	0.0	0	0:05:44.830371
6000	120	-1	0.0	0	0:05:45.267594
6100	122	122	1.04	1	0:05:42.204291
6200	124	-1	0.0	0	0:05:44.597355
6300	126	126	1.04	1	0:05:45.690948
6400	128	128	1.04	1	0:05:45.809752
6500	130	130	1.04	1	0:05:42.777900
6600	132	132	1.04	1	0:05:44.190713
6700	134	132	1.04	0	0:05:33.698716
6800	136	136	1.04	1	0:05:21.426688
6900	138	-1	0.0	0	0:05:20.869529
7000	140	140	1.04	1	0:05:22.299570
7100	142	142	1.04	1	0:05:20.852044
7200	144	144	1.04	1	0:05:19.529873
7300	146	146	1.04	1	0:05:20.487211
7400	148	148	1.04	1	0:05:18.999595
7500	150	-1	0.0	0	0:05:19.400559
7600	152	152	1.04	1	0:05:19.723864
7700	154	154	1.0	1	0:05:19.452876
7800	156	156	1.04	1	0:05:19.425745
7900	158	158	1.04	1	0:05:18.645961
8000	160	160	1.04	1	0:05:19.675545
8100	162	162	1.04	1	0:05:19.859767
8200	164	164	1.04	1	0:05:19.750632
8300	166	166	0.936	1	0:05:19.211171
8400	168	211	0.407	0	0:05:20.750630
8500	170	172	1.04	0	0:05:18.656300
8600	172	-1	0.0	0	0:05:19.924856
8700	174	174	1.04	1	0:05:20.567298
8800	176	176	1.04	1	0:05:19.161376
8900	178	178	1.04	1	0:05:19.328783
9000	180	243	0.887	0	0:05:19.028759
9100	182	182	1.02	1	0:05:19.596310
9200	184	-1	0.0	0	0:05:18.986351
9300	186	192	1.02	0	0:05:20.010527
9400	188	-1	0.0	0	0:05:20.108556
9500	190	190	1.04	1	0:05:19.846173
9600	192	192	0.774	1	0:05:20.460957
9700	194	-1	0.0	0	0:05:17.478337
9800	196	199	1.04	0	0:05:21.851644
9900	198	-1	0.0	0	0:05:19.496247
10000	200	200	1.04	1	0:05:19.266670
10100	202	202	1.04	1	0:05:19.601602
10200	204	204	1.04	1	0:05:18.181349
10300	206	206	1.04	1	0:05:21.165890
10400	208	208	1.04	1	0:05:34.763938
10500	210	210	1.04	1	0:05:22.156729
10600	212	212	1.04	1	0:05:20.125060
10700	214	214	1.04	1	0:05:17.919935
10800	216	216	1.04	1	0:05:18.925979
10900	218	218	1.04	1	0:05:18.832051
11000	220	220	1.04	1	0:05:20.398666
11100	222	222	0.325	1	0:05:19.584368
11200	224	233	0.65	0	0:05:18.214576
11300	226	226	1.04	1	0:05:17.321222
11400	228	228	1.04	1	0:05:18.688010
11500	230	230	1.04	1	0:05:20.440661
11600	232	232	1.04	1	0:05:19.796677
11700	234	234	1.02	1	0:05:18.326711
11800	236	-1	0.0	0	0:05:19.983651
11900	238	238	1.04	1	0:05:18.621689
12000	240	238	1.04	0	0:05:18.863817
12100	242	242	1.04	1	0:05:19.045021
12200	244	244	1.04	1	0:05:19.467149
12300	246	-1	0.0	0	0:05:20.161302
12400	248	248	1.04	1	0:05:18.780007
12500	250	-1	0.0	0	0:05:19.789325
12600	252	252	1.04	1	0:05:18.894639
12700	254	254	0.713	1	0:05:19.065089
12800	256	256	1.04	1	0:05:20.222915
12900	258	258	1.04	1	0:05:17.981416
13000	260	260	1.04	1	0:05:19.988286
13100	262	262	1.04	1	0:05:18.615359
13200	264	264	1.04	1	0:05:16.291410
13300	266	-1	0.0	0	0:05:17.443327
13400	268	268	1.04	1	0:05:16.849048
13500	270	270	1.04	1	0:05:16.907639
13600	272	274	1.04	0	0:05:17.058789
13700	274	274	1.04	1	0:05:15.607908
13800	276	276	1.04	1	0:05:17.252997
13900	278	278	0.718	1	0:05:16.878766
14000	280	280	1.04	1	0:05:16.177731
14100	282	282	0.565	1	0:05:17.152610
14200	284	284	1.04	1	0:05:16.762973
14300	286	286	1.04	1	0:05:16.342744
14400	288	290	1.04	0	0:05:17.816580
14500	290	290	1.04	1	0:05:17.384820
14600	292	290	0.958	0	0:05:16.801604
14700	294	294	1.04	1	0:05:16.286983
14800	296	296	1.04	1	0:05:17.100635
14900	298	-1	0.0	0	0:05:16.448013
15000	300	300	1.04	1	0:05:16.367397
15100	302	-1	0.0	0	0:05:16.925982
15200	304	301	1.04	0	0:05:15.551281
15300	306	306	1.04	1	0:05:15.855680
15400	308	-1	0.0	0	0:05:15.205611
15500	310	310	1.04	1	0:05:16.644466
15600	312	311	1.0	0	0:05:17.792520
15700	314	314	1.04	1	0:05:15.720206
15800	316	316	1.04	1	0:05:16.701196
15900	318	318	0.989	1	0:05:16.629653
16000	320	320	1.04	1	0:05:17.634031
16100	322	-1	0.0	0	0:05:16.269430
16200	324	324	1.04	1	0:05:17.252810
16300	326	326	1.04	1	0:05:16.392168
16400	328	328	1.04	1	0:05:17.463346
16500	330	330	1.04	1	0:05:16.031668
16600	332	-1	0.0	0	0:05:16.523939
16700	334	334	1.04	1	0:05:16.297351
16800	336	336	0.876	1	0:05:16.191611
16900	338	-1	0.0	0	0:05:17.090938
17000	340	340	1.04	1	0:05:16.308516
17100	342	342	0.733	1	0:05:16.872311
17200	344	344	0.958	1	0:05:15.203214
17300	346	346	0.87	1	0:05:16.583774
17400	348	-1	0.0	0	0:05:16.151760
17500	350	350	1.04	1	0:05:16.794977
17600	352	352	1.04	1	0:05:16.727685
17700	354	354	1.04	1	0:05:17.919091
17800	356	-1	0.0	0	0:05:16.463206
17900	358	-1	0.0	0	0:05:16.632596
18000	360	360	1.04	1	0:05:15.552805
18100	362	362	1.04	1	0:05:16.174463
18200	364	364	1.04	1	0:05:16.544056
18300	366	366	1.04	1	0:05:17.690309
18400	368	368	1.04	1	0:05:16.332768
18500	370	370	1.04	1	0:05:16.252769
18600	372	372	1.04	1	0:05:15.585395
18700	374	374	1.04	1	0:05:16.528586
18800	376	376	1.04	1	0:05:16.531528
18900	378	378	1.02	1	0:05:15.982527
19000	380	380	1.04	1	0:05:17.057102
