idx	label	predict	radius	correct	time
0	0	-1	0.0	0	0:06:07.851767
100	2	2	0.677	1	0:06:13.952142
200	4	-1	0.0	0	0:06:23.072293
300	6	6	0.677	1	0:06:25.797681
400	8	8	0.677	1	0:06:20.401428
500	10	10	0.677	1	0:06:21.646394
600	12	12	0.615	1	0:06:25.437416
700	14	14	0.677	1	0:06:29.350745
800	16	16	0.677	1	0:06:28.420477
900	18	18	0.598	1	0:06:26.622594
1000	20	20	0.677	1	0:06:24.664648
1100	22	21	0.487	0	0:06:04.402489
1200	24	24	0.677	1	0:05:47.566424
1300	26	26	0.677	1	0:05:46.588585
1400	28	-1	0.0	0	0:05:46.704632
1500	30	-1	0.0	0	0:05:48.995612
1600	32	26	0.455	0	0:05:47.505976
1700	34	-1	0.0	0	0:05:43.413989
1800	36	35	0.677	0	0:05:44.454162
1900	38	38	0.677	1	0:05:44.628791
2000	40	-1	0.0	0	0:05:44.008987
2100	42	43	0.374	0	0:05:46.477874
2200	44	44	0.677	1	0:05:45.073442
2300	46	40	0.591	0	0:05:47.161349
2400	48	48	0.578	1	0:05:45.658289
2500	50	50	0.677	1	0:05:45.771009
2600	52	52	0.677	1	0:05:44.921395
2700	54	57	0.677	0	0:05:46.410805
2800	56	56	0.677	1	0:05:46.549326
2900	58	-1	0.0	0	0:05:45.536829
3000	60	-1	0.0	0	0:05:44.011015
3100	62	-1	0.0	0	0:05:43.738442
3200	64	55	0.677	0	0:05:44.963013
3300	66	-1	0.0	0	0:05:46.033349
3400	68	60	0.677	0	0:05:45.216132
3500	70	70	0.677	1	0:05:47.452754
3600	72	72	0.677	1	0:05:47.258816
3700	74	74	0.499	1	0:05:48.930881
3800	76	76	0.677	1	0:05:48.644995
3900	78	78	0.677	1	0:05:45.120854
4000	80	80	0.677	1	0:05:46.302300
4100	82	82	0.677	1	0:05:44.928614
4200	84	84	0.677	1	0:05:45.855259
4300	86	86	0.677	1	0:05:44.882284
4400	88	88	0.677	1	0:05:47.990801
4500	90	90	0.677	1	0:05:45.585377
4600	92	92	0.654	1	0:05:44.164488
4700	94	94	0.677	1	0:05:44.027207
4800	96	96	0.677	1	0:05:43.748354
4900	98	98	0.677	1	0:05:43.626156
5000	100	100	0.677	1	0:05:46.329413
5100	102	102	0.677	1	0:05:46.461975
5200	104	104	0.677	1	0:05:44.742122
5300	106	106	0.677	1	0:05:43.711183
5400	108	-1	0.0	0	0:05:47.160683
5500	110	110	0.677	1	0:05:49.812937
5600	112	112	0.677	1	0:05:45.446574
5700	114	114	0.502	1	0:05:44.174709
5800	116	116	0.677	1	0:05:47.697240
5900	118	-1	0.0	0	0:05:44.763883
6000	120	-1	0.0	0	0:05:43.828542
6100	122	122	0.677	1	0:05:44.854111
6200	124	-1	0.0	0	0:05:44.922115
6300	126	126	0.677	1	0:05:46.515747
6400	128	128	0.677	1	0:05:45.556982
6500	130	130	0.677	1	0:05:44.298651
6600	132	132	0.677	1	0:05:45.793853
6700	134	132	0.677	0	0:05:45.730026
6800	136	136	0.677	1	0:05:47.729177
6900	138	-1	0.0	0	0:05:50.523737
7000	140	140	0.677	1	0:05:41.142030
7100	142	142	0.677	1	0:05:41.387324
7200	144	144	0.638	1	0:05:39.565925
7300	146	146	0.677	1	0:05:38.847652
7400	148	148	0.677	1	0:05:39.342386
7500	150	-1	0.0	0	0:05:41.336091
7600	152	152	0.677	1	0:05:41.334114
7700	154	154	0.638	1	0:05:40.786556
7800	156	156	0.677	1	0:05:38.949161
7900	158	158	0.677	1	0:05:39.955702
8000	160	160	0.677	1	0:05:39.450034
8100	162	162	0.677	1	0:05:38.877273
8200	164	164	0.677	1	0:05:40.425217
8300	166	166	0.552	1	0:05:39.520809
8400	168	211	0.203	0	0:05:40.436272
8500	170	172	0.677	0	0:05:40.391941
8600	172	-1	0.0	0	0:05:40.569133
8700	174	174	0.654	1	0:05:40.423714
8800	176	176	0.677	1	0:05:40.350373
8900	178	178	0.677	1	0:05:40.702000
9000	180	243	0.485	0	0:05:39.337178
9100	182	182	0.638	1	0:05:41.648792
9200	184	-1	0.0	0	0:05:41.965221
9300	186	192	0.677	0	0:05:41.964926
9400	188	-1	0.0	0	0:05:41.545138
9500	190	190	0.677	1	0:05:41.306173
9600	192	192	0.48	1	0:05:41.342301
9700	194	-1	0.0	0	0:05:41.004961
9800	196	199	0.677	0	0:05:41.366950
9900	198	-1	0.0	0	0:05:41.283291
10000	200	200	0.677	1	0:05:41.342159
10100	202	202	0.677	1	0:05:40.576029
10200	204	204	0.677	1	0:05:41.461023
10300	206	206	0.677	1	0:05:41.360296
10400	208	208	0.677	1	0:05:41.336129
10500	210	210	0.677	1	0:05:41.266917
10600	212	212	0.654	1	0:05:40.645969
10700	214	214	0.677	1	0:05:40.955630
10800	216	216	0.677	1	0:05:40.155452
10900	218	218	0.677	1	0:05:40.434037
11000	220	220	0.677	1	0:05:40.289166
11100	222	222	0.186	1	0:05:39.996730
11200	224	233	0.431	0	0:05:40.682631
11300	226	226	0.677	1	0:05:40.095961
11400	228	228	0.677	1	0:05:40.718788
11500	230	230	0.677	1	0:05:40.666054
11600	232	232	0.677	1	0:05:40.883533
11700	234	234	0.654	1	0:05:39.609338
11800	236	-1	0.0	0	0:05:38.953659
11900	238	238	0.677	1	0:05:40.430275
12000	240	238	0.677	0	0:05:37.672784
12100	242	242	0.654	1	0:05:39.186298
12200	244	244	0.677	1	0:05:39.539398
12300	246	-1	0.0	0	0:05:40.647550
12400	248	248	0.677	1	0:05:40.034326
12500	250	-1	0.0	0	0:05:40.728564
12600	252	252	0.654	1	0:05:40.306619
12700	254	254	0.419	1	0:05:40.245253
12800	256	256	0.677	1	0:05:40.494496
12900	258	258	0.677	1	0:05:40.915070
13000	260	260	0.677	1	0:05:39.845115
13100	262	262	0.677	1	0:05:40.028096
13200	264	264	0.677	1	0:05:38.855160
13300	266	-1	0.0	0	0:05:39.884820
13400	268	268	0.677	1	0:05:40.268979
13500	270	270	0.677	1	0:05:40.010167
13600	272	274	0.677	0	0:05:39.181353
13700	274	274	0.677	1	0:05:40.664828
13800	276	276	0.677	1	0:05:39.627122
13900	278	278	0.443	1	0:05:40.227395
14000	280	280	0.677	1	0:05:40.026060
14100	282	282	0.33	1	0:05:40.402149
14200	284	284	0.677	1	0:05:40.702538
14300	286	286	0.677	1	0:05:39.974682
14400	288	290	0.677	0	0:05:40.761830
14500	290	290	0.677	1	0:05:38.809250
14600	292	290	0.598	0	0:05:39.167339
14700	294	294	0.677	1	0:05:40.076329
14800	296	296	0.677	1	0:05:40.241401
14900	298	-1	0.0	0	0:05:39.921271
15000	300	300	0.677	1	0:05:39.896004
15100	302	-1	0.0	0	0:05:40.270663
15200	304	301	0.677	0	0:05:40.548541
15300	306	306	0.677	1	0:05:40.989625
15400	308	-1	0.0	0	0:05:36.903748
15500	310	310	0.677	1	0:05:40.473799
15600	312	311	0.654	0	0:05:41.077630
15700	314	314	0.677	1	0:05:39.862802
15800	316	316	0.677	1	0:05:40.608748
15900	318	318	0.638	1	0:05:40.844128
16000	320	320	0.677	1	0:05:40.789981
16100	322	-1	0.0	0	0:05:40.222753
16200	324	324	0.677	1	0:05:40.952153
16300	326	326	0.677	1	0:05:40.337882
16400	328	328	0.677	1	0:05:39.725570
16500	330	330	0.677	1	0:05:40.137897
16600	332	-1	0.0	0	0:05:40.533986
16700	334	334	0.677	1	0:05:40.162130
16800	336	336	0.507	1	0:05:40.812829
16900	338	-1	0.0	0	0:05:40.486566
17000	340	340	0.677	1	0:05:39.510340
17100	342	342	0.428	1	0:05:40.953154
17200	344	344	0.552	1	0:05:40.530887
17300	346	346	0.562	1	0:05:40.381261
17400	348	-1	0.0	0	0:05:40.908562
17500	350	350	0.677	1	0:05:40.595165
17600	352	352	0.677	1	0:05:40.158352
17700	354	354	0.677	1	0:05:40.056840
17800	356	-1	0.0	0	0:05:40.258836
17900	358	-1	0.0	0	0:05:41.018976
18000	360	360	0.677	1	0:05:40.467839
18100	362	362	0.677	1	0:05:40.802500
18200	364	364	0.677	1	0:05:41.090892
18300	366	366	0.677	1	0:05:40.886398
18400	368	368	0.677	1	0:05:40.962617
18500	370	370	0.654	1	0:05:40.463873
18600	372	372	0.677	1	0:05:41.012293
18700	374	374	0.654	1	0:05:41.110620
18800	376	376	0.677	1	0:05:40.909113
18900	378	378	0.677	1	0:05:40.572933
19000	380	380	0.677	1	0:05:40.812356
19100	382	382	0.677	1	0:05:41.055322
19200	384	383	0.654	0	0:05:40.877227
19300	386	386	0.638	1	0:05:40.804575
19400	388	-1	0.0	0	0:05:40.997179
19500	390	390	0.677	1	0:05:40.937298
19600	392	-1	0.0	0	0:05:40.882711
19700	394	-1	0.0	0	0:05:40.975549
19800	396	396	0.677	1	0:05:40.883815
19900	398	398	0.677	1	0:05:41.057009
20000	400	-1	0.0	0	0:05:41.034148
20100	402	402	0.677	1	0:05:41.004275
20200	404	404	0.677	1	0:05:40.762959
20300	406	406	0.677	1	0:05:41.009444
20400	408	847	0.677	0	0:05:40.930647
20500	410	-1	0.0	0	0:05:41.078091
20600	412	412	0.677	1	0:05:41.012648
20700	414	-1	0.0	0	0:05:41.041743
20800	416	416	0.677	1	0:05:41.043947
20900	418	767	0.677	0	0:05:39.733736
21000	420	-1	0.0	0	0:05:41.097903
21100	422	-1	0.0	0	0:05:41.026590
21200	424	424	0.591	1	0:05:40.919385
21300	426	426	0.677	1	0:05:41.052368
21400	428	428	0.677	1	0:05:40.984789
21500	430	430	0.654	1	0:05:40.991011
21600	432	432	0.677	1	0:05:41.052691
21700	434	434	0.654	1	0:05:40.931369
21800	436	436	0.677	1	0:05:40.937010
21900	438	647	0.677	0	0:05:41.000766
22000	440	-1	0.0	0	0:05:40.958471
22100	442	442	0.677	1	0:05:40.777407
22200	444	-1	0.0	0	0:05:41.030929
22300	446	446	0.677	1	0:05:40.952307
22400	448	448	0.677	1	0:05:41.043098
22500	450	-1	0.0	0	0:05:40.705735
22600	452	452	0.677	1	0:05:41.108625
22700	454	454	0.358	1	0:05:40.929782
22800	456	456	0.677	1	0:05:41.079832
