idx	label	predict	radius	correct	time
0	0	394	16.8	0	0:00:56.789633
100	2	2	1.32e+02	1	0:00:51.932643
200	4	130	30.0	0	0:00:51.509266
300	6	6	1.32e+02	1	0:00:50.425228
400	8	8	1.16e+02	1	0:00:51.817929
500	10	10	23.1	1	0:00:53.200114
600	12	879	21.2	0	0:00:53.386683
700	14	14	1.32e+02	1	0:00:53.584171
800	16	16	16.7	1	0:00:53.148817
900	18	18	75.9	1	0:00:53.643616
1000	20	20	1.32e+02	1	0:00:54.556849
1100	22	21	1.32e+02	0	0:00:53.853382
1200	24	24	96.2	1	0:00:54.646944
1300	26	394	40.4	0	0:00:53.981063
1400	28	77	91.7	0	0:00:54.891060
1500	30	30	90.3	1	0:00:55.701546
1600	32	302	15.8	0	0:00:54.276538
1700	34	310	30.5	0	0:00:53.336688
1800	36	35	67.8	0	0:00:55.611365
1900	38	44	1.26e+02	0	0:00:54.429740
2000	40	989	32.9	0	0:00:53.772246
2100	42	366	73.3	0	0:00:52.665284
2200	44	44	52.6	1	0:00:54.157724
2300	46	46	80.3	1	0:00:53.432016
2400	48	69	65.1	0	0:00:54.050413
2500	50	39	29.6	0	0:00:53.201041
2600	52	52	61.8	1	0:00:55.189770
2700	54	57	1.16e+02	0	0:00:53.476893
2800	56	56	1.08e+02	1	0:00:55.776086
2900	58	25	83.5	0	0:00:56.272112
3000	60	61	1.32e+02	0	0:00:55.232604
3100	62	61	80.3	0	0:00:53.392063
3200	64	64	83.8	1	0:00:53.974110
3300	66	42	1.02e+02	0	0:00:54.628023
3400	68	111	1.32e+02	0	0:00:53.576699
3500	70	70	1.32e+02	1	0:00:54.826157
3600	72	72	1.04e+02	1	0:00:53.281003
3700	74	78	31.1	0	0:00:53.559565
3800	76	76	47.7	1	0:00:53.233992
3900	78	78	99.8	1	0:00:52.524856
4000	80	80	1.32e+02	1	0:00:52.597882
4100	82	82	1.32e+02	1	0:00:53.327544
4200	84	84	52.0	1	0:00:53.164893
4300	86	81	1.26e+02	0	0:00:53.589660
4400	88	954	1.32e+02	0	0:00:52.032364
4500	90	90	1.26e+02	1	0:00:52.026857
4600	92	94	1.19e+02	0	0:00:53.163909
4700	94	94	1.32e+02	1	0:00:54.553225
4800	96	96	1.32e+02	1	0:00:53.630388
4900	98	98	52.5	1	0:00:51.121064
5000	100	100	1.32e+02	1	0:00:53.264751
5100	102	102	47.6	1	0:00:53.475817
5200	104	298	7.99	0	0:00:54.373936
5300	106	106	1.32e+02	1	0:00:52.303868
5400	108	29	36.5	0	0:00:54.262999
5500	110	110	1.02e+02	1	0:00:54.212223
5600	112	112	1.32e+02	1	0:00:52.342746
5700	114	16	10.1	0	0:00:52.665997
5800	116	116	1.32e+02	1	0:00:54.342253
5900	118	118	1.32e+02	1	0:00:52.570534
6000	120	308	8.43	0	0:00:53.345645
6100	122	122	45.7	1	0:00:53.616974
6200	124	953	13.2	0	0:00:53.352248
6300	126	363	42.8	0	0:00:54.158507
6400	128	128	1.19e+02	1	0:00:53.177476
6500	130	130	75.2	1	0:00:51.818714
6600	132	132	1.32e+02	1	0:00:53.823799
6700	134	132	1.26e+02	0	0:00:52.741309
6800	136	136	1.32e+02	1	0:00:53.561749
6900	138	138	1.32e+02	1	0:00:53.908295
7000	140	140	1.32e+02	1	0:00:53.900904
7100	142	135	10.1	0	0:00:52.995084
7200	144	144	96.9	1	0:00:52.982463
7300	146	99	2.09	0	0:00:53.574500
7400	148	148	1.32e+02	1	0:00:54.050679
7500	150	360	21.7	0	0:00:52.881842
7600	152	157	44.8	0	0:00:53.776778
7700	154	154	99.1	1	0:00:52.857303
7800	156	156	1.32e+02	1	0:00:53.876225
7900	158	171	23.9	0	0:00:52.536465
8000	160	160	1.32e+02	1	0:00:53.770236
8100	162	162	1.04e+02	1	0:00:51.730603
8200	164	210	1.26e+02	0	0:00:53.528398
8300	166	166	65.7	1	0:00:52.367376
8400	168	338	1.26e+02	0	0:00:51.814776
8500	170	172	9.09	0	0:00:53.026054
8600	172	246	21.2	0	0:00:52.750889
8700	174	174	1.26e+02	1	0:00:53.526783
8800	176	176	1.32e+02	1	0:00:52.921296
8900	178	178	1.32e+02	1	0:00:52.459647
9000	180	243	1.11e+02	0	0:00:53.731330
9100	182	760	18.5	0	0:00:53.061758
9200	184	229	37.7	0	0:00:52.554653
9300	186	192	1.32e+02	0	0:00:53.511038
9400	188	188	1.32e+02	1	0:00:53.024152
9500	190	190	1.32e+02	1	0:00:53.582444
9600	192	199	1.32e+02	0	0:00:54.868787
9700	194	170	4.73	0	0:00:53.071095
9800	196	199	1.14e+02	0	0:00:52.966769
9900	198	196	1.26e+02	0	0:00:53.630046
10000	200	200	17.3	1	0:00:53.734337
10100	202	202	1.26e+02	1	0:00:53.489664
10200	204	204	1.32e+02	1	0:00:53.291556
10300	206	206	1.22e+02	1	0:00:54.617362
10400	208	208	1.32e+02	1	0:00:52.962757
10500	210	210	84.8	1	0:00:52.673656
10600	212	177	63.3	0	0:00:53.195523
10700	214	214	1.22e+02	1	0:00:53.570130
10800	216	216	1.12e+02	1	0:00:54.258402
10900	218	218	1.32e+02	1	0:00:54.270181
11000	220	220	81.1	1	0:00:52.437889
11100	222	245	45.8	0	0:00:53.905557
11200	224	-1	0.0	0	0:00:52.733214
11300	226	226	1.32e+02	1	0:00:54.038945
11400	228	603	6.6	0	0:00:53.660271
11500	230	230	86.2	1	0:00:52.322377
11600	232	232	1.32e+02	1	0:00:53.906240
11700	234	205	5.96	0	0:00:54.418032
11800	236	234	15.4	0	0:00:53.202173
11900	238	238	21.4	1	0:00:53.624662
12000	240	238	1.16e+02	0	0:00:53.786687
