idx	label	predict	radius	correct	time
0	0	394	17.3	0	0:00:50.491672
100	2	2	17.3	1	0:00:46.342189
200	4	395	17.3	0	0:00:47.144875
300	6	6	17.3	1	0:00:48.104972
400	8	8	17.3	1	0:00:49.622853
500	10	10	17.3	1	0:00:50.433448
600	12	-1	0.0	0	0:00:50.023732
700	14	14	17.3	1	0:00:49.753854
800	16	16	17.3	1	0:00:50.463398
900	18	18	17.3	1	0:00:50.013877
1000	20	20	17.3	1	0:00:49.899143
1100	22	21	17.3	0	0:00:50.100383
1200	24	24	17.3	1	0:00:49.671644
1300	26	26	17.3	1	0:00:50.444148
1400	28	77	17.3	0	0:00:50.031776
1500	30	30	17.3	1	0:00:50.041961
1600	32	-1	0.0	0	0:00:50.536353
1700	34	272	3.44	0	0:00:50.468340
1800	36	35	17.3	0	0:00:50.479059
1900	38	44	17.3	0	0:00:50.428091
2000	40	989	12.7	0	0:00:50.411689
2100	42	370	6.71	0	0:00:50.479557
2200	44	44	17.3	1	0:00:50.471837
2300	46	46	17.3	1	0:00:50.384921
2400	48	69	17.3	0	0:00:50.438700
2500	50	39	1.12	0	0:00:50.541130
2600	52	52	17.3	1	0:00:50.498066
2700	54	57	17.3	0	0:00:50.365439
2800	56	56	17.3	1	0:00:50.543172
2900	58	313	17.3	0	0:00:50.497134
3000	60	61	17.3	0	0:00:50.490060
3100	62	62	17.3	1	0:00:50.441210
3200	64	64	17.3	1	0:00:50.517530
3300	66	61	17.3	0	0:00:50.362722
3400	68	111	17.3	0	0:00:50.427007
3500	70	70	17.3	1	0:00:50.360992
3600	72	72	17.3	1	0:00:50.363920
3700	74	78	10.6	0	0:00:50.324996
3800	76	76	17.3	1	0:00:50.512145
3900	78	78	17.3	1	0:00:50.441641
4000	80	80	17.3	1	0:00:50.376506
4100	82	82	17.3	1	0:00:50.417490
4200	84	84	15.7	1	0:00:50.447630
4300	86	82	17.3	0	0:00:50.432091
4400	88	88	17.3	1	0:00:50.421518
4500	90	90	17.3	1	0:00:50.530155
4600	92	92	17.3	1	0:00:50.514842
4700	94	94	17.3	1	0:00:50.486482
4800	96	96	17.3	1	0:00:50.600315
4900	98	98	5.52	1	0:00:50.351420
5000	100	100	17.3	1	0:00:50.376107
5100	102	102	17.3	1	0:00:50.591559
5200	104	342	15.2	0	0:00:50.386134
5300	106	106	17.3	1	0:00:50.394791
5400	108	327	13.6	0	0:00:50.515364
5500	110	110	17.3	1	0:00:50.482611
5600	112	112	17.3	1	0:00:50.462203
5700	114	113	17.3	0	0:00:50.471657
5800	116	116	17.3	1	0:00:50.447120
5900	118	119	13.1	0	0:00:50.344291
