idx	label	predict	radius	correct	time
0	0	58	-0.706	False	0:00:31.660004
100	2	2	0.00418	True	1:09:50.432832
200	4	129	-0.479	False	0:00:31.879388
300	6	-1	inf	False	0:00:02.123640
400	8	8	-0.00511	True	2:08:56.119412
500	10	10	0.0443	True	1:09:40.036458
600	12	835	-0.21	False	0:00:32.223230
700	14	14	0.191	True	2:17:45.197680
800	16	16	0.0503	True	3:39:32.776686
900	18	97	-1.01	False	0:00:32.216078
1000	20	20	-0.00886	True	1:33:18.964055
1100	22	21	-1.05	False	0:00:02.196482
1200	24	24	0.0871	True	2:17:56.297754
1300	26	79	-1.13	False	0:00:02.724033
1400	28	76	-0.82	False	0:00:32.189623
1500	30	30	0.0581	True	3:26:54.335035
1600	32	103	-1.15	False	0:00:02.727776
1700	34	76	-1.04	False	0:00:31.967781
1800	36	35	-1.01	False	0:00:11.613107
1900	38	44	-1.12	False	0:00:02.216109
2000	40	-1	inf	False	0:00:02.135892
2100	42	48	-1.01	False	0:00:05.793653
2200	44	44	-0.00971	True	0:00:31.984225
2300	46	40	-1.0	False	0:00:11.265040
2400	48	69	-0.729	False	0:00:32.260697
2500	50	47	-0.812	False	0:00:32.178925
2600	52	329	-1.0	False	0:00:11.404171
2700	54	57	-1.01	False	0:00:06.392437
2800	56	56	-0.00816	True	4:12:43.834865
2900	58	-1	inf	False	0:00:02.122311
3000	60	61	-0.189	False	0:00:32.214558
3100	62	61	-1.14	False	0:00:02.719820
3200	64	64	-0.00296	True	0:28:43.959621
3300	66	42	-0.246	False	0:00:31.922152
3400	68	111	-1.02	False	0:00:02.723202
3500	70	70	0.0474	True	4:33:20.276228
3600	72	72	0.0554	True	2:26:53.836074
3700	74	301	-0.652	False	0:00:32.206611
3800	76	29	-0.487	False	0:00:31.921925
3900	78	78	-0.605	True	1:45:10.996769
4000	80	80	0.138	True	2:17:39.057664
4100	82	82	0.198	True	2:39:55.171396
4200	84	84	-0.669	True	0:00:32.002922
4300	86	82	-0.88	False	0:00:32.175094
4400	88	954	-1.12	False	0:00:02.739767
4500	90	90	0.0082	True	6:10:20.167219
4600	92	319	-0.507	False	0:00:31.997585
4700	94	94	0.214	True	2:31:05.525363
4800	96	96	0.0342	True	6:50:49.048530
4900	98	484	-0.422	False	0:00:32.225510
5000	100	100	0.1	True	3:26:00.811722
5100	102	102	0.0161	True	2:17:52.506714
5200	104	342	-1.12	False	0:00:32.022856
5300	106	106	0.101	True	3:06:21.199048
5400	108	470	-0.563	False	0:00:31.999499
5500	110	110	0.0408	True	3:43:04.777776
5600	112	112	-0.00931	True	1:02:12.201262
5700	114	325	-0.454	False	0:00:32.419896
5800	116	116	0.0323	True	6:50:49.304440
5900	118	118	0.03	True	2:47:19.923755
6000	120	308	-0.535	False	0:00:32.156343
6100	122	122	0.0716	True	3:30:06.919147
6200	124	766	-0.801	False	0:00:32.284262
6300	126	307	-0.938	False	0:00:31.960150
6400	128	128	0.0479	True	6:26:07.608691
6500	130	129	-1.05	False	0:00:02.120388
6600	132	132	0.0189	True	1:10:35.438262
6700	134	132	-0.386	False	0:00:32.240959
6800	136	136	0.0317	True	3:25:41.559969
6900	138	138	0.0622	True	4:30:08.910069
7000	140	140	0.107	True	2:15:16.985389
7100	142	135	-0.63	False	0:00:31.393284
7200	144	330	-0.527	False	0:00:31.553540
7300	146	99	-0.966	False	0:00:31.426197
7400	148	148	0.000576	True	3:21:44.055970
7500	150	360	-1.02	False	0:00:02.692891
7600	152	152	0.0326	True	2:22:11.791660
7700	154	186	-0.611	False	0:00:31.490106
7800	156	156	0.00351	True	2:16:27.213367
7900	158	158	-0.607	True	0:00:32.341272
8000	160	221	-0.556	False	0:00:31.997070
