idx	label	predict	radius	correct	time
0	0	58	-0.311	False	0:00:31.533300
100	2	2	0.257	True	1:15:42.205596
200	4	129	-0.408	False	0:00:35.259795
300	6	-1	inf	False	0:00:02.340087
400	8	8	-0.000285	True	1:24:53.721426
500	10	10	0.297	True	1:16:05.272430
600	12	835	-1.0	False	0:00:07.028418
700	14	14	0.23	True	1:16:10.024112
800	16	16	0.142	True	1:17:34.078633
900	18	97	-0.534	False	0:00:35.159687
1000	20	20	-0.00224	True	1:27:29.584784
1100	22	21	-1.31	False	0:00:02.344299
1200	24	24	0.126	True	1:16:11.647081
1300	26	79	-1.27	False	0:00:02.338765
1400	28	76	-0.704	False	0:00:35.358675
1500	30	30	0.158	True	2:31:23.992244
1600	32	103	-1.33	False	0:00:02.342761
1700	34	76	-0.814	False	0:00:35.352974
1800	36	35	-1.05	False	0:00:03.695940
1900	38	44	-1.38	False	0:00:02.403914
2000	40	59	-0.369	False	0:00:35.340016
2100	42	48	-1.06	False	0:00:03.019071
2200	44	44	-0.00936	True	0:57:33.910884
2300	46	40	-1.13	False	0:00:02.376426
2400	48	69	-0.348	False	0:00:35.561203
2500	50	47	-0.574	False	0:00:35.496256
2600	52	329	-1.23	False	0:00:02.360319
2700	54	57	-1.03	False	0:00:04.363126
2800	56	56	-0.0058	True	2:39:35.000684
2900	58	-1	inf	False	0:00:02.348797
3000	60	61	-0.0129	False	0:00:35.295385
3100	62	61	-1.18	False	0:00:02.359689
3200	64	64	0.124	True	2:20:47.909231
3300	66	42	-1.0	False	0:00:05.684662
3400	68	111	-1.06	False	0:00:02.342844
3500	70	70	0.078	True	2:31:13.624076
3600	72	72	0.0941	True	1:17:27.434184
3700	74	301	-0.227	False	0:00:35.241616
3800	76	29	-0.169	False	0:00:35.191494
3900	78	78	-0.0508	True	0:40:07.351106
4000	80	80	0.177	True	1:15:52.441087
4100	82	82	0.237	True	1:16:04.519761
4200	84	84	-0.186	True	0:00:35.476441
4300	86	82	-0.608	False	0:00:35.403354
4400	88	954	-1.2	False	0:00:02.376684
4500	90	90	0.0191	True	2:06:22.880756
4600	92	319	-1.0	False	0:00:06.372233
4700	94	94	0.207	True	1:15:56.203066
4800	96	96	0.0627	True	3:46:30.487993
4900	98	484	-1.0	False	0:00:04.366347
5000	100	100	0.0336	True	1:16:19.875836
5100	102	102	0.0548	True	1:16:18.344406
5200	104	342	-0.924	False	0:00:35.458354
5300	106	106	0.0784	True	1:23:06.816299
5400	108	470	-0.508	False	0:00:35.448497
5500	110	110	0.144	True	2:32:19.432700
5600	112	112	0.0783	True	1:28:23.626316
5700	114	325	-0.347	False	0:00:35.644057
5800	116	116	0.0608	True	3:47:55.160674
5900	118	118	0.0687	True	1:22:53.050289
6000	120	308	-0.256	False	0:00:35.724452
6100	122	122	0.00488	True	1:20:41.620023
6200	124	766	-0.726	False	0:00:35.687882
6300	126	307	-0.569	False	0:00:35.667017
6400	128	128	0.0784	True	2:37:29.524019
6500	130	129	-1.3	False	0:00:02.363900
6600	132	132	0.272	True	1:16:39.765181
6700	134	132	-1.0	False	0:00:09.771001
6800	136	136	0.131	True	2:32:22.025829
6900	138	138	0.0928	True	2:32:20.909788
7000	140	140	0.145	True	1:16:35.985249
7100	142	135	-0.286	False	0:00:35.839909
7200	144	330	-0.44	False	0:00:35.564532
7300	146	99	-0.907	False	0:00:35.669545
7400	148	148	0.1	True	2:32:06.254036
7500	150	360	-1.06	False	0:00:02.366741
7600	152	152	0.121	True	1:16:47.039231
7700	154	186	-0.491	False	0:00:35.691770
7800	156	156	0.0422	True	1:16:35.815213
7900	158	158	-0.412	True	0:00:35.777946
8000	160	221	-0.315	False	0:00:35.732900
8100	162	162	0.0337	True	2:33:51.070064
8200	164	217	-1.13	False	0:00:02.378342
8300	166	173	-0.18	False	0:00:35.561928
8400	168	739	-0.268	False	0:00:35.706855
8500	170	172	-1.0	False	0:00:14.568110
8600	172	246	-0.217	False	0:00:35.686686
8700	174	174	-0.135	True	0:00:35.664979
8800	176	176	0.103	True	2:32:26.097349
8900	178	178	0.156	True	1:16:33.022599
9000	180	243	-0.68	False	0:00:35.700258
9100	182	760	-1.23	False	0:00:02.381240
9200	184	229	-0.268	False	0:00:35.794490
9300	186	203	-1.01	False	0:00:05.081656
9400	188	-1	inf	False	0:00:02.380481
9500	190	190	0.25	True	1:16:26.754705
9600	192	199	-1.04	False	0:00:03.061474
9700	194	386	-0.562	False	0:00:35.826691
9800	196	199	-1.1	False	0:00:03.064834
9900	198	194	-0.104	False	0:00:35.670707
10000	200	244	-0.53	False	0:00:35.751598
10100	202	-1	inf	False	0:00:02.374221
10200	204	-1	inf	False	0:00:02.367181
10300	206	206	-0.0558	True	0:00:35.756221
10400	208	208	-0.532	True	0:00:35.704610
10500	210	220	-0.258	False	0:00:35.723759
10600	212	177	-1.01	False	0:00:03.721043
10700	214	214	-0.0135	True	0:05:52.449700
10800	216	216	-0.0144	True	1:40:14.295564
10900	218	218	0.105	True	1:16:41.210993
11000	220	220	0.129	True	1:16:34.203010
11100	222	-1	inf	False	0:00:02.371678
11200	224	267	-0.538	False	0:00:35.703991
11300	226	226	-0.000979	True	1:06:35.566028
11400	228	982	-0.14	False	0:00:35.593695
11500	230	230	0.318	True	1:16:14.759193
11600	232	232	0.0452	True	2:32:50.404753
11700	234	205	-0.206	False	0:00:35.472538
11800	236	-1	inf	False	0:00:02.365879
11900	238	241	-1.07	False	0:00:02.375991
12000	240	238	-0.0295	False	0:00:35.509097
12100	242	171	-1.04	False	0:00:04.375496
12200	244	244	0.0847	True	1:16:11.029509
12300	246	212	-0.434	False	0:00:35.537773
12400	248	248	-0.384	True	0:00:35.561782
12500	250	384	-0.514	False	0:00:35.615805
12600	252	252	-0.00223	True	0:38:54.189785
12700	254	197	-0.118	False	0:00:35.637568
12800	256	256	0.144	True	1:16:12.785891
12900	258	232	-0.199	False	0:00:35.463332
13000	260	260	-0.322	True	0:38:54.845908
13100	262	262	0.256	True	1:16:23.216679
13200	264	264	-0.0135	True	0:00:35.606711
13300	266	265	-0.244	False	0:00:35.725296
13400	268	268	-0.0133	True	0:43:44.614589
13500	270	270	0.123	True	1:16:37.568484
13600	272	274	-0.409	False	0:00:35.479236
13700	274	274	0.18	True	1:22:48.713667
13800	276	276	0.165	True	1:16:19.662413
13900	278	278	0.117	True	1:23:10.987861
14000	280	280	0.00959	True	3:42:30.539861
14100	282	282	-0.316	True	0:43:47.789555
14200	284	284	0.36	True	1:14:22.980309
14300	286	286	0.123	True	2:27:45.324507
14400	288	290	-1.06	False	0:00:02.958427
14500	290	-1	inf	False	0:00:02.301223
14600	292	290	-0.279	False	0:00:34.597345
14700	294	294	0.0847	True	2:27:47.241968
14800	296	279	-0.445	False	0:00:34.564883
14900	298	-1	inf	False	0:00:02.306331
15000	300	300	0.074	True	3:43:25.453031
15100	302	302	-0.406	True	0:00:35.683414
15200	304	319	-0.605	False	0:00:35.739988
15300	306	306	-0.34	True	0:00:35.717672
15400	308	303	-1.01	False	0:00:35.643849
15500	310	310	0.0776	True	1:16:53.515594
15600	312	51	-0.0605	False	0:00:35.719643
15700	314	304	-1.16	False	0:00:02.364152
15800	316	316	0.263	True	1:16:59.606428
15900	318	318	-0.079	True	0:00:35.693177
16000	320	320	0.414	True	1:16:45.464684
16100	322	322	0.055	True	1:17:14.657008
16200	324	324	0.0406	True	1:16:47.571259
16300	326	326	-0.1	True	2:15:28.831730
16400	328	328	0.148	True	1:16:55.563910
16500	330	343	-0.364	False	0:00:35.771616
16600	332	259	-1.29	False	0:00:02.372403
16700	334	-1	inf	False	0:00:02.365037
16800	336	336	-0.000193	True	4:00:47.822480
16900	338	617	-1.01	False	0:00:02.375795
17000	340	340	0.0069	True	5:03:11.093616
17100	342	537	-0.507	False	0:00:35.681828
17200	344	-1	inf	False	0:00:02.399176
17300	346	344	-0.55	False	0:00:35.733098
17400	348	348	0.102	True	2:14:16.241452
17500	350	350	0.106	True	2:32:39.156533
17600	352	352	-0.75	True	0:00:35.790005
17700	354	690	-0.6	False	0:00:35.760832
17800	356	278	-0.485	False	0:00:35.761179
17900	358	359	-1.33	False	0:00:02.372447
18000	360	360	-0.15	True	0:00:35.729894
18100	362	362	0.21	True	1:16:43.623669
18200	364	364	0.18	True	1:18:11.464659
18300	366	-1	inf	False	0:00:02.382633
18400	368	360	-0.36	False	0:00:35.673727
18500	370	370	0.0775	True	1:16:43.351576
18600	372	-1	inf	False	0:00:02.377949
18700	374	367	-1.01	False	0:00:04.402491
18800	376	376	0.0863	True	2:32:40.102093
18900	378	262	-0.279	False	0:00:35.771704
19000	380	365	-0.204	False	0:00:35.832800
19100	382	382	0.23	True	1:16:55.820454
19200	384	157	-0.352	False	0:00:35.762777
19300	386	101	-1.04	False	0:00:02.375227
19400	388	388	0.159	True	1:31:04.898822
19500	390	390	-0.13	True	0:00:35.746796
19600	392	828	-1.06	False	0:00:02.374628
19700	394	568	-0.0442	False	0:00:35.637103
19800	396	396	0.0203	True	2:32:41.252673
19900	398	398	-0.018	True	0:37:41.173227
20000	400	400	-0.616	True	0:00:35.668808
20100	402	990	-0.499	False	0:00:35.765947
20200	404	404	0.0585	True	1:24:28.714391
20300	406	406	-0.00305	True	1:59:37.360124
20400	408	49	-0.481	False	0:00:35.772869
20500	410	-1	inf	False	0:00:02.380909
20600	412	-1	inf	False	0:00:02.369674
20700	414	414	-0.044	True	0:54:10.174098
20800	416	416	0.413	True	1:16:38.298096
20900	418	563	-1.15	False	0:00:03.066345
21000	420	785	-1.15	False	0:00:02.381492
21100	422	594	-0.00231	False	0:00:35.699749
21200	424	454	-0.254	False	0:00:35.759764
21300	426	426	0.239	True	1:16:39.255796
21400	428	428	0.0754	True	2:32:42.704170
21500	430	-1	inf	False	0:00:02.364361
21600	432	432	0.188	True	1:32:25.900367
21700	434	452	-1.16	False	0:00:02.379995
21800	436	436	0.0926	True	2:32:28.583263
21900	438	521	-0.0625	False	0:00:35.652637
22000	440	-1	inf	False	0:00:02.366342
22100	442	442	0.181	True	1:16:43.941526
22200	444	739	-0.335	False	0:00:35.659825
22300	446	-1	inf	False	0:00:02.361596
22400	448	448	-0.0111	True	0:02:05.644846
22500	450	757	-0.0209	False	0:00:35.643752
22600	452	722	-1.02	False	0:00:05.778323
22700	454	454	-0.0121	True	0:02:09.610878
22800	456	787	-0.159	False	0:00:35.765464
22900	458	651	-0.661	False	0:00:35.677395
23000	460	976	-1.09	False	0:00:02.370322
23100	462	500	-0.221	False	0:00:35.656696
23200	464	-1	inf	False	0:00:02.379420
23300	466	466	0.0535	True	1:16:43.080757
23400	468	468	0.156	True	2:32:27.787003
23500	470	832	-1.01	False	0:00:03.042777
23600	472	472	0.165	True	2:32:26.645010
23700	474	-1	inf	False	0:00:02.379696
23800	476	476	-0.382	True	0:00:35.849634
23900	478	553	-1.29	False	0:00:02.380171
24000	480	-1	inf	False	0:00:02.369509
24100	482	509	-0.00204	False	0:00:35.684363
