idx	label	predict	radius	correct	time
0	0	394	34.6	0	0:02:41.850649
100	2	2	1.09e+02	1	0:02:39.094552
200	4	4	67.8	1	0:02:39.347599
300	6	6	1.09e+02	1	0:02:39.917809
400	8	8	1.09e+02	1	0:02:40.961727
500	10	10	87.1	1	0:02:41.907642
600	12	12	78.8	1	0:02:41.030468
700	14	14	1.09e+02	1	0:02:42.860477
800	16	16	1.09e+02	1	0:02:41.139937
900	18	18	53.0	1	0:02:41.069700
1000	20	20	1.09e+02	1	0:02:41.702885
1100	22	21	89.4	0	0:02:41.425527
1200	24	24	1.09e+02	1	0:02:41.831461
1300	26	26	49.6	1	0:02:42.067094
1400	28	28	1.09e+02	1	0:02:41.884430
1500	30	30	1.09e+02	1	0:02:41.774043
1600	32	29	10.9	0	0:02:41.147544
1700	34	34	13.7	1	0:02:41.390811
1800	36	35	41.8	0	0:02:41.276822
1900	38	38	1.09e+02	1	0:02:42.233820
2000	40	46	77.4	0	0:02:41.391790
2100	42	48	34.2	0	0:02:41.622210
2200	44	44	1.09e+02	1	0:02:40.619556
2300	46	46	64.4	1	0:02:41.340415
2400	48	48	55.6	1	0:02:41.542364
2500	50	50	1.09e+02	1	0:02:41.166006
2600	52	52	1.09e+02	1	0:02:41.621351
2700	54	57	1.09e+02	0	0:02:40.757704
2800	56	56	1.09e+02	1	0:02:41.180441
2900	58	25	6.08	0	0:02:41.770351
3000	60	62	4.71	0	0:02:41.694639
3100	62	62	1.04e+02	1	0:02:41.488583
3200	64	64	67.0	1	0:02:41.852065
3300	66	42	24.2	0	0:02:41.745678
3400	68	60	1.09e+02	0	0:02:42.379343
3500	70	70	1.09e+02	1	0:02:42.071571
3600	72	72	1.05e+02	1	0:02:41.663742
3700	74	74	1.09e+02	1	0:02:41.236705
3800	76	76	1.09e+02	1	0:02:43.023043
3900	78	78	1.04e+02	1	0:02:41.615700
4000	80	80	1.09e+02	1	0:02:41.750551
4100	82	82	1.09e+02	1	0:02:41.360938
4200	84	84	1.07e+02	1	0:02:42.107382
4300	86	86	78.1	1	0:02:41.416616
4400	88	88	1.09e+02	1	0:02:42.015010
4500	90	90	1.09e+02	1	0:02:42.081618
4600	92	92	86.4	1	0:02:40.988735
4700	94	94	1.09e+02	1	0:02:41.405611
4800	96	96	1.09e+02	1	0:02:41.768239
