idx	label	predict	radius	correct	time
0	0	394	4.84	0	0:00:43.735100
100	2	2	32.9	1	0:00:39.017930
200	4	395	31.5	0	0:00:39.233598
300	6	6	32.9	1	0:00:39.382122
400	8	8	32.9	1	0:00:39.690936
500	10	10	26.7	1	0:00:39.824325
600	12	947	4.16	0	0:00:39.954393
700	14	14	32.9	1	0:00:39.995174
800	16	16	12.3	1	0:00:40.214247
900	18	18	30.5	1	0:00:40.329639
1000	20	20	32.9	1	0:00:40.348965
1100	22	21	32.9	0	0:00:41.185042
1200	24	24	31.5	1	0:00:43.793879
1300	26	26	29.1	1	0:00:42.744046
1400	28	-1	0.0	0	0:00:42.240104
1500	30	30	32.9	1	0:00:43.275389
1600	32	26	8.95	0	0:00:41.719004
1700	34	76	13.9	0	0:00:43.728359
1800	36	35	5.95	0	0:00:42.378676
1900	38	38	25.6	1	0:00:42.039478
2000	40	989	25.0	0	0:00:41.944848
2100	42	48	0.0624	0	0:00:43.990202
2200	44	44	30.5	1	0:00:42.062330
2300	46	46	32.9	1	0:00:44.229713
2400	48	49	0.542	0	0:00:44.734316
2500	50	50	17.6	1	0:00:44.476789
2600	52	52	31.5	1	0:00:44.523378
2700	54	57	32.9	0	0:00:43.599943
2800	56	56	32.9	1	0:00:44.643962
2900	58	-1	0.0	0	0:00:44.493909
3000	60	61	4.71	0	0:00:43.884263
3100	62	62	32.9	1	0:00:45.141612
3200	64	64	23.9	1	0:00:44.708434
3300	66	54	28.6	0	0:00:44.310677
3400	68	68	4.17	1	0:00:44.067709
3500	70	70	32.9	1	0:00:45.082384
3600	72	72	32.9	1	0:00:44.496223
3700	74	78	32.9	0	0:00:44.764789
3800	76	76	30.5	1	0:00:44.529358
3900	78	78	32.9	1	0:00:44.435810
4000	80	80	32.9	1	0:00:45.917900
4100	82	82	32.9	1	0:00:48.226483
4200	84	84	7.15	1	0:00:48.115137
4300	86	86	10.4	1	0:00:47.964597
4400	88	88	16.7	1	0:00:49.958440
4500	90	90	32.9	1	0:00:48.723542
