idx	label	predict	radius	correct	time
0	0	394	0.0	0	0:00:03.845004
100	2	2	59.9	1	0:00:31.280370
200	4	4	34.0	1	0:00:10.790878
300	6	6	1e+02	1	0:01:30.931982
400	8	8	1e+02	1	0:01:33.909617
500	10	10	4.0	1	0:00:00.765740
600	12	12	24.8	1	0:00:06.169961
700	14	14	1e+02	1	0:01:36.331190
800	16	16	1e+02	1	0:01:37.694648
900	18	18	2.24	1	0:00:00.783205
1000	20	20	1e+02	1	0:01:39.097497
1100	22	21	0.0	0	0:00:00.803569
1200	24	24	1e+02	1	0:01:40.173452
1300	26	26	24.4	1	0:00:06.495154
1400	28	28	1e+02	1	0:01:40.841538
1500	30	30	1e+02	1	0:01:41.017388
1600	32	26	0.0	0	0:00:00.805682
1700	34	34	4.12	1	0:00:00.810366
1800	36	35	0.0	0	0:00:00.813276
1900	38	38	1e+02	1	0:01:40.169049
2000	40	46	0.0	0	0:00:00.805830
2100	42	48	0.0	0	0:00:00.805586
2200	44	44	1e+02	1	0:01:40.166323
2300	46	46	13.5	1	0:00:02.430625
2400	48	48	5.0	1	0:00:00.806482
2500	50	50	95.7	1	0:01:32.329722
2600	52	52	1e+02	1	0:01:40.208360
2700	54	57	0.0	0	0:00:00.810681
2800	56	56	1e+02	1	0:01:40.300160
2900	58	114	0.0	0	0:00:00.806346
3000	60	61	0.0	0	0:00:00.805096
3100	62	62	57.2	1	0:00:33.280669
3200	64	64	3.16	1	0:00:00.808423
3300	66	60	0.0	0	0:00:00.811632
3400	68	60	0.0	0	0:00:00.802398
3500	70	70	1e+02	1	0:01:40.022400
3600	72	72	64.4	1	0:00:41.440144
3700	74	74	1e+02	1	0:01:40.086380
3800	76	76	1e+02	1	0:01:40.500457
3900	78	78	92.7	1	0:01:26.544685
4000	80	80	1e+02	1	0:01:40.405474
4100	82	82	1e+02	1	0:01:40.225804
4200	84	84	59.6	1	0:00:35.774930
4300	86	86	19.7	1	0:00:04.041996
4400	88	88	1e+02	1	0:01:40.230592
4500	90	90	1e+02	1	0:01:40.523771
4600	92	92	54.3	1	0:00:30.222944
4700	94	94	1e+02	1	0:01:40.750479
4800	96	96	1e+02	1	0:01:40.086924
4900	98	98	10.2	1	0:00:01.609638
5000	100	100	1e+02	1	0:01:40.188514
5100	102	102	1e+02	1	0:01:39.956900
5200	104	104	23.0	1	0:00:05.666582
5300	106	106	1e+02	1	0:01:39.889340
5400	108	1	0.0	0	0:00:00.807530
5500	110	110	1e+02	1	0:01:40.207532
5600	112	112	1e+02	1	0:01:40.185463
5700	114	114	1.0	1	0:00:00.803466
5800	116	116	1e+02	1	0:01:40.244959
5900	118	118	1.0	1	0:00:00.810220
6000	120	119	0.0	0	0:00:00.812645
6100	122	122	1e+02	1	0:01:40.524307
6200	124	124	6.71	1	0:00:00.811303
6300	126	126	1e+02	1	0:01:40.246122
6400	128	128	31.0	1	0:00:09.730201
6500	130	130	1e+02	1	0:01:40.370098
6600	132	132	1e+02	1	0:01:40.293980
6700	134	132	0.0	0	0:00:00.805320
6800	136	136	1e+02	1	0:01:40.184825
6900	138	138	75.0	1	0:00:56.906491
7000	140	140	1e+02	1	0:01:40.129372
7100	142	142	1e+02	1	0:01:40.391496
7200	144	144	1e+02	1	0:01:40.648084
7300	146	146	8.06	1	0:00:00.812222
7400	148	148	1e+02	1	0:01:40.525844
7500	150	360	0.0	0	0:00:00.808382
7600	152	152	39.6	1	0:00:16.313848
7700	154	154	62.2	1	0:00:39.069316
7800	156	156	1e+02	1	0:01:40.420446
7900	158	158	78.5	1	0:01:02.059775
8000	160	160	1e+02	1	0:01:40.356109
8100	162	162	1e+02	1	0:01:40.280027
8200	164	164	68.7	1	0:00:47.332904
8300	166	166	3.0	1	0:00:00.813703
8400	168	211	0.0	0	0:00:00.812680
8500	170	172	0.0	0	0:00:00.806287
8600	172	172	46.6	1	0:00:21.961661
8700	174	174	10.0	1	0:00:01.623433
8800	176	176	75.2	1	0:00:57.043221
8900	178	178	1e+02	1	0:01:40.288944
9000	180	243	0.0	0	0:00:00.804366
9100	182	182	1.0	1	0:00:00.806336
9200	184	184	16.0	1	0:00:03.260430
9300	186	192	0.0	0	0:00:00.804773
9400	188	188	12.0	1	0:00:01.627031
9500	190	190	1e+02	1	0:01:40.058402
9600	192	192	75.7	1	0:00:57.859841
9700	194	192	0.0	0	0:00:00.805343
9800	196	199	0.0	0	0:00:00.814181
9900	198	198	46.6	1	0:00:21.909894
10000	200	200	1e+02	1	0:01:40.202992
10100	202	202	48.0	1	0:00:23.499727
10200	204	204	81.2	1	0:01:05.855805
10300	206	206	1e+02	1	0:01:40.135189
10400	208	208	49.9	1	0:00:25.186810
10500	210	210	1e+02	1	0:01:40.186887
10600	212	212	1e+02	1	0:01:40.203032
10700	214	214	1e+02	1	0:01:40.742987
10800	216	216	10.8	1	0:00:01.630052
10900	218	218	1e+02	1	0:01:40.744081
11000	220	220	64.7	1	0:00:42.501402
11100	222	222	80.4	1	0:01:05.093637
11200	224	233	0.0	0	0:00:00.810254
11300	226	226	1e+02	1	0:01:40.249433
11400	228	228	1e+02	1	0:01:40.319570
11500	230	230	1e+02	1	0:01:40.383846
11600	232	232	1e+02	1	0:01:40.033608
11700	234	234	1e+02	1	0:01:40.138410
11800	236	234	0.0	0	0:00:00.805176
11900	238	238	33.7	1	0:00:11.352409
12000	240	238	0.0	0	0:00:00.804237
12100	242	242	51.4	1	0:00:26.795785
12200	244	244	1e+02	1	0:01:40.147613
12300	246	251	0.0	0	0:00:00.805324
12400	248	250	0.0	0	0:00:00.796301
12500	250	257	0.0	0	0:00:00.805402
12600	252	252	65.5	1	0:00:43.054335
12700	254	254	79.0	1	0:01:02.652511
12800	256	256	1e+02	1	0:01:40.058332
12900	258	258	13.6	1	0:00:02.419903
13000	260	260	6.4	1	0:00:00.804588
13100	262	262	1e+02	1	0:01:40.216464
13200	264	264	1e+02	1	0:01:39.903170
13300	266	266	21.1	1	0:00:04.854226
13400	268	268	1e+02	1	0:01:40.407323
13500	270	270	1e+02	1	0:01:40.152880
13600	272	274	0.0	0	0:00:00.805939
13700	274	274	1e+02	1	0:01:40.320708
13800	276	276	1e+02	1	0:01:39.849593
13900	278	278	2.83	1	0:00:00.803691
14000	280	280	1e+02	1	0:01:40.058274
14100	282	282	69.0	1	0:00:47.935145
14200	284	284	1e+02	1	0:01:40.672129
14300	286	286	1e+02	1	0:01:40.820149
14400	288	290	0.0	0	0:00:00.805968
14500	290	290	1e+02	1	0:01:40.523230
14600	292	288	0.0	0	0:00:00.806023
14700	294	294	1e+02	1	0:01:40.880519
14800	296	296	60.0	1	0:00:36.699616
14900	298	138	0.0	0	0:00:00.804721
15000	300	300	1e+02	1	0:01:40.666062
15100	302	302	42.8	1	0:00:18.739565
15200	304	301	0.0	0	0:00:00.819027
15300	306	306	1e+02	1	0:01:40.765348
15400	308	308	1e+02	1	0:01:40.107222
15500	310	310	1e+02	1	0:01:40.927030
15600	312	312	58.6	1	0:00:35.280060
15700	314	314	1e+02	1	0:01:40.788950
15800	316	316	1e+02	1	0:01:40.894118
15900	318	318	1e+02	1	0:01:41.031089
16000	320	320	1e+02	1	0:01:41.092643
16100	322	322	11.0	1	0:00:01.622082
16200	324	324	1e+02	1	0:01:41.304460
16300	326	326	1e+02	1	0:01:40.791240
16400	328	328	1e+02	1	0:01:40.245662
16500	330	330	1e+02	1	0:01:40.456726
16600	332	332	1.0	1	0:00:00.810119
16700	334	334	1e+02	1	0:01:40.663994
16800	336	336	94.6	1	0:01:29.696535
16900	338	617	0.0	0	0:00:00.812067
17000	340	340	1e+02	1	0:01:40.264917
17100	342	276	0.0	0	0:00:00.810196
17200	344	344	87.2	1	0:01:16.430343
17300	346	346	29.1	1	0:00:08.915710
17400	348	348	45.1	1	0:00:20.316218
17500	350	350	1e+02	1	0:01:40.700477
17600	352	352	1e+02	1	0:01:40.247814
17700	354	354	93.1	1	0:01:27.056677
17800	356	191	0.0	0	0:00:00.807134
17900	358	359	0.0	0	0:00:00.806836
