idx	label	predict	radius	correct	time
0	0	58	-0.843	False	0:00:33.735045
100	2	2	-0.0138	True	0:00:28.197036
200	4	129	-1.07	False	0:00:02.445118
300	6	6	-0.824	True	0:00:28.660641
400	8	8	-0.81	True	0:00:29.207215
500	10	10	0.397	True	0:47:33.258311
600	12	-1	-inf	False	0:00:02.671899
700	14	14	-0.475	True	0:00:31.272196
800	16	16	0.258	True	0:48:26.287659
900	18	18	-0.611	True	0:00:31.436731
1000	20	20	0.022	True	1:08:34.358857
1100	22	21	-1.14	False	0:00:02.688243
1200	24	24	0.0941	True	0:47:54.237004
1300	26	26	-0.468	True	0:00:31.440766
1400	28	-1	-inf	False	0:00:02.688310
1500	30	30	-0.0311	True	0:00:31.404935
1600	32	103	-1.07	False	0:00:02.690332
1700	34	39	-0.819	False	0:00:31.439166
1800	36	35	-1.06	False	0:00:03.884932
1900	38	44	-0.353	False	0:00:31.402043
2000	40	90	-1.59	False	0:00:02.690373
2100	42	48	-0.116	False	0:00:31.438939
2200	44	44	0.129	True	1:35:46.752026
2300	46	40	-1.33	False	0:00:02.686999
2400	48	-1	-inf	False	0:00:02.692065
2500	50	50	-0.843	True	0:00:31.399531
2600	52	114	-1.38	False	0:00:02.688034
2700	54	57	-1.01	False	0:00:09.872723
2800	56	56	0.0117	True	4:47:55.174454
2900	58	114	-0.89	False	0:00:31.469665
3000	60	62	-1.2	False	0:00:31.450260
3100	62	61	-1.14	False	0:00:02.690065
3200	64	59	-0.697	False	0:00:31.456152
3300	66	42	-0.537	False	0:00:31.473746
3400	68	111	-1.11	False	0:00:03.886024
3500	70	70	0.148	True	1:36:01.300142
3600	72	72	0.129	True	0:48:10.898626
3700	74	-1	-inf	False	0:00:02.715162
3800	76	306	-1.06	False	0:00:03.899186
3900	78	78	-0.572	True	0:00:31.408480
4000	80	80	0.132	True	0:48:06.146840
4100	82	82	-0.043	True	0:00:31.427865
4200	84	84	-0.957	True	0:00:31.470641
4300	86	86	-1.01	True	0:00:31.506112
4400	88	-1	-inf	False	0:00:02.697340
4500	90	90	0.156	True	1:36:46.690487
4600	92	92	-0.17	True	0:01:45.917633
4700	94	92	-0.0719	False	0:00:31.454882
4800	96	96	0.022	True	5:36:38.068649
4900	98	98	-0.476	True	0:18:04.473912
5000	100	100	0.138	True	1:36:16.990191
5100	102	102	-0.451	True	0:00:31.468327
5200	104	104	-1.31	True	0:00:31.535168
5300	106	106	0.143	True	1:37:53.379152
5400	108	470	-0.582	False	0:00:31.558537
5500	110	110	-0.00468	True	0:49:24.226216
5600	112	112	-0.641	True	0:00:31.458150
5700	114	113	-0.457	False	0:00:31.438243
5800	116	116	0.0314	True	4:00:53.797206
5900	118	118	-8.08e-05	True	0:14:03.691886
6000	120	316	-1.79	False	0:00:02.692936
6100	122	122	-0.0788	True	0:00:31.451645
6200	124	766	-0.906	False	0:00:31.479718
6300	126	305	-1.15	False	0:00:31.477329
