idx	label	predict	radius	correct	time
0	0	394	-0.656	False	0:00:31.981333
100	2	2	0.0795	True	0:28:51.491661
200	4	130	-0.429	False	0:00:32.959019
300	6	6	0.0346	True	0:47:49.147156
400	8	8	-0.0024	True	0:37:54.133567
500	10	10	0.12	True	0:23:17.518124
600	12	879	-0.637	False	0:00:32.948271
700	14	14	0.0524	True	0:23:18.457622
800	16	16	0.074	True	0:23:20.591334
900	18	-1	inf	False	0:00:02.186318
1000	20	-1	inf	False	0:00:02.183572
1100	22	21	-1.06	False	0:00:02.185706
1200	24	24	0.157	True	0:46:36.616980
1300	26	79	-1.14	False	0:00:02.189243
1400	28	76	-0.77	False	0:00:33.002510
1500	30	30	0.0461	True	0:53:29.283763
1600	32	103	-1.0	False	0:00:22.258069
1700	34	-1	inf	False	0:00:02.193543
1800	36	35	-1.08	False	0:00:03.437524
1900	38	44	-1.2	False	0:00:02.191194
2000	40	-1	inf	False	0:00:02.189830
2100	42	48	-0.382	False	0:00:32.968901
2200	44	44	0.0574	True	0:46:49.172139
2300	46	40	-1.15	False	0:00:02.192488
2400	48	640	-0.679	False	0:00:32.980955
2500	50	39	-1.01	False	0:00:03.438947
2600	52	329	-0.0533	False	0:00:32.733641
2700	54	57	-1.01	False	0:00:05.310645
2800	56	56	0.0255	True	2:19:44.429179
2900	58	25	-0.762	False	0:00:32.926682
3000	60	61	-1.02	False	0:00:05.929849
3100	62	61	-1.0	False	0:00:02.188845
3200	64	64	0.201	True	0:46:28.767438
3300	66	42	-0.504	False	0:00:32.818421
3400	68	111	-1.09	False	0:00:02.815774
3500	70	70	0.0462	True	1:09:52.668821
3600	72	72	0.125	True	0:46:43.100766
3700	74	78	-1.04	False	0:00:03.436802
3800	76	306	-1.16	False	0:00:02.816187
3900	78	78	0.0214	True	1:03:58.691264
4000	80	80	0.208	True	0:46:45.252643
4100	82	82	0.217	True	0:46:57.263845
4200	84	108	-0.742	False	0:00:33.004623
4300	86	86	-0.298	True	1:45:12.778686
4400	88	954	-0.514	False	0:00:33.011584
4500	90	90	-0.428	True	0:00:32.976526
4600	92	319	-0.285	False	0:00:33.007976
4700	94	94	0.075	True	0:23:20.245605
4800	96	96	0.0101	True	1:33:15.036193
4900	98	718	-0.176	False	0:00:32.803692
5000	100	100	0.0645	True	0:46:38.543209
5100	102	102	-0.0059	True	0:58:04.654060
5200	104	104	-1.07	True	0:00:33.147590
5300	106	106	0.109	True	0:46:48.577622
5400	108	470	-0.513	False	0:00:33.044312
5500	110	110	-0.00956	True	0:47:18.850975
5600	112	112	-0.559	True	0:00:33.573197
5700	114	113	-0.404	False	0:00:33.550582
5800	116	116	0.0082	True	1:34:50.285352
5900	118	118	-0.649	True	0:00:33.628986
6000	120	316	-0.0932	False	0:00:33.737440
6100	122	122	0.0358	True	0:50:06.279493
6200	124	123	-0.751	False	0:00:33.812560
6300	126	126	-0.888	True	0:00:34.112617
6400	128	128	0.0466	True	1:13:30.103276
6500	130	129	-0.413	False	0:00:33.635339
6600	132	132	0.0942	True	0:25:38.391031
6700	134	132	-0.512	False	0:00:33.872086
6800	136	136	0.0994	True	1:13:29.476571
6900	138	138	-0.00523	True	0:37:25.468405
7000	140	140	0.176	True	0:49:34.078061
7100	142	133	-0.58	False	0:00:33.894711
7200	144	144	-0.477	True	0:00:33.968911
7300	146	99	-0.916	False	0:00:34.097947
7400	148	148	0.0684	True	1:12:00.069560
7500	150	360	-1.04	False	0:00:02.870347
7600	152	152	-0.082	True	0:30:36.901764
7700	154	154	-0.561	True	0:00:33.459673
7800	156	156	0.0732	True	0:47:24.791179
7900	158	-1	inf	False	0:00:02.240271
8000	160	160	0.0346	True	0:26:40.056337
8100	162	162	-0.78	True	0:00:33.734150
8200	164	217	-0.342	False	0:00:33.765263
8300	166	162	-0.0471	False	0:00:33.948310
8400	168	739	-0.539	False	0:00:33.810158
8500	170	246	-0.457	False	0:00:33.784036
8600	172	246	-1.0	False	0:00:09.301996
8700	174	174	-0.00977	True	0:38:31.835112
