idx	label	predict	radius	correct	time
0	0	394	8.4	0	0:03:05.885802
100	2	2	36.4	1	0:03:01.540993
200	4	4	35.6	1	0:03:01.915320
300	6	6	36.4	1	0:03:01.575595
400	8	8	36.4	1	0:03:01.181290
500	10	10	36.4	1	0:03:00.624672
600	12	12	16.1	1	0:03:00.664944
700	14	14	36.4	1	0:03:01.045118
800	16	16	36.4	1	0:03:01.299470
900	18	18	10.5	1	0:03:00.345701
1000	20	20	36.4	1	0:03:00.678210
1100	22	23	2.9	0	0:03:01.397431
1200	24	24	36.4	1	0:03:01.747543
1300	26	26	24.0	1	0:03:01.857550
1400	28	28	26.4	1	0:03:01.591639
1500	30	30	36.4	1	0:03:02.427579
1600	32	26	29.7	0	0:03:00.739407
1700	34	34	8.75	1	0:03:01.645968
1800	36	35	26.4	0	0:03:01.210817
1900	38	38	36.4	1	0:03:01.007910
2000	40	46	4.12	0	0:03:01.315196
2100	42	43	14.8	0	0:03:01.515074
2200	44	44	36.4	1	0:03:02.168098
2300	46	40	36.4	0	0:03:02.225203
2400	48	48	11.6	1	0:03:01.542934
2500	50	50	36.4	1	0:03:01.556918
2600	52	52	36.4	1	0:03:00.651948
2700	54	57	36.4	0	0:03:01.224725
2800	56	56	29.7	1	0:03:01.744340
2900	58	58	9.37	1	0:03:02.270575
3000	60	-1	0.0	0	0:03:00.741882
3100	62	62	36.4	1	0:03:00.690025
3200	64	64	36.4	1	0:03:01.158414
3300	66	60	5.81	0	0:03:01.978210
3400	68	60	36.4	0	0:03:01.315045
3500	70	70	36.4	1	0:03:01.216436
3600	72	72	36.4	1	0:03:02.034713
3700	74	74	12.1	1	0:03:02.646005
3800	76	76	36.4	1	0:03:02.036443
3900	78	78	36.4	1	0:03:02.185433
4000	80	80	36.4	1	0:03:01.890377
4100	82	82	36.4	1	0:03:01.715975
4200	84	84	31.1	1	0:03:01.375287
4300	86	86	35.1	1	0:03:01.472094
4400	88	88	36.4	1	0:03:01.687894
4500	90	90	36.4	1	0:03:01.248167
4600	92	92	36.4	1	0:03:01.929841
4700	94	94	36.4	1	0:03:01.935491
4800	96	96	36.4	1	0:03:01.803270
4900	98	98	24.5	1	0:03:01.884885
5000	100	100	36.4	1	0:03:01.681982
5100	102	102	36.4	1	0:03:01.425465
5200	104	104	21.7	1	0:03:01.202140
5300	106	106	36.4	1	0:03:02.115516
5400	108	327	19.1	0	0:03:01.421258
5500	110	110	36.4	1	0:03:01.719439
5600	112	112	36.4	1	0:03:01.409273
5700	114	114	14.4	1	0:03:02.407684
5800	116	116	36.4	1	0:03:02.257451
5900	118	118	11.3	1	0:03:02.731280
6000	120	-1	0.0	0	0:03:01.837207
6100	122	122	36.4	1	0:03:02.597069
6200	124	124	8.0	1	0:03:01.944867
6300	126	126	34.1	1	0:03:02.110751
6400	128	128	28.1	1	0:03:01.706039
6500	130	130	36.4	1	0:03:01.474208
6600	132	132	36.4	1	0:03:00.440207
6700	134	975	16.4	0	0:03:00.525165
6800	136	136	36.4	1	0:03:01.544064
6900	138	138	0.618	1	0:03:00.642530
7000	140	140	36.4	1	0:03:02.626510
7100	142	142	36.4	1	0:03:02.101890
7200	144	144	35.6	1	0:03:01.774506
7300	146	146	23.4	1	0:03:01.252337
7400	148	148	36.4	1	0:03:01.177775
7500	150	36	14.6	0	0:03:01.675472
7600	152	152	36.4	1	0:03:01.317722
7700	154	154	28.0	1	0:03:01.906485
7800	156	156	36.4	1	0:03:02.190599
7900	158	158	35.6	1	0:03:02.076145
8000	160	160	36.4	1	0:03:01.588132
8100	162	162	36.4	1	0:03:01.718722
8200	164	164	36.4	1	0:03:01.352410
8300	166	166	34.1	1	0:03:02.419386
8400	168	184	2.27	0	0:03:02.082915
8500	170	172	15.2	0	0:03:01.349229
8600	172	172	18.9	1	0:03:02.053943
8700	174	174	32.5	1	0:03:01.539783
8800	176	176	31.9	1	0:03:01.894578
8900	178	178	36.4	1	0:03:01.982751
9000	180	243	29.4	0	0:03:00.801634
9100	182	182	9.03	1	0:03:02.081110
9200	184	-1	0.0	0	0:03:02.463367
9300	186	192	36.4	0	0:03:02.230200
9400	188	188	11.8	1	0:03:01.614569
9500	190	190	36.4	1	0:03:00.732832
9600	192	192	22.4	1	0:03:02.088635
9700	194	-1	0.0	0	0:03:01.616019
9800	196	199	35.6	0	0:03:01.470318
9900	198	198	36.4	1	0:03:02.146920
10000	200	200	36.4	1	0:03:01.456488
10100	202	202	36.4	1	0:03:01.583859
10200	204	204	36.4	1	0:03:02.539392
10300	206	206	36.4	1	0:03:01.594774
10400	208	208	21.2	1	0:03:01.779282
10500	210	210	36.4	1	0:03:02.137966
10600	212	212	34.4	1	0:03:01.478729
10700	214	214	36.4	1	0:03:02.303847
10800	216	216	36.4	1	0:03:02.402131
10900	218	218	36.4	1	0:03:01.776890
11000	220	220	36.4	1	0:03:01.934212
11100	222	222	23.2	1	0:03:01.394714
11200	224	255	5.77	0	0:03:02.340689
11300	226	226	36.4	1	0:03:02.765563
11400	228	228	36.4	1	0:03:01.580027
11500	230	230	10.1	1	0:03:01.924702
11600	232	232	36.4	1	0:03:02.369075
11700	234	234	36.4	1	0:03:01.855776
11800	236	234	1.55	0	0:03:02.185401
11900	238	238	36.4	1	0:03:01.956301
12000	240	238	36.4	0	0:03:00.647741
12100	242	242	36.4	1	0:03:01.908018
12200	244	244	36.4	1	0:03:01.053134
12300	246	251	2.57	0	0:03:01.175681
12400	248	248	20.6	1	0:03:02.013074
12500	250	169	0.928	0	0:03:01.632290
12600	252	252	36.4	1	0:03:01.665488
12700	254	254	36.4	1	0:03:01.589755
12800	256	256	36.4	1	0:03:02.057523
12900	258	258	17.7	1	0:03:01.811787
13000	260	260	36.4	1	0:03:01.459962
13100	262	262	36.4	1	0:03:01.419910
13200	264	264	36.4	1	0:03:00.066156
13300	266	266	30.1	1	0:03:00.701011
13400	268	268	36.4	1	0:03:02.134931
13500	270	270	36.4	1	0:03:01.690573
13600	272	274	36.4	0	0:03:01.429961
13700	274	274	36.4	1	0:03:02.837783
13800	276	276	36.4	1	0:03:01.487271
13900	278	278	27.3	1	0:03:01.825153
14000	280	280	36.4	1	0:03:01.696037
14100	282	282	36.4	1	0:03:01.683843
14200	284	284	36.4	1	0:03:01.915958
14300	286	286	36.4	1	0:03:02.586170
14400	288	290	21.8	0	0:03:02.150308
14500	290	290	36.4	1	0:03:01.299758
14600	292	290	36.4	0	0:03:01.397045
14700	294	294	36.4	1	0:03:01.888124
14800	296	296	36.4	1	0:03:02.244106
14900	298	298	1.6	1	0:03:02.434003
15000	300	300	36.4	1	0:03:02.126277
15100	302	302	17.9	1	0:03:01.092851
15200	304	301	36.4	0	0:03:02.677505
15300	306	306	36.4	1	0:03:01.368544
15400	308	308	29.3	1	0:03:00.446163
15500	310	310	36.4	1	0:03:02.227638
15600	312	312	13.2	1	0:03:02.495673
15700	314	314	36.4	1	0:03:00.969761
15800	316	316	36.4	1	0:03:01.233013
15900	318	318	27.1	1	0:03:01.488119
16000	320	320	36.4	1	0:03:01.392743
16100	322	322	30.0	1	0:03:01.438744
16200	324	324	36.4	1	0:03:02.607363
16300	326	326	2.06	1	0:03:01.703094
16400	328	328	36.4	1	0:03:00.960722
16500	330	330	14.0	1	0:03:01.808371
16600	332	332	34.4	1	0:03:01.239914
16700	334	334	36.4	1	0:03:02.096875
16800	336	336	20.5	1	0:03:01.862509
16900	338	617	30.4	0	0:03:02.905620
17000	340	340	36.4	1	0:03:00.996093
17100	342	269	7.29	0	0:03:02.170352
17200	344	344	36.4	1	0:03:01.730961
17300	346	346	6.59	1	0:03:01.406260
17400	348	348	31.6	1	0:03:01.884699
17500	350	350	36.4	1	0:03:01.929713
17600	352	352	36.4	1	0:03:01.425555
17700	354	354	36.4	1	0:03:01.353072
17800	356	358	10.1	0	0:03:01.900002
17900	358	358	8.09	1	0:03:02.695078
18000	360	360	36.4	1	0:03:01.537252
18100	362	362	36.4	1	0:03:01.089303
18200	364	364	36.4	1	0:03:01.219837
18300	366	366	34.4	1	0:03:02.377413
18400	368	368	36.4	1	0:03:02.613007
18500	370	370	36.4	1	0:03:01.386595
18600	372	372	17.6	1	0:03:01.867314
18700	374	374	4.6	1	0:03:01.961633
18800	376	376	15.7	1	0:03:02.306103
18900	378	378	23.8	1	0:03:02.531370
19000	380	380	36.4	1	0:03:02.430430
19100	382	382	36.4	1	0:03:01.059727
19200	384	384	26.1	1	0:03:01.594324
19300	386	101	16.3	0	0:03:01.875825
19400	388	388	15.8	1	0:03:01.723205
19500	390	390	36.4	1	0:03:02.200010
19600	392	115	3.44	0	0:03:02.049530
19700	394	-1	0.0	0	0:03:01.812788
19800	396	396	36.4	1	0:03:01.979450
19900	398	398	23.4	1	0:03:02.308028
20000	400	400	8.41	1	0:03:01.271623
20100	402	402	22.0	1	0:03:01.200123
20200	404	404	31.9	1	0:03:01.472587
20300	406	406	36.4	1	0:03:01.881406
20400	408	847	6.2	0	0:03:01.962098
20500	410	410	7.2	1	0:03:02.444272
20600	412	412	13.4	1	0:03:01.427922
20700	414	414	4.85	1	0:03:02.401443
20800	416	416	36.4	1	0:03:02.166253
20900	418	767	36.4	0	0:03:01.707267
21000	420	-1	0.0	0	0:03:02.131117
21100	422	422	30.2	1	0:03:02.394135
21200	424	424	18.7	1	0:03:02.039189
21300	426	426	36.4	1	0:03:01.680158
21400	428	428	36.4	1	0:03:02.039590
21500	430	430	36.4	1	0:03:02.127036
21600	432	432	36.4	1	0:03:00.685661
21700	434	434	19.0	1	0:03:01.787632
21800	436	436	36.4	1	0:03:01.495157
21900	438	647	19.0	0	0:03:02.359936
22000	440	737	24.8	0	0:03:01.459230
22100	442	442	36.4	1	0:03:00.976735
22200	444	870	4.4	0	0:03:01.855746
22300	446	446	36.4	1	0:03:01.953535
22400	448	-1	0.0	0	0:03:01.862975
22500	450	802	4.77	0	0:03:01.129277
22600	452	452	36.4	1	0:03:02.933402
22700	454	454	5.06	1	0:03:01.628275
22800	456	456	16.0	1	0:03:01.854610
22900	458	458	36.4	1	0:03:01.442300
23000	460	978	21.5	0	0:03:02.518654
23100	462	462	36.4	1	0:03:01.691410
23200	464	635	15.2	0	0:03:00.684006
23300	466	466	36.4	1	0:03:01.400971
23400	468	468	36.4	1	0:03:02.596529
23500	470	919	0.228	0	0:03:01.518568
23600	472	472	36.4	1	0:03:00.990779
23700	474	735	6.19	0	0:03:03.108436
23800	476	476	36.4	1	0:03:03.197904
23900	478	478	36.4	1	0:03:01.777637
24000	480	582	11.6	0	0:03:02.591042
24100	482	481	25.0	0	0:03:01.676547
24200	484	484	23.2	1	0:03:02.131055
24300	486	889	5.21	0	0:03:02.140612
24400	488	488	20.1	1	0:03:03.147228
24500	490	490	36.4	1	0:03:01.027428
24600	492	642	5.32	0	0:03:01.890395
24700	494	729	2.31	0	0:03:01.623726
24800	496	496	36.4	1	0:03:01.788368
24900	498	498	35.6	1	0:03:01.651697
25000	500	500	36.4	1	0:03:02.165930
25100	502	502	36.4	1	0:03:01.898193
25200	504	504	16.9	1	0:03:02.357075
25300	506	506	6.69	1	0:03:02.221844
25400	508	508	36.4	1	0:03:01.756593
25500	510	510	36.4	1	0:03:02.100408
25600	512	764	6.51	0	0:03:02.456926
25700	514	514	36.4	1	0:03:01.339351
25800	516	520	8.51	0	0:03:01.419270
25900	518	518	36.4	1	0:03:00.982017
26000	520	520	36.4	1	0:03:02.190296
26100	522	522	27.4	1	0:03:02.208838
26200	524	461	24.8	0	0:03:01.597290
26300	526	664	7.6	0	0:03:01.788341
26400	528	532	29.6	0	0:03:02.004913
26500	530	531	2.13	0	0:03:01.607671
26600	532	532	36.4	1	0:03:01.630906
26700	534	697	5.02	0	0:03:02.156527
26800	536	536	10.4	1	0:03:01.720082
26900	538	538	36.4	1	0:03:01.328316
27000	540	540	36.4	1	0:03:01.273894
27100	542	477	8.8	0	0:03:02.163233
27200	544	909	1.18	0	0:03:02.883903
27300	546	546	36.4	1	0:03:01.822511
27400	548	548	36.4	1	0:03:02.041941
27500	550	505	3.05	0	0:03:02.101568
27600	552	552	36.4	1	0:03:01.553627
27700	554	554	36.4	1	0:03:01.736602
27800	556	703	5.49	0	0:03:01.428800
27900	558	251	36.4	0	0:03:02.046451
28000	560	560	35.1	1	0:03:01.689257
28100	562	562	36.4	1	0:03:02.582453
28200	564	564	34.7	1	0:03:02.243706
