idx	label	predict	radius	correct	time
0	7	7	1.46	1	0:00:08.041555
20	9	9	1.46	1	0:00:07.507115
40	1	1	1.46	1	0:00:07.507110
60	7	7	1.46	1	0:00:07.535847
80	7	7	1.46	1	0:00:07.503755
100	6	6	1.46	1	0:00:08.953175
120	5	5	1.46	1	0:00:11.602898
140	6	6	1.46	1	0:00:11.661642
160	4	4	1.46	1	0:00:11.633327
180	1	1	1.46	1	0:00:11.647887
200	3	3	1.46	1	0:00:11.654389
220	7	7	1.46	1	0:00:11.662413
240	5	5	1.46	1	0:00:11.750038
260	8	8	1.46	1	0:00:11.664724
280	2	2	1.46	1	0:00:11.665963
300	4	4	1.46	1	0:00:11.672028
320	9	9	1.46	1	0:00:11.649241
340	5	3	0.803	0	0:00:11.689747
360	4	4	1.46	1	0:00:11.658139
380	0	0	1.46	1	0:00:11.662543
400	2	2	1.46	1	0:00:11.751637
420	4	4	1.46	1	0:00:11.782208
440	0	0	1.46	1	0:00:11.773898
460	5	5	1.46	1	0:00:11.773832
480	1	1	1.46	1	0:00:11.775798
500	3	3	1.46	1	0:00:11.717578
520	8	8	1.46	1	0:00:11.656184
540	5	5	1.46	1	0:00:11.694744
560	9	9	1.46	1	0:00:11.706451
580	8	8	1.46	1	0:00:11.725784
600	6	6	1.46	1	0:00:11.700302
620	0	0	1.46	1	0:00:11.675759
640	1	1	1.46	1	0:00:11.700586
660	4	4	1.46	1	0:00:11.730711
680	6	6	1.46	1	0:00:11.749539
700	1	1	1.46	1	0:00:11.695240
720	5	5	0.972	1	0:00:11.721589
740	4	9	1.46	0	0:00:11.757711
760	4	4	1.46	1	0:00:11.674373
780	3	3	1.46	1	0:00:11.725434
800	8	8	1.46	1	0:00:11.672281
820	6	6	1.46	1	0:00:11.701548
840	1	1	1.46	1	0:00:11.696025
860	6	6	1.46	1	0:00:11.764827
880	7	7	1.46	1	0:00:11.767025
900	1	1	1.46	1	0:00:11.746080
920	1	1	1.46	1	0:00:11.736575
940	6	6	1.46	1	0:00:11.757763
960	7	7	1.46	1	0:00:11.727369
980	2	2	1.46	1	0:00:11.782878
1000	9	9	1.46	1	0:00:11.767290
1020	3	3	1.46	1	0:00:11.754675
1040	1	1	1.46	1	0:00:11.753999
1060	4	4	1.46	1	0:00:11.749174
1080	4	4	1.46	1	0:00:11.729797
1100	7	7	1.46	1	0:00:11.726082
1120	8	8	1.46	1	0:00:11.745448
1140	4	4	1.46	1	0:00:11.754236
1160	4	4	1.46	1	0:00:11.770215
1180	1	1	1.46	1	0:00:11.757100
1200	8	8	1.46	1	0:00:11.738965
1220	0	0	1.46	1	0:00:11.799597
1240	1	1	1.46	1	0:00:11.778072
1260	7	-1	0.0	0	0:00:11.757712
1280	1	1	1.46	1	0:00:11.769308
1300	4	4	1.46	1	0:00:11.783098
1320	8	8	1.46	1	0:00:11.751454
1340	5	5	1.46	1	0:00:11.758706
1360	1	1	1.46	1	0:00:11.772459
1380	9	9	1.46	1	0:00:11.760167
1400	6	6	1.46	1	0:00:11.860776
1420	6	6	1.46	1	0:00:11.737377
1440	4	4	1.46	1	0:00:11.821881
1460	5	5	1.46	1	0:00:11.769229
1480	3	3	1.46	1	0:00:11.797035
1500	7	7	1.46	1	0:00:11.981998
1520	7	7	1.46	1	0:00:11.766370
1540	7	7	1.46	1	0:00:11.959358
1560	8	8	1.46	1	0:00:11.868493
1580	4	4	1.46	1	0:00:11.690566
1600	3	3	1.46	1	0:00:11.953428
1620	2	2	1.46	1	0:00:09.546157
1640	9	9	1.46	1	0:00:09.478449
1660	7	7	1.46	1	0:00:09.495347
1680	4	4	1.46	1	0:00:09.525324
1700	0	0	1.46	1	0:00:09.486904
1720	4	4	1.46	1	0:00:09.514512
1740	8	8	1.46	1	0:00:09.525689
1760	1	1	1.46	1	0:00:09.527292
1780	1	1	1.46	1	0:00:09.547023
1800	6	6	1.46	1	0:00:09.587021
1820	1	1	1.46	1	0:00:09.490922
1840	3	3	1.46	1	0:00:09.482105
1860	5	5	1.46	1	0:00:09.514062
1880	6	6	1.46	1	0:00:09.515409
1900	1	1	1.46	1	0:00:09.506683
1920	4	4	1.46	1	0:00:09.532490
1940	5	5	1.46	1	0:00:09.554611
1960	8	8	1.46	1	0:00:09.529768
1980	4	4	1.46	1	0:00:09.495324
2000	6	6	1.46	1	0:00:09.530079
2020	3	3	1.46	1	0:00:09.495666
2040	5	5	1.46	1	0:00:09.515257
2060	0	0	1.46	1	0:00:09.533262
2080	3	3	1.46	1	0:00:09.549887
2100	5	5	1.46	1	0:00:09.561539
2120	4	4	1.46	1	0:00:09.540552
2140	6	6	1.46	1	0:00:09.524740
2160	6	6	1.46	1	0:00:09.539895
2180	5	5	1.46	1	0:00:09.542305
2200	2	2	1.46	1	0:00:09.574614
2220	7	7	1.46	1	0:00:09.524507
2240	7	7	1.46	1	0:00:09.526789
2260	2	2	1.46	1	0:00:09.527782
2280	3	-1	0.0	0	0:00:09.549835
2300	3	3	1.46	1	0:00:09.507277
2320	9	9	1.46	1	0:00:09.505152
2340	4	4	1.46	1	0:00:09.477262
2360	6	6	1.46	1	0:00:09.513901
2380	9	9	1.46	1	0:00:09.466462
2400	5	5	1.46	1	0:00:09.527366
2420	9	9	1.46	1	0:00:09.528734
2440	4	4	1.46	1	0:00:09.469613
2460	5	5	1.46	1	0:00:09.501050
2480	7	7	1.46	1	0:00:09.519195
2500	2	2	1.46	1	0:00:09.525883
2520	8	8	1.46	1	0:00:09.539170
