idx	label	predict	radius	correct	time
0	7	7	0.731	1	0:00:07.178640
20	9	9	0.731	1	0:00:06.830951
40	1	1	0.731	1	0:00:06.822352
60	7	7	0.731	1	0:00:06.830910
80	7	7	0.731	1	0:00:06.828426
100	6	6	0.731	1	0:00:06.892253
120	5	5	0.731	1	0:00:08.294122
140	6	6	0.731	1	0:00:08.583639
160	4	4	0.731	1	0:00:08.723789
180	1	1	0.731	1	0:00:08.609905
200	3	3	0.731	1	0:00:08.546658
220	7	7	0.731	1	0:00:08.566064
240	5	5	0.731	1	0:00:08.553256
260	8	8	0.731	1	0:00:08.643737
280	2	2	0.731	1	0:00:08.616165
300	4	4	0.731	1	0:00:08.720018
320	9	9	0.731	1	0:00:08.618765
340	5	3	0.411	0	0:00:08.678216
360	4	4	0.731	1	0:00:08.634598
380	0	0	0.731	1	0:00:08.615053
400	2	2	0.731	1	0:00:08.608412
420	4	4	0.731	1	0:00:08.660091
440	0	0	0.731	1	0:00:08.661296
460	5	5	0.731	1	0:00:08.639858
480	1	1	0.731	1	0:00:08.607854
500	3	3	0.731	1	0:00:08.673951
520	8	8	0.731	1	0:00:08.997434
540	5	5	0.731	1	0:00:09.823774
560	9	9	0.731	1	0:00:09.090574
580	8	8	0.731	1	0:00:09.110357
600	6	6	0.731	1	0:00:08.788928
620	0	0	0.731	1	0:00:08.867594
640	1	1	0.731	1	0:00:08.671440
660	4	4	0.731	1	0:00:09.097192
680	6	6	0.731	1	0:00:08.902031
700	1	1	0.731	1	0:00:09.240211
720	5	5	0.491	1	0:00:09.978848
740	4	9	0.731	0	0:00:10.130051
760	4	4	0.731	1	0:00:09.508911
780	3	3	0.731	1	0:00:09.416124
800	8	8	0.731	1	0:00:08.884429
820	6	6	0.731	1	0:00:09.028299
840	1	1	0.731	1	0:00:08.854032
860	6	6	0.731	1	0:00:08.749268
880	7	7	0.731	1	0:00:08.938815
900	1	1	0.731	1	0:00:08.906118
920	1	1	0.731	1	0:00:08.757801
940	6	6	0.731	1	0:00:09.266292
960	7	7	0.731	1	0:00:10.018312
980	2	2	0.731	1	0:00:08.982270
1000	9	9	0.731	1	0:00:08.979921
1020	3	3	0.731	1	0:00:08.910742
1040	1	1	0.731	1	0:00:09.689931
1060	4	4	0.731	1	0:00:09.690462
