idx	label	predict	radius	correct	time
0	7	7	54.8	1	0:00:11.584667
20	9	9	54.8	1	0:00:08.176935
40	1	1	54.8	1	0:00:08.338313
60	7	7	54.8	1	0:00:08.211233
80	7	7	19.9	1	0:00:08.296688
100	6	6	54.8	1	0:00:08.164196
120	5	5	54.8	1	0:00:08.251248
140	6	6	54.8	1	0:00:08.149121
160	4	4	47.6	1	0:00:08.158128
180	1	1	54.8	1	0:00:08.452690
200	3	3	50.3	1	0:00:08.241340
220	7	7	53.7	1	0:00:08.359008
240	5	5	54.8	1	0:00:08.305846
260	8	8	53.7	1	0:00:08.379686
280	2	2	54.8	1	0:00:08.201155
300	4	4	54.8	1	0:00:08.159778
320	9	9	11.6	1	0:00:08.181505
340	5	3	14.9	0	0:00:08.308277
360	4	4	52.9	1	0:00:08.222489
380	0	0	54.8	1	0:00:08.647727
400	2	2	54.8	1	0:00:08.505740
420	4	4	54.8	1	0:00:08.736827
440	0	0	54.8	1	0:00:08.984110
460	5	5	54.8	1	0:00:10.550012
480	1	1	54.8	1	0:00:08.357608
500	3	3	54.8	1	0:00:08.248493
520	8	8	54.8	1	0:00:08.401883
540	5	5	54.8	1	0:00:08.154584
560	9	9	54.8	1	0:00:08.244756
580	8	8	52.9	1	0:00:08.172807
600	6	6	54.8	1	0:00:08.288083
620	0	0	54.8	1	0:00:08.409775
640	1	1	54.8	1	0:00:08.065728
660	4	4	54.8	1	0:00:08.263688
680	6	6	54.8	1	0:00:08.181096
700	1	1	54.8	1	0:00:08.166081
720	5	5	43.5	1	0:00:08.339358
740	4	9	54.8	0	0:00:08.305745
760	4	4	49.0	1	0:00:08.095292
780	3	3	54.8	1	0:00:08.152529
800	8	8	52.3	1	0:00:08.226151
820	6	6	54.8	1	0:00:08.146107
840	1	1	46.6	1	0:00:08.135032
860	6	6	54.8	1	0:00:08.187414
880	7	7	54.8	1	0:00:08.396719
900	1	1	54.8	1	0:00:08.158970
920	1	1	54.8	1	0:00:08.276780
940	6	6	54.8	1	0:00:08.313625
960	7	9	5.69	0	0:00:08.236853
980	2	2	54.8	1	0:00:08.237584
1000	9	9	54.8	1	0:00:08.244113
1020	3	3	54.8	1	0:00:08.272136
1040	1	1	54.8	1	0:00:08.150394
1060	4	4	54.8	1	0:00:08.616067
1080	4	4	54.8	1	0:00:08.095298
1100	7	7	54.8	1	0:00:08.368408
1120	8	8	54.8	1	0:00:08.327001
1140	4	4	54.8	1	0:00:08.440681
1160	4	4	54.8	1	0:00:08.375509
1180	1	1	52.9	1	0:00:08.285617
1200	8	8	54.8	1	0:00:08.690495
1220	0	0	54.8	1	0:00:08.316025
1240	1	1	50.6	1	0:00:08.400816
1260	7	7	29.8	1	0:00:08.232798
1280	1	1	54.8	1	0:00:08.207703
1300	4	4	54.8	1	0:00:08.259941
1320	8	8	50.6	1	0:00:08.202803
1340	5	5	54.8	1	0:00:08.189651
1360	1	1	54.8	1	0:00:08.247286
1380	9	9	54.8	1	0:00:08.179462
1400	6	6	54.8	1	0:00:08.270847
1420	6	6	54.8	1	0:00:08.645717
1440	4	4	36.1	1	0:00:08.556689
1460	5	5	54.8	1	0:00:08.045702
1480	3	3	54.8	1	0:00:08.626042
1500	7	1	29.7	0	0:00:08.139125
1520	7	7	54.8	1	0:00:08.162264
1540	7	7	54.8	1	0:00:08.239688
1560	8	8	54.8	1	0:00:08.700560
1580	4	4	54.8	1	0:00:08.294764
1600	3	3	52.9	1	0:00:09.673431
1620	2	2	54.8	1	0:00:10.944171
1640	9	9	54.8	1	0:00:10.798889
1660	7	7	54.8	1	0:00:10.959925
1680	4	4	54.8	1	0:00:10.976562
1700	0	0	54.8	1	0:00:10.915594
1720	4	4	54.8	1	0:00:10.894322
1740	8	8	36.4	1	0:00:10.973206
1760	1	1	51.8	1	0:00:10.923887
1780	1	1	54.8	1	0:00:10.949647
1800	6	6	53.7	1	0:00:11.077260
1820	1	1	54.8	1	0:00:08.589639
1840	3	3	53.7	1	0:00:08.161645
1860	5	5	48.2	1	0:00:08.172618
1880	6	6	54.8	1	0:00:08.334763
1900	1	1	50.0	1	0:00:10.432395
1920	4	4	54.8	1	0:00:10.471983
1940	5	5	54.8	1	0:00:10.279588
1960	8	8	50.9	1	0:00:10.396497
1980	4	4	53.7	1	0:00:08.318433
2000	6	6	54.8	1	0:00:08.155984
2020	3	3	54.8	1	0:00:08.139214
2040	5	5	24.9	1	0:00:08.114266
2060	0	0	54.8	1	0:00:08.244784
2080	3	3	54.8	1	0:00:08.084258
2100	5	5	54.8	1	0:00:08.220803
2120	4	4	52.9	1	0:00:08.641793
2140	6	6	54.8	1	0:00:08.813857
2160	6	6	54.8	1	0:00:08.256581
2180	5	5	54.8	1	0:00:08.223971
2200	2	2	54.8	1	0:00:08.164537
2220	7	7	54.8	1	0:00:08.257446
2240	7	7	54.8	1	0:00:08.138813
2260	2	2	54.8	1	0:00:08.285736
2280	3	5	0.561	0	0:00:09.336003
2300	3	3	53.7	1	0:00:09.230378
2320	9	9	54.8	1	0:00:08.198432
2340	4	4	54.8	1	0:00:08.568610
2360	6	6	54.8	1	0:00:08.397569
2380	9	9	54.8	1	0:00:08.336304
2400	5	5	54.8	1	0:00:08.284305
2420	9	9	54.8	1	0:00:08.598109
2440	4	4	54.8	1	0:00:08.469936
2460	5	5	19.4	1	0:00:08.324951
2480	7	7	26.5	1	0:00:08.200205
2500	2	2	39.1	1	0:00:08.174711
2520	8	8	45.5	1	0:00:08.248555
2540	5	5	54.8	1	0:00:08.404038
2560	3	3	43.5	1	0:00:08.224715
2580	6	6	54.8	1	0:00:08.185979
2600	8	8	54.8	1	0:00:08.350046
2620	6	6	53.7	1	0:00:08.169612
2640	8	8	54.8	1	0:00:08.190498
2660	0	0	54.8	1	0:00:08.297325
2680	4	4	50.9	1	0:00:08.133502
2700	7	7	54.8	1	0:00:08.240141
2720	9	9	45.6	1	0:00:08.473730
2740	9	9	54.8	1	0:00:08.192758
2760	9	9	54.8	1	0:00:08.410503
2780	2	2	53.7	1	0:00:08.487146
2800	8	8	54.8	1	0:00:08.221398
2820	7	7	51.8	1	0:00:08.203279
2840	3	3	54.8	1	0:00:08.269002
2860	6	6	54.8	1	0:00:08.416733
2880	1	1	54.8	1	0:00:08.209858
2900	4	4	50.0	1	0:00:08.226983
2920	6	6	51.3	1	0:00:08.179282
2940	2	2	52.3	1	0:00:08.296822
2960	8	8	54.8	1	0:00:08.288136
2980	6	6	54.8	1	0:00:08.337046
3000	6	6	54.8	1	0:00:08.271397
3020	0	0	54.8	1	0:00:08.279229
3040	7	7	54.8	1	0:00:08.333886
3060	9	7	40.7	0	0:00:08.372852
3080	3	3	54.8	1	0:00:08.184047
3100	5	5	54.8	1	0:00:08.295285
3120	3	3	53.7	1	0:00:08.238483
3140	0	0	54.8	1	0:00:08.233101
3160	9	9	18.0	1	0:00:08.355340
3180	2	2	54.8	1	0:00:08.256214
3200	9	9	54.8	1	0:00:08.264940
3220	5	5	54.8	1	0:00:08.226640
3240	9	9	32.4	1	0:00:08.329611
3260	2	2	37.7	1	0:00:08.415216
3280	2	2	50.9	1	0:00:08.318775
3300	3	3	28.9	1	0:00:08.287128
3320	1	1	54.8	1	0:00:08.280503
3340	8	8	46.5	1	0:00:08.160727
3360	7	7	54.8	1	0:00:08.175519
3380	1	1	54.8	1	0:00:08.405860
3400	7	7	54.8	1	0:00:08.548774
3420	1	1	54.8	1	0:00:08.300084
3440	8	8	54.8	1	0:00:08.206058
3460	9	9	54.8	1	0:00:08.353389
3480	1	1	44.8	1	0:00:08.258423
3500	4	4	54.8	1	0:00:08.251047
3520	6	6	38.6	1	0:00:08.242899
3540	0	0	54.8	1	0:00:08.681242
3560	6	6	54.8	1	0:00:08.148157
3580	7	7	37.1	1	0:00:08.192868
3600	2	2	54.8	1	0:00:08.499631
3620	3	3	54.8	1	0:00:08.562382
3640	0	0	54.8	1	0:00:08.492611
3660	0	0	54.8	1	0:00:08.612978
3680	0	0	54.8	1	0:00:08.400147
3700	4	4	54.8	1	0:00:08.245657
