idx	label	predict	radius	correct	time
0	7	7	88.9	1	0:00:08.128754
20	9	9	84.0	1	0:00:07.575199
40	1	1	88.9	1	0:00:07.562964
60	7	7	81.3	1	0:00:07.614880
80	7	7	28.9	1	0:00:07.576920
100	6	6	84.0	1	0:00:07.566755
120	5	5	53.4	1	0:00:07.568928
140	6	6	86.0	1	0:00:07.576548
160	4	4	51.0	1	0:00:07.576476
180	1	1	88.9	1	0:00:07.562819
200	3	3	64.4	1	0:00:07.573311
220	7	7	50.9	1	0:00:07.569839
240	5	5	88.9	1	0:00:07.558897
260	8	8	67.9	1	0:00:07.580480
280	2	2	88.9	1	0:00:07.560673
300	4	4	72.5	1	0:00:07.577893
320	9	9	12.1	1	0:00:07.575011
340	5	3	14.9	0	0:00:07.574498
360	4	4	88.9	1	0:00:07.565362
380	0	0	86.0	1	0:00:07.566226
400	2	2	30.7	1	0:00:07.579117
420	4	4	88.9	1	0:00:07.560418
440	0	0	88.9	1	0:00:07.566077
460	5	5	51.3	1	0:00:07.582687
480	1	1	88.9	1	0:00:07.560693
500	3	3	78.4	1	0:00:07.574244
520	8	8	43.8	1	0:00:07.581854
540	5	5	88.9	1	0:00:07.563585
560	9	9	75.8	1	0:00:07.570511
580	8	8	88.9	1	0:00:07.576052
600	6	6	88.9	1	0:00:07.562239
620	0	0	86.0	1	0:00:07.568699
640	1	1	75.8	1	0:00:07.578034
660	4	4	78.4	1	0:00:07.577892
680	6	6	88.9	1	0:00:07.568713
700	1	1	61.7	1	0:00:07.573538
720	5	5	12.1	1	0:00:07.579760
740	4	9	15.7	0	0:00:07.577353
760	4	4	19.0	1	0:00:07.579638
780	3	3	73.3	1	0:00:07.577609
800	8	8	65.7	1	0:00:07.574477
820	6	6	82.5	1	0:00:07.571954
840	1	1	47.5	1	0:00:08.772937
860	6	6	77.7	1	0:00:09.659945
880	7	7	84.0	1	0:00:09.653523
900	1	1	4.41	1	0:00:09.673379
920	1	1	88.9	1	0:00:09.644264
940	6	6	86.0	1	0:00:09.640509
960	7	7	14.3	1	0:00:09.662403
980	2	2	88.9	1	0:00:09.643923
1000	9	9	62.6	1	0:00:09.661629
1020	3	3	67.1	1	0:00:09.674954
1040	1	1	88.9	1	0:00:09.617842
1060	4	4	71.5	1	0:00:07.564198
1080	4	4	88.9	1	0:00:07.549845
1100	7	7	68.4	1	0:00:07.558679
1120	8	8	60.4	1	0:00:07.555993
1140	4	4	88.9	1	0:00:07.545226
1160	4	4	79.3	1	0:00:07.564930
1180	1	1	77.0	1	0:00:07.555278
1200	8	8	41.5	1	0:00:07.563809
1220	0	0	84.0	1	0:00:07.555028
1240	1	1	46.8	1	0:00:07.573000
1260	7	1	8.44	0	0:00:07.556980
1280	1	1	88.9	1	0:00:07.544568
1300	4	4	84.0	1	0:00:07.558728
1320	8	8	24.7	1	0:00:07.561712
1340	5	5	88.9	1	0:00:07.552238
1360	1	1	88.9	1	0:00:07.545076
