idx	label	predict	radius	correct	time
0	7	7	88.9	1	0:00:07.074862
20	9	9	88.9	1	0:00:06.554230
40	1	1	88.9	1	0:00:06.563005
60	7	7	84.0	1	0:00:06.600601
80	7	7	27.3	1	0:00:06.544614
100	6	6	88.9	1	0:00:06.529784
120	5	5	68.4	1	0:00:06.942904
140	6	6	88.9	1	0:00:09.890120
160	4	4	58.6	1	0:00:10.088071
180	1	1	88.9	1	0:00:09.790789
200	3	3	62.8	1	0:00:09.807214
220	7	7	82.5	1	0:00:09.870752
240	5	5	88.9	1	0:00:09.785754
260	8	8	51.6	1	0:00:09.857399
280	2	2	88.9	1	0:00:09.786680
300	4	4	67.3	1	0:00:09.457894
320	9	9	30.7	1	0:00:07.933290
340	5	3	22.6	0	0:00:07.623233
360	4	4	88.9	1	0:00:07.850574
380	0	0	81.3	1	0:00:07.614914
400	2	2	88.9	1	0:00:07.984723
420	4	4	88.9	1	0:00:07.580807
440	0	0	80.2	1	0:00:07.761058
460	5	5	82.5	1	0:00:07.618401
480	1	1	88.9	1	0:00:07.602814
500	3	3	88.9	1	0:00:07.704037
520	8	8	70.5	1	0:00:07.625759
540	5	5	88.9	1	0:00:07.684256
560	9	9	75.8	1	0:00:07.581508
580	8	8	82.5	1	0:00:07.599884
600	6	6	88.9	1	0:00:07.610634
620	0	0	84.0	1	0:00:07.644640
640	1	1	79.3	1	0:00:07.609153
660	4	4	86.0	1	0:00:07.589743
680	6	6	88.9	1	0:00:07.598351
700	1	1	75.2	1	0:00:08.131431
720	5	5	47.6	1	0:00:07.909246
740	4	9	88.9	0	0:00:07.703488
760	4	4	69.1	1	0:00:07.684857
780	3	3	88.9	1	0:00:07.719981
800	8	8	75.8	1	0:00:07.635809
820	6	6	88.9	1	0:00:07.614456
840	1	1	88.9	1	0:00:09.673501
860	6	6	88.9	1	0:00:10.284549
880	7	7	88.9	1	0:00:10.297437
900	1	1	30.8	1	0:00:10.320656
920	1	1	88.9	1	0:00:10.279672
940	6	6	88.9	1	0:00:10.321319
960	7	7	10.1	1	0:00:10.342394
980	2	2	88.9	1	0:00:10.271074
1000	9	9	86.0	1	0:00:10.260949
1020	3	3	88.9	1	0:00:10.258944
1040	1	1	88.9	1	0:00:10.140655
1060	4	4	88.9	1	0:00:07.658385
1080	4	4	88.9	1	0:00:07.633771
1100	7	7	82.5	1	0:00:07.629745
1120	8	8	75.8	1	0:00:07.949532
1140	4	4	88.9	1	0:00:09.500747
1160	4	4	86.0	1	0:00:07.631719
1180	1	1	86.0	1	0:00:07.607325
1200	8	8	77.0	1	0:00:07.812423
1220	0	0	86.0	1	0:00:07.654597
1240	1	1	62.9	1	0:00:07.877014
1260	7	1	18.8	0	0:00:07.923060
1280	1	1	88.9	1	0:00:08.093291
1300	4	4	88.9	1	0:00:07.726522
1320	8	8	34.4	1	0:00:07.615733
1340	5	5	88.9	1	0:00:07.980541
1360	1	1	88.9	1	0:00:07.834208
1380	9	9	86.0	1	0:00:07.613811
1400	6	6	88.9	1	0:00:07.585301
1420	6	6	88.9	1	0:00:07.627079
1440	4	4	35.8	1	0:00:08.042543
1460	5	5	88.9	1	0:00:07.623637
1480	3	3	84.0	1	0:00:07.654166
1500	7	1	12.6	0	0:00:07.727287
1520	7	7	84.0	1	0:00:07.594210
1540	7	7	88.9	1	0:00:08.103647
1560	8	8	88.9	1	0:00:07.605352
1580	4	4	88.9	1	0:00:07.581093
1600	3	3	88.9	1	0:00:07.703899
1620	2	2	88.9	1	0:00:07.580280
1640	9	9	37.5	1	0:00:07.616780
1660	7	7	88.9	1	0:00:08.536117
1680	4	4	88.9	1	0:00:07.611319
1700	0	0	86.0	1	0:00:07.629545
1720	4	4	88.9	1	0:00:07.622989
1740	8	8	26.2	1	0:00:07.578368
1760	1	1	71.5	1	0:00:07.662347
1780	1	1	88.9	1	0:00:07.699978
1800	6	6	27.5	1	0:00:07.754994
1820	1	1	88.9	1	0:00:08.177652
1840	3	3	84.0	1	0:00:07.670107
1860	5	5	71.8	1	0:00:07.842989
1880	6	6	88.9	1	0:00:07.578120
1900	1	1	80.2	1	0:00:07.633599
1920	4	4	88.9	1	0:00:07.705217
1940	5	5	88.9	1	0:00:07.599588
1960	8	8	77.0	1	0:00:07.654233
1980	4	4	88.9	1	0:00:07.574465
2000	6	6	88.9	1	0:00:07.597871
2020	3	3	88.9	1	0:00:07.589380
2040	5	4	4.2	0	0:00:07.635365
2060	0	0	80.2	1	0:00:07.629196
2080	3	3	88.9	1	0:00:07.674705
2100	5	5	84.0	1	0:00:07.954096
2120	4	4	86.0	1	0:00:07.678617
2140	6	6	88.9	1	0:00:07.626942
2160	6	6	88.9	1	0:00:07.657769
2180	5	5	88.9	1	0:00:07.891922
2200	2	2	86.0	1	0:00:08.128744
2220	7	7	88.9	1	0:00:07.703612
2240	7	7	88.9	1	0:00:07.892639
2260	2	2	86.0	1	0:00:07.691767
2280	3	3	88.9	1	0:00:07.645680
2300	3	3	69.4	1	0:00:07.766147
2320	9	9	84.0	1	0:00:07.641924
2340	4	4	86.0	1	0:00:07.802624
2360	6	6	88.9	1	0:00:07.639759
2380	9	9	77.7	1	0:00:07.649660
2400	5	5	82.5	1	0:00:07.658564
2420	9	9	74.2	1	0:00:07.643604
2440	4	4	88.9	1	0:00:07.932076
2460	5	5	23.7	1	0:00:07.599163
2480	7	7	34.7	1	0:00:07.587032
2500	2	2	59.7	1	0:00:07.702801
2520	8	8	27.8	1	0:00:07.615677
2540	5	5	77.0	1	0:00:07.876364
2560	3	3	34.6	1	0:00:07.697657
2580	6	6	88.9	1	0:00:07.900603
2600	8	8	88.9	1	0:00:07.691079
2620	6	6	88.9	1	0:00:07.933527
2640	8	8	81.3	1	0:00:08.510591
2660	0	0	86.0	1	0:00:10.059830
2680	4	4	88.9	1	0:00:07.730121
2700	7	7	88.9	1	0:00:07.704968
2720	9	9	56.7	1	0:00:08.414930
2740	9	9	88.9	1	0:00:07.834746
2760	9	9	55.5	1	0:00:07.899142
2780	2	2	88.9	1	0:00:07.570812
2800	8	8	73.3	1	0:00:08.242976
2820	7	7	64.9	1	0:00:07.979210
2840	3	3	33.7	1	0:00:07.630080
2860	6	6	86.0	1	0:00:07.617719
2880	1	1	88.9	1	0:00:07.634936
2900	4	4	86.0	1	0:00:08.414041
2920	6	6	86.0	1	0:00:07.611560
2940	2	2	53.5	1	0:00:07.655302
2960	8	8	88.9	1	0:00:07.589307
2980	6	6	88.9	1	0:00:07.597238
3000	6	6	88.9	1	0:00:07.553726
3020	0	0	88.9	1	0:00:07.607010
3040	7	7	88.9	1	0:00:07.606185
3060	9	7	33.1	0	0:00:07.715843
3080	3	3	88.9	1	0:00:07.641258
3100	5	5	75.2	1	0:00:07.611672
3120	3	3	75.8	1	0:00:07.616207
3140	0	0	88.9	1	0:00:07.605014
3160	9	9	16.9	1	0:00:07.762994
3180	2	2	88.9	1	0:00:07.814366
3200	9	9	82.5	1	0:00:07.677622
3220	5	5	88.9	1	0:00:07.848565
3240	9	9	35.4	1	0:00:07.740049
3260	2	2	38.5	1	0:00:07.620547
3280	2	2	54.2	1	0:00:07.607281
3300	3	3	35.8	1	0:00:07.677941
3320	1	1	88.9	1	0:00:07.610012
3340	8	8	59.8	1	0:00:07.693298
3360	7	7	78.4	1	0:00:07.646021
3380	1	1	88.9	1	0:00:07.819501
3400	7	7	88.9	1	0:00:10.063718
3420	1	1	88.9	1	0:00:09.959302
3440	8	8	76.4	1	0:00:10.095418
3460	9	9	40.7	1	0:00:10.102720
3480	1	1	88.9	1	0:00:10.085504
3500	4	4	88.9	1	0:00:10.062418
3520	6	0	7.6	0	0:00:10.014698
3540	0	0	72.9	1	0:00:09.883667
3560	6	6	88.9	1	0:00:09.526127
3580	7	7	81.3	1	0:00:09.105187
3600	2	2	88.9	1	0:00:09.831753
3620	3	3	82.5	1	0:00:09.148401
3640	0	0	72.5	1	0:00:07.760209
3660	0	0	88.9	1	0:00:07.594656
3680	0	0	88.9	1	0:00:07.576747
3700	4	4	88.9	1	0:00:07.664197
3720	7	7	82.5	1	0:00:07.546027
3740	3	3	88.9	1	0:00:07.696749
3760	9	9	84.0	1	0:00:10.413873
3780	4	6	34.3	0	0:00:08.100404
3800	6	6	86.0	1	0:00:07.560682
3820	9	9	71.8	1	0:00:07.580154
3840	9	9	86.0	1	0:00:07.638916
3860	5	5	77.7	1	0:00:07.934304
3880	8	8	82.5	1	0:00:07.582644
3900	1	1	86.0	1	0:00:07.591913
3920	7	7	88.9	1	0:00:07.643137
3940	0	0	80.2	1	0:00:08.061221
3960	5	5	88.9	1	0:00:07.582581
3980	0	0	88.9	1	0:00:07.564811
4000	9	9	82.5	1	0:00:09.935172
4020	8	8	88.9	1	0:00:09.393755
4040	9	9	77.0	1	0:00:07.826522
4060	4	4	88.9	1	0:00:07.639840
4080	0	0	88.9	1	0:00:07.653152
4100	2	2	88.9	1	0:00:07.641260
4120	3	3	88.9	1	0:00:07.635073
4140	8	8	33.8	1	0:00:07.685175
4160	6	6	88.9	1	0:00:08.420352
4180	2	2	88.9	1	0:00:07.586794
