idx	label	predict	radius	correct	time
0	7	7	0.0697	True	0:01:16.429287
20	9	9	0.0734	True	0:01:15.845305
40	1	1	0.0988	True	0:01:15.870328
60	7	7	0.0716	True	0:01:15.900356
80	7	7	0.0508	True	0:01:15.937042
100	6	6	0.0589	True	0:01:16.083348
120	5	5	0.0526	True	0:01:16.075091
140	6	6	0.0671	True	0:01:16.110086
160	4	4	0.0719	True	0:01:16.159213
180	1	1	0.0923	True	0:01:16.112427
200	3	3	0.0519	True	0:01:16.127677
220	7	7	0.0721	True	0:01:16.166304
240	5	5	0.062	True	0:01:16.196807
260	8	8	0.0533	True	0:01:16.178327
280	2	2	0.058	True	0:01:16.148516
300	4	4	0.0792	True	0:01:16.109592
320	9	9	-0.00107	True	0:01:03.514708
340	5	3	-1.06	False	0:00:00.069585
360	4	4	0.0616	True	0:01:16.120134
380	0	0	0.0272	True	0:01:16.082601
400	2	2	0.0515	True	0:01:16.134404
420	4	4	0.073	True	0:01:16.057380
440	0	0	0.0465	True	0:01:16.080470
460	5	5	0.0819	True	0:01:16.060528
480	1	1	0.0887	True	0:01:16.100916
500	3	3	0.0539	True	0:01:16.069211
520	8	8	0.0725	True	0:01:16.086554
540	5	5	0.0526	True	0:01:16.087666
560	9	9	0.0734	True	0:01:16.104908
580	8	8	0.0696	True	0:01:16.058492
600	6	6	0.0681	True	0:01:16.074990
620	0	0	0.0427	True	0:01:16.141584
640	1	1	0.0879	True	0:01:16.228950
660	4	4	0.0698	True	0:01:16.100491
680	6	6	0.0654	True	0:01:16.088552
700	1	1	0.086	True	0:01:16.106402
720	5	5	0.00588	True	0:01:19.589267
740	4	4	-0.00391	True	0:01:02.329579
760	4	4	0.00314	True	0:01:17.527158
780	3	3	0.0434	True	0:01:16.145548
800	8	8	0.052	True	0:01:16.150862
820	6	6	0.0551	True	0:01:16.103503
840	1	1	0.0842	True	0:01:16.160968
860	6	6	0.0524	True	0:01:16.143528
880	7	7	0.074	True	0:01:16.167019
900	1	1	-0.00107	True	0:00:45.444202
920	1	1	0.0969	True	0:01:16.148616
940	6	6	0.0599	True	0:01:16.161720
960	7	7	0.0813	True	0:01:16.145439
980	2	2	0.058	True	0:01:16.138822
1000	9	9	0.0789	True	0:01:16.138456
1020	3	3	0.0567	True	0:01:16.159839
1040	1	1	0.0971	True	0:01:16.165116
1060	4	4	0.0569	True	0:01:16.140985
1080	4	4	0.0787	True	0:01:16.161132
1100	7	7	0.076	True	0:01:16.280845
1120	8	8	0.062	True	0:01:16.146287
1140	4	4	0.0689	True	0:01:16.151584
1160	4	4	0.0727	True	0:01:16.154700
1180	1	1	0.0895	True	0:01:16.243694
1200	8	8	0.0643	True	0:01:16.182620
1220	0	0	0.0317	True	0:01:16.135600
1240	1	1	0.08	True	0:01:16.149636
1260	7	1	-1.01	False	0:00:00.130237
1280	1	1	0.0952	True	0:01:16.166613
1300	4	4	0.0719	True	0:01:16.089316
1320	8	8	0.073	True	0:01:16.071810
1340	5	5	0.0482	True	0:01:16.074756
1360	1	1	0.0951	True	0:01:16.069967
1380	9	9	0.0663	True	0:01:16.063761
1400	6	6	0.0769	True	0:01:16.052486
1420	6	6	0.0642	True	0:01:16.071524
1440	4	4	0.064	True	0:01:16.096737
1460	5	5	0.0498	True	0:01:16.078306
1480	3	3	0.0598	True	0:01:16.087438
1500	7	7	-0.0618	True	0:00:00.794482
1520	7	7	0.0712	True	0:01:16.092196
1540	7	7	0.0725	True	0:01:16.047304
1560	8	8	0.0639	True	0:01:16.124704
1580	4	4	0.0799	True	0:01:16.116589
1600	3	3	0.0547	True	0:01:16.240453
1620	2	2	0.0624	True	0:01:16.069300
1640	9	9	0.0512	True	0:01:16.086550
1660	7	7	0.0792	True	0:01:16.077631
1680	4	4	0.076	True	0:01:16.121505
1700	0	0	0.04	True	0:01:16.071341
1720	4	4	0.0584	True	0:01:16.069626
1740	8	8	0.0587	True	0:01:16.057528
1760	1	1	0.0914	True	0:01:16.055744
1780	1	1	0.093	True	0:01:16.028296
1800	6	6	0.0676	True	0:01:16.031657
1820	1	1	0.0835	True	0:01:16.035467
1840	3	3	0.0473	True	0:01:16.040013
1860	5	5	0.0637	True	0:01:16.039342
1880	6	6	0.0583	True	0:01:16.068035
1900	1	1	0.0753	True	0:01:16.046432
1920	4	4	0.0791	True	0:01:16.075349
1940	5	5	0.0762	True	0:01:16.033345
1960	8	8	0.0531	True	0:01:16.054877
1980	4	4	0.0685	True	0:01:16.035478
2000	6	6	0.0749	True	0:01:16.053859
2020	3	3	0.0537	True	0:01:16.032732
2040	5	5	0.0574	True	0:01:16.044232
2060	0	0	0.053	True	0:01:16.153550
2080	3	3	0.0573	True	0:01:16.078829
2100	5	5	0.0551	True	0:01:16.033862
2120	4	4	0.0732	True	0:01:16.067628
2140	6	6	0.0521	True	0:01:16.114708
2160	6	6	0.0695	True	0:01:16.128344
2180	5	5	0.0499	True	0:01:16.039846
2200	2	2	0.0704	True	0:01:16.028100
2220	7	7	0.071	True	0:01:16.015841
2240	7	7	0.0726	True	0:01:16.065764
2260	2	2	0.0562	True	0:01:16.056231
2280	3	3	0.051	True	0:01:16.080274
2300	3	3	0.0572	True	0:01:16.052432
2320	9	9	0.0693	True	0:01:16.049726
2340	4	4	0.0591	True	0:01:16.028998
2360	6	6	0.0657	True	0:01:16.067801
2380	9	9	0.0523	True	0:01:16.060629
2400	5	5	0.0461	True	0:01:15.512739
2420	9	9	0.0532	True	0:01:15.557016
2440	4	4	0.0648	True	0:01:15.600614
2460	5	5	0.0686	True	0:01:15.582239
2480	7	7	0.078	True	0:01:15.585485
2500	2	2	0.0646	True	0:01:15.557142
2520	8	8	0.0681	True	0:01:15.734367
2540	5	5	0.0448	True	0:01:15.570084
2560	3	3	0.0577	True	0:01:15.592957
2580	6	6	0.0662	True	0:01:15.569316
2600	8	8	0.0592	True	0:01:15.617199
2620	6	6	0.0644	True	0:01:15.644822
2640	8	8	0.0603	True	0:01:15.588247
2660	0	0	0.0502	True	0:01:15.559730
2680	4	4	0.0688	True	0:01:15.585935
2700	7	7	0.0756	True	0:01:15.604090
2720	9	9	-0.1	True	0:00:00.791745
2740	9	9	0.0789	True	0:01:15.542397
2760	9	9	0.0788	True	0:01:15.607274
2780	2	2	0.041	True	0:01:15.595647
2800	8	8	0.0559	True	0:01:15.592072
2820	7	7	0.0622	True	0:01:15.571523
2840	3	3	0.0655	True	0:01:15.596588
2860	6	6	0.0629	True	0:01:15.654472
2880	1	1	0.0927	True	0:01:15.675922
2900	4	4	0.0623	True	0:01:15.644337
2920	6	6	0.0689	True	0:01:15.694545
2940	2	2	0.0609	True	0:01:15.661218
2960	8	8	0.0669	True	0:01:15.706050
2980	6	6	0.062	True	0:01:15.643287
3000	6	6	0.0645	True	0:01:15.758362
3020	0	0	0.0376	True	0:01:15.569708
3040	7	7	0.0809	True	0:01:15.666705
3060	9	9	-0.0938	True	0:00:00.785336
3080	3	3	0.0569	True	0:01:15.585258
3100	5	5	0.0497	True	0:01:15.637614
3120	3	3	0.0397	True	0:01:15.781410
3140	0	0	0.0555	True	0:01:15.597015
3160	9	9	0.00571	True	0:01:25.909858
3180	2	2	0.0515	True	0:01:15.658090
3200	9	9	0.0612	True	0:01:15.649703
3220	5	5	0.0513	True	0:01:15.658388
3240	9	9	0.051	True	0:01:15.666088
3260	2	2	0.0518	True	0:01:15.657264
3280	2	2	0.0603	True	0:01:15.667349
3300	3	3	0.0432	True	0:01:15.624838
3320	1	1	0.0922	True	0:01:15.660837
3340	8	8	0.0593	True	0:01:15.647682
