idx	label	predict	radius	correct	time
0	7	7	0.0697	True	0:01:15.009177
20	9	9	0.0734	True	0:01:14.482809
40	1	1	0.0988	True	0:01:16.691428
60	7	7	0.0716	True	0:01:18.225773
80	7	7	0.0799	True	0:01:18.365273
100	6	6	0.0589	True	0:01:18.394791
120	5	5	0.0526	True	0:01:18.286133
140	6	6	0.0671	True	0:01:18.304042
160	4	4	0.0719	True	0:01:18.279197
180	1	1	0.0923	True	0:01:18.372622
200	3	3	0.0519	True	0:01:18.324532
220	7	7	0.0721	True	0:01:18.249455
240	5	5	0.062	True	0:01:18.317579
260	8	8	0.0533	True	0:01:18.196440
280	2	2	0.058	True	0:01:18.373610
300	4	4	0.0792	True	0:01:18.384491
320	9	9	-0.00353	True	0:00:45.433385
340	5	3	-1.07	False	0:00:00.070504
360	4	4	0.0616	True	0:01:18.450689
380	0	0	0.0272	True	0:01:18.361654
400	2	2	0.0515	True	0:01:18.271086
420	4	4	0.073	True	0:01:18.346328
440	0	0	0.0465	True	0:01:18.291312
460	5	5	0.0819	True	0:01:18.353638
480	1	1	0.0887	True	0:01:18.369023
500	3	3	0.0539	True	0:01:18.389699
520	8	8	0.0725	True	0:01:18.502017
540	5	5	0.0526	True	0:01:17.038338
560	9	9	0.0734	True	0:01:16.596874
580	8	8	0.0696	True	0:01:16.673003
600	6	6	0.0681	True	0:01:16.654255
620	0	0	0.0427	True	0:01:16.658153
640	1	1	0.0879	True	0:01:16.638212
660	4	4	0.0698	True	0:01:16.626454
680	6	6	0.0654	True	0:01:16.505396
700	1	1	0.086	True	0:01:16.718503
720	5	5	-0.00541	True	0:01:17.109583
740	4	-1	-0.0999	False	0:00:00.797333
760	4	4	0.0587	True	0:01:16.685853
780	3	3	0.0434	True	0:01:16.823989
800	8	8	0.052	True	0:01:16.863624
820	6	6	0.0551	True	0:01:16.811313
840	1	1	0.0842	True	0:01:16.847303
860	6	6	0.0524	True	0:01:16.874346
880	7	7	0.074	True	0:01:15.914905
900	1	1	-0.0054	True	0:01:09.800695
920	1	1	0.0969	True	0:01:15.787946
940	6	6	0.0478	True	0:01:15.830412
960	7	7	0.0813	True	0:01:15.826979
980	2	2	0.058	True	0:01:15.851898
1000	9	9	0.0789	True	0:01:15.850159
1020	3	3	0.0567	True	0:01:15.837372
1040	1	1	0.0971	True	0:01:15.820686
1060	4	4	0.0569	True	0:01:15.805407
1080	4	4	0.0787	True	0:01:15.783349
1100	7	7	0.076	True	0:01:15.796233
1120	8	8	0.062	True	0:01:15.762512
1140	4	4	0.0689	True	0:01:15.782219
1160	4	4	0.0727	True	0:01:15.783508
1180	1	1	0.0895	True	0:01:15.830994
1200	8	8	0.0643	True	0:01:15.820865
1220	0	0	0.0317	True	0:01:15.845759
1240	1	1	0.08	True	0:01:15.842644
1260	7	1	-1.09	False	0:00:00.068735
1280	1	1	0.0952	True	0:01:15.876819
1300	4	4	0.0719	True	0:01:15.808358
1320	8	8	0.073	True	0:01:15.872545
1340	5	5	0.0482	True	0:01:15.903890
1360	1	1	0.0951	True	0:01:15.879635
1380	9	9	0.0663	True	0:01:15.852523
1400	6	6	0.0769	True	0:01:15.861233
1420	6	6	0.0642	True	0:01:15.786236
1440	4	4	0.064	True	0:01:15.873455
1460	5	5	0.0498	True	0:01:15.851255
1480	3	3	0.0598	True	0:01:15.840251
1500	7	7	-0.0973	True	0:00:00.790409
1520	7	7	0.0712	True	0:01:15.848420
1540	7	7	0.0725	True	0:01:15.850144
1560	8	8	0.0639	True	0:01:15.821427
1580	4	4	0.0799	True	0:01:15.840226
1600	3	3	0.0334	True	0:01:15.833284
1620	2	2	0.0624	True	0:01:15.854318
1640	9	9	0.0512	True	0:01:18.127457
1660	7	7	0.0792	True	0:01:15.895474
1680	4	4	0.076	True	0:01:15.884245
1700	0	0	0.04	True	0:01:15.834038
1720	4	4	0.0584	True	0:01:15.857897
1740	8	8	0.0587	True	0:01:15.846664
1760	1	1	0.0914	True	0:01:15.871845
1780	1	1	0.093	True	0:01:15.851342
1800	6	6	0.0676	True	0:01:15.865075
1820	1	1	0.0835	True	0:01:15.904757
1840	3	3	0.0473	True	0:01:15.868066
1860	5	5	0.0637	True	0:01:15.859797
1880	6	6	0.0462	True	0:01:15.850362
1900	1	1	0.0753	True	0:01:15.834901
1920	4	4	0.0791	True	0:01:15.883065
1940	5	5	0.0762	True	0:01:15.851174
1960	8	8	0.0531	True	0:01:15.861578
1980	4	4	0.0685	True	0:01:15.869187
2000	6	6	0.0749	True	0:01:15.872890
2020	3	3	0.0537	True	0:01:15.874065
2040	5	5	0.0574	True	0:01:15.871615
2060	0	0	0.053	True	0:01:15.858512
2080	3	3	0.0573	True	0:01:15.912107
2100	5	5	0.0551	True	0:01:15.877524
2120	4	4	0.0732	True	0:01:15.766591
2140	6	6	0.0521	True	0:01:15.892226
2160	6	6	0.0695	True	0:01:15.877422
2180	5	5	0.0499	True	0:01:15.846656
2200	2	2	0.0704	True	0:01:15.890471
2220	7	7	0.071	True	0:01:15.820826
2240	7	7	0.0726	True	0:01:15.828660
2260	2	2	0.0562	True	0:01:15.846175
2280	3	3	0.0631	True	0:01:15.850416
2300	3	3	0.0572	True	0:01:15.866583
