idx	label	predict	radius	correct	time
0	7	7	0.12	True	0:01:16.016491
20	9	9	0.123	True	0:01:15.230824
40	1	1	0.149	True	0:01:15.721499
60	7	7	0.122	True	0:01:16.060849
80	7	7	0.118	True	0:01:16.038882
100	6	6	0.109	True	0:01:16.057205
120	5	5	0.103	True	0:01:16.077612
140	6	6	0.117	True	0:01:16.118784
160	4	4	0.122	True	0:01:16.150778
180	1	1	0.142	True	0:01:16.084217
200	3	3	0.102	True	0:01:16.099519
220	7	7	0.122	True	0:01:16.100103
240	5	5	0.112	True	0:01:16.112552
260	8	8	0.103	True	0:01:16.090330
280	2	2	0.108	True	0:01:16.118678
300	4	4	0.129	True	0:01:16.110607
320	9	9	-0.000327	True	0:01:34.279743
340	5	3	-1.09	False	0:00:00.065846
360	4	4	0.112	True	0:01:15.949113
380	0	0	0.0772	True	0:01:16.049776
400	2	2	0.101	True	0:01:16.187932
420	4	4	0.123	True	0:01:16.164481
440	0	0	0.0965	True	0:01:16.115350
460	5	5	0.132	True	0:01:16.113174
480	1	1	0.139	True	0:01:16.127438
500	3	3	0.104	True	0:01:16.086205
520	8	8	0.123	True	0:01:16.080488
540	5	5	0.103	True	0:01:16.069306
560	9	9	0.123	True	0:01:16.115526
580	8	8	0.12	True	0:01:16.147047
600	6	6	0.118	True	0:01:16.181623
620	0	0	0.0927	True	0:01:16.009647
640	1	1	0.138	True	0:01:16.260596
660	4	4	0.12	True	0:01:16.022516
680	6	6	0.115	True	0:01:16.238096
700	1	1	0.136	True	0:01:16.185104
720	5	5	0.0768	True	0:01:16.050581
740	4	4	-0.00393	True	0:00:52.924002
760	4	4	0.0239	True	0:01:16.050100
780	3	3	0.0934	True	0:01:15.813098
800	8	8	0.102	True	0:01:16.127747
820	6	6	0.105	True	0:01:16.128653
840	1	1	0.134	True	0:01:16.081291
860	6	6	0.102	True	0:01:16.109694
880	7	7	0.124	True	0:01:16.140535
900	1	1	-0.0023	True	0:01:10.908893
920	1	1	0.135	True	0:01:16.124377
940	6	6	0.11	True	0:01:15.896104
960	7	7	0.131	True	0:01:16.107955
980	2	2	0.108	True	0:01:16.108311
1000	9	9	0.129	True	0:01:16.056086
1020	3	3	0.107	True	0:01:16.063963
1040	1	1	0.147	True	0:01:16.161980
1060	4	4	0.107	True	0:01:16.125307
1080	4	4	0.129	True	0:01:16.109264
1100	7	7	0.126	True	0:01:16.110042
1120	8	8	0.112	True	0:01:16.125604
1140	4	4	0.119	True	0:01:16.130709
1160	4	4	0.123	True	0:01:16.077435
1180	1	1	0.139	True	0:01:16.091244
1200	8	8	0.114	True	0:01:16.140458
1220	0	0	0.0817	True	0:01:16.100984
1240	1	1	0.13	True	0:01:16.060988
1260	7	1	-1.01	False	0:00:00.093762
1280	1	1	0.145	True	0:01:16.028788
1300	4	4	0.122	True	0:01:16.196753
1320	8	8	0.123	True	0:01:16.078863
1340	5	5	0.0982	True	0:01:16.104195
1360	1	1	0.145	True	0:01:16.095650
1380	9	9	0.116	True	0:01:16.110692
1400	6	6	0.127	True	0:01:16.106930
1420	6	6	0.114	True	0:01:16.109298
1440	4	4	0.126	True	0:01:16.129787
1460	5	5	0.0998	True	0:01:16.113597
1480	3	3	0.11	True	0:01:16.093966
1500	7	7	-0.00555	True	0:00:00.770282
1520	7	7	0.121	True	0:01:16.102387
1540	7	7	0.123	True	0:01:16.185427
1560	8	8	0.114	True	0:01:16.136091
1580	4	4	0.13	True	0:01:16.128022
1600	3	3	0.105	True	0:01:16.109261
1620	2	2	0.112	True	0:01:16.133126
1640	9	9	0.101	True	0:01:16.153984
1660	7	7	0.129	True	0:01:16.080014
