idx	label	predict	radius	correct	time
0	7	7	0.0666	True	0:00:32.640696
20	9	9	0.0714	True	0:00:32.137257
40	1	1	0.097	True	0:00:32.090125
60	7	7	0.0523	True	0:00:32.156351
80	7	7	0.0688	True	0:00:32.117081
100	6	6	0.0669	True	0:00:32.102395
120	5	5	0.0608	True	0:00:32.106634
140	6	6	0.0762	True	0:00:32.105727
160	4	4	0.0686	True	0:00:32.126122
180	1	1	0.094	True	0:00:32.100757
200	3	3	0.06	True	0:00:32.089525
220	7	7	0.0794	True	0:00:32.116466
240	5	5	0.074	True	0:00:32.107585
260	8	8	0.0397	True	0:00:32.119836
280	2	2	0.0714	True	0:00:32.120672
300	4	4	0.0742	True	0:00:32.109068
320	9	9	0.0844	True	0:00:32.133576
340	5	5	-0.00146	True	0:00:16.166492
360	4	4	0.0546	True	0:00:32.108301
380	0	0	0.0491	True	0:00:32.103404
400	2	2	0.053	True	0:00:32.119774
420	4	4	0.0635	True	0:00:32.105703
440	0	0	0.0584	True	0:00:32.112560
460	5	5	0.0771	True	0:00:32.114864
480	1	1	0.0848	True	0:00:32.119523
500	3	3	0.0579	True	0:00:32.111309
520	8	8	0.0673	True	0:00:32.112462
540	5	5	0.0511	True	0:00:32.118053
560	9	9	0.0766	True	0:00:32.122128
580	8	8	0.0704	True	0:00:32.116448
600	6	6	0.0717	True	0:00:32.119993
620	0	0	0.0624	True	0:00:32.129868
640	1	1	0.0917	True	0:00:32.117574
660	4	4	0.0567	True	0:00:32.107090
680	6	6	0.0673	True	0:00:32.124695
700	1	1	0.0878	True	0:00:32.125060
720	5	5	0.0481	True	0:00:32.146376
740	4	4	-0.112	True	0:00:01.208855
760	4	4	0.078	True	0:00:32.137601
780	3	3	0.0506	True	0:00:32.141223
800	8	8	0.0671	True	0:00:32.144646
820	6	6	0.0612	True	0:00:32.130118
840	1	1	0.0875	True	0:00:32.150085
860	6	6	0.0556	True	0:00:32.146144
880	7	7	0.0693	True	0:00:32.139666
900	1	1	-0.0916	True	0:00:01.199375
920	1	1	0.0878	True	0:00:32.146580
940	6	6	0.0741	True	0:00:32.153803
960	7	7	0.0764	True	0:00:32.143658
980	2	2	0.0481	True	0:00:32.135369
1000	9	9	0.0736	True	0:00:32.138877
1020	3	3	0.0706	True	0:00:32.156850
1040	1	1	0.0979	True	0:00:32.158144
1060	4	4	0.0523	True	0:00:32.141607
1080	4	4	0.083	True	0:00:32.151202
1100	7	7	0.0632	True	0:00:32.147253
1120	8	8	0.0684	True	0:00:32.155482
1140	4	4	0.0632	True	0:00:32.117450
1160	4	4	0.0799	True	0:00:32.141833
1180	1	1	0.0952	True	0:00:32.124416
1200	8	8	0.0658	True	0:00:32.161599
1220	0	0	0.0558	True	0:00:32.149304
1240	1	1	0.0788	True	0:00:32.153653
1260	7	1	-1.09	False	0:00:00.105284
1280	1	1	0.0943	True	0:00:32.155985
1300	4	4	0.0792	True	0:00:32.168148
1320	8	8	0.0734	True	0:00:32.132790
1340	5	5	0.0545	True	0:00:32.154253
1360	1	1	0.0983	True	0:00:32.156211
1380	9	9	0.0758	True	0:00:32.156280
1400	6	6	0.0792	True	0:00:32.148256
1420	6	6	0.0739	True	0:00:32.141166
1440	4	4	0.0745	True	0:00:32.155406
1460	5	5	0.0485	True	0:00:32.149060
1480	3	3	0.0702	True	0:00:32.147219
1500	7	7	-0.00379	True	0:00:17.948901
1520	7	7	0.0696	True	0:00:32.145422
1540	7	7	0.0689	True	0:00:32.143760
