idx	label	predict	radius	correct	time
0	7	7	17.9	1	0:00:00.586393
20	9	9	17.9	1	0:00:00.076489
40	1	1	17.9	1	0:00:00.076183
60	7	7	17.9	1	0:00:00.076613
80	7	7	17.9	1	0:00:00.075740
100	6	6	17.9	1	0:00:00.076386
120	5	5	17.9	1	0:00:00.076339
140	6	6	17.9	1	0:00:00.075972
160	4	4	12.2	1	0:00:00.075594
180	1	1	17.9	1	0:00:00.076581
200	3	3	17.9	1	0:00:00.075893
220	7	7	17.9	1	0:00:00.076364
240	5	5	17.9	1	0:00:00.077951
260	8	8	17.9	1	0:00:00.076154
280	2	2	17.9	1	0:00:00.076960
300	4	4	17.9	1	0:00:00.076131
320	9	9	12.0	1	0:00:00.076145
340	5	5	17.9	1	0:00:00.076473
360	4	4	17.9	1	0:00:00.076126
380	0	0	17.9	1	0:00:00.076216
400	2	2	17.9	1	0:00:00.076260
420	4	4	17.9	1	0:00:00.076018
440	0	0	17.9	1	0:00:00.075940
460	5	5	17.9	1	0:00:00.076635
480	1	1	17.9	1	0:00:00.076535
500	3	3	17.9	1	0:00:00.078158
520	8	8	17.9	1	0:00:00.076037
540	5	5	17.9	1	0:00:00.076444
560	9	9	17.9	1	0:00:00.075898
580	8	8	17.9	1	0:00:00.076157
600	6	6	17.9	1	0:00:00.076455
620	0	0	17.9	1	0:00:00.075912
640	1	1	17.9	1	0:00:00.076403
660	4	4	17.9	1	0:00:00.077801
680	6	6	17.9	1	0:00:00.076617
700	1	1	17.9	1	0:00:00.077674
720	5	5	17.9	1	0:00:00.076219
740	4	4	15.8	1	0:00:00.076635
760	4	4	17.9	1	0:00:00.077766
780	3	3	17.9	1	0:00:00.075880
800	8	8	17.9	1	0:00:00.077621
820	6	6	17.9	1	0:00:00.076438
840	1	1	17.9	1	0:00:00.076331
860	6	6	17.9	1	0:00:00.076089
880	7	7	17.9	1	0:00:00.076160
900	1	1	17.9	1	0:00:00.076127
920	1	1	17.9	1	0:00:00.076113
940	6	6	17.9	1	0:00:00.076171
960	7	7	17.9	1	0:00:00.076196
980	2	2	17.9	1	0:00:00.075865
1000	9	9	17.9	1	0:00:00.076378
1020	3	3	17.9	1	0:00:00.077523
1040	1	1	17.9	1	0:00:00.075890
1060	4	4	17.9	1	0:00:00.076906
1080	4	4	17.9	1	0:00:00.076092
1100	7	7	17.9	1	0:00:00.076205
1120	8	8	17.9	1	0:00:00.076372
1140	4	4	17.9	1	0:00:00.076381
1160	4	4	17.9	1	0:00:00.076463
1180	1	1	17.9	1	0:00:00.076139
1200	8	8	17.9	1	0:00:00.076021
1220	0	0	17.9	1	0:00:00.076115
1240	1	1	17.9	1	0:00:00.075742
1260	7	7	5.83	1	0:00:00.076543
1280	1	1	17.9	1	0:00:00.077953
1300	4	4	17.9	1	0:00:00.076161
1320	8	8	17.9	1	0:00:00.076849
1340	5	5	17.9	1	0:00:00.076130
1360	1	1	17.9	1	0:00:00.076265
1380	9	9	17.9	1	0:00:00.076429
1400	6	6	17.9	1	0:00:00.076902
1420	6	6	17.9	1	0:00:00.076136
1440	4	4	17.9	1	0:00:00.076054
1460	5	5	17.9	1	0:00:00.077185
1480	3	3	17.9	1	0:00:00.075728
1500	7	7	17.8	1	0:00:00.076213
1520	7	7	17.9	1	0:00:00.076744
1540	7	7	17.9	1	0:00:00.077087
1560	8	8	17.9	1	0:00:00.076263
1580	4	4	17.9	1	0:00:00.075985
1600	3	3	17.9	1	0:00:00.076018
1620	2	2	17.9	1	0:00:00.075871
1640	9	9	17.9	1	0:00:00.075956
1660	7	7	17.9	1	0:00:00.076203
1680	4	4	17.9	1	0:00:00.076357
1700	0	0	17.9	1	0:00:00.075996
1720	4	4	17.9	1	0:00:00.076018
1740	8	8	17.9	1	0:00:00.076011
1760	1	1	17.9	1	0:00:00.076321
1780	1	1	17.9	1	0:00:00.076831
1800	6	6	17.9	1	0:00:00.077233
1820	1	1	17.9	1	0:00:00.076300
1840	3	3	17.9	1	0:00:00.076475
1860	5	5	17.9	1	0:00:00.076605
1880	6	6	17.9	1	0:00:00.075912
1900	1	1	17.9	1	0:00:00.076136
1920	4	4	17.9	1	0:00:00.077305
1940	5	5	17.9	1	0:00:00.076441
1960	8	8	17.9	1	0:00:00.076789
1980	4	4	17.9	1	0:00:00.076723
2000	6	6	17.9	1	0:00:00.075957
2020	3	3	17.9	1	0:00:00.076323
2040	5	5	17.9	1	0:00:00.077250
2060	0	0	17.9	1	0:00:00.076875
2080	3	3	17.9	1	0:00:00.076065
2100	5	5	17.9	1	0:00:00.076072
2120	4	4	17.9	1	0:00:00.075828
2140	6	6	17.9	1	0:00:00.076150
2160	6	6	17.9	1	0:00:00.076306
2180	5	5	17.9	1	0:00:00.077460
2200	2	2	17.9	1	0:00:00.076318
2220	7	7	17.9	1	0:00:00.075847
2240	7	7	17.9	1	0:00:00.078245
2260	2	2	17.9	1	0:00:00.076094
2280	3	3	3.0	1	0:00:00.076204
2300	3	3	17.9	1	0:00:00.076783
2320	9	9	17.9	1	0:00:00.076908
2340	4	4	17.9	1	0:00:00.076305
2360	6	6	17.9	1	0:00:00.076037
2380	9	9	17.9	1	0:00:00.076188
2400	5	5	17.9	1	0:00:00.076171
2420	9	9	17.9	1	0:00:00.075704
2440	4	4	17.9	1	0:00:00.076403
2460	5	5	17.9	1	0:00:00.076724
2480	7	7	17.9	1	0:00:00.075951
2500	2	2	17.9	1	0:00:00.076405
2520	8	8	17.9	1	0:00:00.076866
2540	5	5	17.9	1	0:00:00.075935
2560	3	3	17.9	1	0:00:00.076766
2580	6	6	17.9	1	0:00:00.077010
2600	8	8	17.9	1	0:00:00.076111
2620	6	6	17.9	1	0:00:00.076287
2640	8	8	17.9	1	0:00:00.077462
2660	0	0	17.9	1	0:00:00.075823
2680	4	4	17.9	1	0:00:00.076322
2700	7	7	17.9	1	0:00:00.076177
2720	9	9	12.8	1	0:00:00.076620
2740	9	9	17.9	1	0:00:00.076199
2760	9	9	14.3	1	0:00:00.075755
2780	2	2	17.9	1	0:00:00.076075
2800	8	8	17.9	1	0:00:00.076440
2820	7	7	17.9	1	0:00:00.077078
2840	3	3	17.9	1	0:00:00.076763
2860	6	6	17.9	1	0:00:00.076515
2880	1	1	17.9	1	0:00:00.076334
2900	4	4	17.9	1	0:00:00.076011
2920	6	6	17.9	1	0:00:00.076119
2940	2	2	17.9	1	0:00:00.076293
2960	8	8	17.9	1	0:00:00.076684
2980	6	6	17.9	1	0:00:00.076593
3000	6	6	17.9	1	0:00:00.076131
3020	0	0	17.9	1	0:00:00.077312
3040	7	7	17.9	1	0:00:00.076673
3060	9	9	12.8	1	0:00:00.075574
3080	3	3	17.9	1	0:00:00.077416
3100	5	5	17.9	1	0:00:00.076608
3120	3	3	17.9	1	0:00:00.076319
3140	0	0	17.9	1	0:00:00.075800
3160	9	9	17.9	1	0:00:00.075843
3180	2	2	17.9	1	0:00:00.075995
3200	9	9	17.9	1	0:00:00.075721
3220	5	5	17.9	1	0:00:00.076160
3240	9	9	17.9	1	0:00:00.076468
3260	2	2	17.9	1	0:00:00.076165
3280	2	2	17.9	1	0:00:00.077477
3300	3	3	17.9	1	0:00:00.076123
3320	1	1	17.9	1	0:00:00.075696
3340	8	8	17.9	1	0:00:00.076636
3360	7	7	17.9	1	0:00:00.077168
3380	1	1	17.9	1	0:00:00.076295
3400	7	7	17.9	1	0:00:00.076013
3420	1	1	17.9	1	0:00:00.076920
3440	8	8	17.9	1	0:00:00.076488
3460	9	9	17.9	1	0:00:00.076087
3480	1	1	17.9	1	0:00:00.076230
3500	4	4	17.9	1	0:00:00.076377
3520	6	6	5.39	1	0:00:00.075920
3540	0	0	17.9	1	0:00:00.075945
3560	6	6	17.9	1	0:00:00.076135
3580	7	7	17.9	1	0:00:00.075868
3600	2	2	6.0	1	0:00:00.076493
3620	3	3	17.9	1	0:00:00.077071
3640	0	0	17.9	1	0:00:00.076331
3660	0	0	17.9	1	0:00:00.075993
3680	0	0	17.9	1	0:00:00.076069
3700	4	4	17.9	1	0:00:00.076252
3720	7	7	17.9	1	0:00:00.076075
3740	3	3	17.9	1	0:00:00.076228
3760	9	9	17.9	1	0:00:00.076001
3780	4	4	17.9	1	0:00:00.075994
3800	6	6	17.9	1	0:00:00.076466
3820	9	9	17.9	1	0:00:00.077235
3840	9	9	17.9	1	0:00:00.076332
3860	5	5	17.9	1	0:00:00.076985
3880	8	8	17.9	1	0:00:00.077019
3900	1	1	17.9	1	0:00:00.076363
3920	7	7	17.9	1	0:00:00.076225
3940	0	0	17.9	1	0:00:00.076200
3960	5	5	17.9	1	0:00:00.075895
3980	0	0	17.9	1	0:00:00.076145
4000	9	9	17.9	1	0:00:00.076646
4020	8	8	17.9	1	0:00:00.076174
4040	9	9	17.9	1	0:00:00.076099
4060	4	4	17.9	1	0:00:00.075859
4080	0	0	17.9	1	0:00:00.076082
4100	2	2	17.9	1	0:00:00.076310
4120	3	3	17.9	1	0:00:00.076279
4140	8	8	17.9	1	0:00:00.077013
4160	6	6	17.9	1	0:00:00.076289
4180	2	2	17.9	1	0:00:00.075888
4200	7	7	17.9	1	0:00:00.076099
4220	3	3	17.9	1	0:00:00.076669
4240	9	9	17.9	1	0:00:00.075849
4260	2	2	17.9	1	0:00:00.076153
4280	9	9	17.9	1	0:00:00.076187
4300	5	5	17.9	1	0:00:00.075822
4320	0	0	17.9	1	0:00:00.076244
4340	5	5	17.9	1	0:00:00.076275
